listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
507746,Private bungalow with pool in villa,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/7458cf5f-8b96-4a3c-adce-15338df05eb4.jpg,60,2502514,⁨Avy (& Fred)⁩,"","",true,13.3870,103.8513,4,1,2,1.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Babysitter recommendations,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Single level home,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,false,2,Moderate,KHR,20,0,405,4.94,4.9,5.0,5.0,4.9,4.6,4.9,5493.0,2.2072904E7,55.3,222124.7,0.277,0.43,15.0,60473.7,23.4,93927.3,101,130,264,365,1588.0,6348082.0,50.9,203296.8,0.344,0.0,17.6,70534.2,0.0,0.0,31,0,59,90
2229742,Tropical garden flat with kitchen F,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30053386/6234ea07_original.jpg,20,11381302,Thony,"","",false,13.3682,103.8623,3,2,2,1.5,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Hot water,Private entrance",true,false,2,Flexible,KHR,0,0,22,4.82,4.8,5.0,5.0,4.9,4.9,4.8,1805.0,7253205.0,51.4,206539.2,0.096,0.135,4.9,19871.8,7.0,28004.7,35,106,330,365,0.0,0.0,49.6,198188.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
2269559,Double bed with tropical garden,Private room in home,private_room,https://a0.muscache.com/im/pictures/30488751/fcdf8478_original.jpg,13,11381302,Thony,"","",false,13.3702,103.8615,,,1,0.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Free parking on premises,Shampoo,Hair dryer",true,,2,Flexible,KHR,0,0,171,4.89,5.0,4.9,5.0,4.9,4.7,4.9,578.0,2338503.0,25.4,102017.9,0.063,0.0,1.6,6406.9,0.0,0.0,23,0,342,365,0.0,0.0,25.2,100560.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2269563,King size bed room with tropical garden G,Private room in home,private_room,https://a0.muscache.com/im/pictures/0514a0a9-808e-4f6d-bb4f-e2fdc0fb1385.jpg,15,11381302,Thony,"","",false,13.3685,103.8603,,,1,0.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Free parking on premises,Shampoo,Hair dryer",false,,2,Flexible,KHR,0,0,14,4.86,4.9,4.9,5.0,5.0,4.8,5.0,578.0,2337900.0,25.4,101897.4,0.063,0.0,1.6,6405.2,0.0,0.0,23,0,342,365,0.0,0.0,25.0,100071.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2847746,The White House - (Free pick up+breakfast),Entire home,entire_home,https://a0.muscache.com/im/pictures/af94c4fd-a169-4330-8e2e-c967455c75d7.jpg,27,14563964,Mao,"","",false,13.3964,103.8133,6,2,4,1.0,false,"Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Breakfast,Conditioner,Mini fridge,Free street parking,Cleaning products,Coffee,Wine glasses,Washer,Dryer,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Bathtub,High chair,Children’s books and toys,Window guards,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",false,,2,Flexible,KHR,0,0,107,4.77,4.8,4.9,4.5,4.9,4.6,4.7,350.0,1403938.0,26.7,107220.8,0.036,0.0,1.0,3846.4,0.0,0.0,13,0,352,365,0.0,0.0,25.1,100249.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3031931,"King size bed with tropical garden \"F\"",Private room in home,private_room,https://a0.muscache.com/im/pictures/38846815/5d61f786_original.jpg,13,11381302,Thony,"","",false,13.3708,103.8626,,,1,0.0,false,"TV,Washer,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Free parking on premises,Shampoo,Hair dryer",false,false,2,Flexible,KHR,0,0,146,4.88,4.9,4.9,5.0,4.9,4.7,4.9,286.0,1162117.0,20.6,82779.6,0.038,0.0,0.8,3183.9,0.0,0.0,14,0,351,365,0.0,0.0,20.9,83726.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3032094,Twin bedroom with tropical garden,Private room in home,private_room,https://a0.muscache.com/im/pictures/38848582/c9c7318f_original.jpg,14,11381302,Thony,"","",false,13.3725,103.8613,,,2,0.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Free parking on premises,Shampoo,Hair dryer",false,,2,Flexible,KHR,0,0,113,4.85,4.9,5.0,5.0,4.9,4.7,4.9,409.0,1629725.0,20.4,81881.4,0.058,0.0,1.1,4465.0,0.0,0.0,21,0,344,365,0.0,0.0,20.9,83459.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
4572478,"Villa Moringa, Private luxury villa with pool",Entire villa,entire_home,https://a0.muscache.com/im/pictures/752d535e-d998-429e-80a3-13463dda650c.jpg,58,2502514,⁨Avy (& Fred)⁩,"","",true,13.3850,103.8533,8,3,5,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Ceiling fan,Pets allowed,Free street parking,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,High chair,Babysitter recommendations,Crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils",true,false,2,Moderate,KHR,0,0,299,4.95,5.0,5.0,4.9,5.0,4.7,4.9,23849.0,9.6238579E7,176.4,708883.2,0.342,0.0,65.3,263667.3,0.0,0.0,125,0,240,365,1989.0,7951091.0,152.3,608779.8,0.144,0.0,22.1,88345.5,0.0,0.0,13,0,77,90
5136043,Real Homestay,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/f30cb7c1-c62c-4f82-abd0-ee6b6313b0d6.jpg,92,22583814,Maden,"","",true,13.3600,103.7662,3,1,2,2.0,false,"Wifi,Lake access,Crib,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Breakfast,Pocket wifi,Heating,Cooking basics,Single level home,Patio or balcony,First aid kit,Backyard,Essentials,Lock on bedroom door,Private entrance",true,false,1,Moderate,KHR,0,10,215,4.85,4.8,4.9,4.6,4.9,4.7,4.9,269.0,1079146.0,14.8,59482.1,0.052,0.0,0.7,2956.6,0.0,0.0,19,0,346,365,16.0,63961.0,15.9,63516.6,0.011,0.0,0.2,710.7,0.0,0.0,1,0,89,90
5252890,The White House II-Free pick up+Breakfast,Entire home,entire_home,https://a0.muscache.com/im/pictures/72acea86-0204-48f1-8793-da06b0246948.jpg,35,14563964,Mao,"","",false,13.3966,103.8122,6,2,4,1.0,false,"High chair,Children’s books and toys,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Children’s dinnerware,Smoking allowed,Game console,Pets allowed,Hot water,Breakfast,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Private entrance",true,,2,Flexible,KHR,0,0,105,4.71,4.6,4.9,4.5,4.9,4.5,4.7,484.0,1942855.0,26.0,104525.9,0.052,0.0,1.3,5322.9,0.0,0.0,19,0,346,365,0.0,0.0,25.9,103713.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
