listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
88693,Artists' Garden House  | between Seminyak & Canggu,Entire villa,entire_home,https://a0.muscache.com/im/pictures/4c325b17-5766-40ba-8072-3997c80b1e98.jpg,28,484274,Vincent,"","",true,-8.6715,115.1486,6,3,4,3.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Resort access,Hot tub,Washer,Dryer,Beach access,First aid kit,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Changing table,Children’s books and toys,Babysitter recommendations,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed",false,,2,Firm,IDR,51,0,89,4.86,4.8,4.9,4.7,4.9,4.8,4.8,40818.0,6.62602924E8,180.2,2927111.0,0.622,0.0,111.8,1815350.5,0.0,0.0,227,0,138,365,12489.0,2.04428701E8,195.1,3193169.7,0.711,0.0,138.8,2271430.0,0.0,0.0,64,0,26,90
211202,Villa Lior Central Canggu,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-211202/original/2ff082c1-f93b-4ec3-ba19-b99f91af1b68.jpeg,30,1090281,Made,"","",true,-8.6533,115.1357,4,2,2,2.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Smoking allowed,Ceiling fan,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Laundromat nearby,Outdoor furniture,Coffee maker,Refrigerator,Coffee,Dryer,Beach access,Patio or balcony,Backyard,Bidet,Essentials,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Sun loungers,Bathtub",false,false,2,Firm,IDR,0,0,263,4.94,4.9,5.0,4.9,5.0,4.9,4.8,44537.0,7.22850494E8,189.7,3085543.3,0.633,0.0,122.0,1980412.3,0.0,0.0,231,0,134,365,12537.0,2.05214394E8,205.3,3360676.0,0.678,0.0,139.3,2280159.9,0.0,0.0,61,0,29,90
242772,5 mn Canggu & Seminyak 10 mn Beach - Villa Santai,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-242772/original/c2953b93-ce99-4662-9152-eb336226d8c2.jpeg,44,982056,Gabriela,"","",true,-8.6674,115.1507,10,4,4,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Pool table,Smoking allowed,Ceiling fan,Outdoor furniture,Coffee,Clothing storage,Wine glasses,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Outdoor kitchen,Private entrance,Sound system,Rice maker,High chair,Blender,Crib,Hot water,Outdoor shower,Mosquito net,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Backyard,Luggage dropoff allowed,Safe,Dining table,Toaster",true,false,2,Firm,IDR,0,0,144,4.81,4.8,4.8,4.8,4.8,4.2,4.7,102779.0,1.668525236E9,357.5,5807924.5,0.775,0.827,281.6,4571302.0,300.5,4878728.8,283,23,82,365,19900.0,3.25737133E8,355.6,5821073.5,0.589,0.791,221.1,3619301.5,297.0,4861748.3,53,23,37,90
281019,Homestay Pererenan Big Room close to the beach,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-281019/original/077aafc2-4b76-40da-bcfd-391f1e48c114.jpeg,21,1464773,Esi,"","",false,-8.6492,115.1230,2,1,4,1.0,false,"TV,Beach access,Shower gel,Wifi,Patio or balcony,Air conditioning,Shampoo,Room-darkening shades,Hot water kettle,Lock on bedroom door,Books and reading material,Portable fans,Dining table,Hot water,Dedicated workspace,Outdoor dining area,Bed linens,Free street parking,Outdoor furniture,Refrigerator",false,false,5,Firm,IDR,0,0,14,4.31,4.4,4.9,4.1,4.6,4.6,4.4,3195.0,5.2402847E7,24.9,405178.3,0.351,0.448,8.8,143569.4,11.2,183226.7,128,79,237,365,1922.0,3.1460655E7,25.0,409399.6,0.856,0.895,21.4,349562.8,22.3,365821.6,77,4,13,90
339583,"Puri Pura; 4 Bedroom Villa, Central Canggu",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzM5NTgz/original/d0d10e3d-8166-415e-88cd-5cca5cd249dc.png,55,1724002,Sasya,"","",true,-8.6486,115.1329,8,4,5,4.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Babysitter recommendations,Pool,Crib,Kitchen,Free parking on premises,Children’s dinnerware,Smoking allowed,Pets allowed,Hot water,Breakfast,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Single level home,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",true,,2,Super Strict 60 Days,IDR,0,0,10,4.5,4.6,4.9,4.6,4.8,4.8,4.2,32750.0,5.28404175E8,495.7,8047368.8,0.186,0.191,89.7,1447682.7,92.0,1484281.4,68,9,297,365,8947.0,1.46450761E8,445.2,7287890.9,0.222,0.233,99.4,1627230.7,104.0,1702915.8,20,4,70,90
339586,"Temple Estate; 7 Bedrooms, Central Canggu",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzM5NTg2/original/a6367fbe-18b6-43a3-8d06-4731229271fb.jpeg,123,1724002,Asti,"","",true,-8.6495,115.1321,14,7,9,8.0,false,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Babysitter recommendations,Pool,Crib,Kitchen,Board games,Free parking on premises,Children’s dinnerware,Pets allowed,Hot water,Breakfast,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,BBQ grill,Patio or balcony,First aid kit,Backyard,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",true,false,2,Super Strict 60 Days,IDR,0,0,26,4.73,4.8,4.8,4.7,4.8,4.7,4.5,108447.0,1.748231046E9,915.8,1.48721562E7,0.323,0.399,297.1,4789674.1,366.4,5906186.0,118,69,247,365,15544.0,2.54435073E8,900.1,1.47338307E7,0.2,0.31,172.7,2827056.4,268.0,4386811.6,18,32,72,90
339587,Puri Pura Villa (3 Bedrooms) Central Canggu,Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzM5NTg3/original/463fb0cb-bf73-46e4-8058-4eeba1ca6c94.png,52,1724002,Sasya,"","",true,-8.6486,115.1329,6,3,3,3.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Children’s dinnerware,Smoking allowed,Pets allowed,Hot water,Breakfast,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance",true,,2,Super Strict 60 Days,IDR,0,0,6,4.67,4.7,4.7,4.7,4.8,5.0,4.5,20475.0,3.31809559E8,357.6,5802677.8,0.156,0.165,56.1,909067.3,59.2,958987.2,57,19,308,365,6985.0,1.1433537E8,347.5,5688668.9,0.222,0.233,77.6,1270393.0,81.2,1329481.0,20,4,70,90
357725,Villa Naree 3 with pool in Canggu,Entire villa,entire_home,https://a0.muscache.com/im/pictures/4327401/3b031e4c_original.jpg,32,1810415,Egidio,"","",true,-8.6666,115.1461,4,2,4,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Refrigerator,Cooking basics,Stove,Smoke alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",true,,1,Strict,IDR,0,0,138,4.59,4.7,4.8,4.7,4.8,4.5,4.7,2241.0,3.5557393E7,88.2,1432269.1,0.066,0.0,6.1,97417.5,0.0,0.0,24,0,341,365,593.0,9706640.0,94.2,1542295.4,0.067,0.0,6.6,107851.6,0.0,0.0,6,0,84,90
360995,Villa Naree 2 with pool in Canggu,Entire villa,entire_home,https://a0.muscache.com/im/pictures/4325718/cd7819e1_original.jpg,22,1810415,Egidio,"","",true,-8.6667,115.1448,4,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Cooking basics,Washer,Dryer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",true,false,1,Strict,IDR,0,0,247,4.67,4.7,4.8,4.7,4.7,4.4,4.6,16564.0,2.68368926E8,94.8,1540598.9,0.477,0.492,45.4,735257.3,46.8,758104.3,174,11,191,365,4234.0,6.9305082E7,99.7,1631959.5,0.467,0.532,47.0,770056.5,53.6,877279.5,42,11,48,90
360996,"Villa Naree 1 with pool,Canggu,Bali",Entire villa,entire_home,https://a0.muscache.com/im/pictures/4086138/36137223_original.jpg,43,1810415,Egidio,"","",true,-8.6680,115.1448,4,2,2,2.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Refrigerator,Cooking basics,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Baby bath",true,false,1,Strict,IDR,11,0,226,4.63,4.7,4.8,4.7,4.8,4.4,4.6,7530.0,1.1913315E8,96.1,1559472.7,0.208,0.22,20.6,326392.2,21.8,345313.5,76,20,289,365,1020.0,1.6696074E7,102.0,1670334.9,0.111,0.0,11.3,185511.9,0.0,0.0,10,0,80,90
