listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
6529248,2BR 2-7pax fullAirconWIFI Sogo KSL StulangCIQ Jb,Entire home,entire_home,https://a0.muscache.com/im/pictures/c3a9ef10-9df9-4986-a2dc-40b5ca7dc283.jpg,72,31963017,Kim,248975328,Sylvia,true,1.4823,103.7816,7,2,5,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Washer,Dryer,First aid kit,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Baby bath,High chair,Children’s books and toys,Window guards,Table corner guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Backyard,Dining table",false,false,1,Flexible,MYR,16,0,170,4.86,4.9,4.9,4.9,4.9,4.9,4.8,6803.0,29483.0,70.7,307.0,0.26,0.0,18.6,80.8,0.0,0.0,95,0,270,365,1334.0,5677.0,71.0,302.3,0.211,0.0,14.8,63.1,0.0,0.0,19,0,71,90
7075852,Clean n Cosy8 condominium,Entire condo,entire_home,https://a0.muscache.com/im/pictures/00cf3a1f-bb8f-4d36-8fc3-ae4a8dbe40e4.jpg,39,37101162,Molek,"","",false,1.5258,103.7852,7,3,4,2.0,false,"TV,Children’s books and toys,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Free street parking,Microwave,Refrigerator,Dishes and silverware,Oven,Stove,Washer,Dryer,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,,30,Strict,MYR,34,0,6,4.83,5.0,5.0,5.0,5.0,4.8,5.0,800.0,3502.0,58.1,252.9,0.036,0.0,2.2,9.6,0.0,0.0,13,0,352,365,0.0,0.0,48.7,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
9096969,3min Aeon_Ikea&Austin#11-13pax double storey house,Entire home,entire_home,https://a0.muscache.com/im/pictures/3589d0a4-2f18-4a57-a357-444590077242.jpg,37,41235759,May,"","",true,1.5615,103.7966,13,4,6,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Ceiling fan,Pets allowed,Mini fridge,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Clothing storage,Washer,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Bathtub,Hot water,Body soap,Bed linens,Extra pillows and blankets,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table",,,1,Firm,MYR,25,,57,4.77,4.8,4.8,4.8,4.8,4.6,4.6,1610.0,7123.0,164.3,713.9,0.027,0.047,4.4,19.5,7.6,33.8,10,154,355,365,0.0,0.0,163.3,694.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
10193775,Family room 5mins to JB Mid Valley 8mins to CIQ,Private room in home,private_room,https://a0.muscache.com/im/pictures/4e83bad5-a0a9-4872-8d50-dfe48bf1eb7d.jpg,81,49693115,Casa.EV,"","",false,1.4997,103.7905,,,3,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",false,false,1,Strict,MYR,7,0,14,4.64,4.5,4.9,4.6,4.7,4.6,4.4,1342.0,5880.0,94.9,411.6,0.038,0.0,3.7,16.1,0.0,0.0,14,0,351,365,238.0,1014.0,109.7,466.8,0.022,0.0,2.6,11.3,0.0,0.0,2,0,88,90
10193963,Private Suite -5mins to JB MidValley,Private room in home,private_room,https://a0.muscache.com/im/pictures/28a6336d-a496-467c-b054-6e9707bf99e3.jpg,67,49693115,Casa.EV,"","",false,1.5012,103.7901,,,2,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Hot water,Free street parking,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,First aid kit,Backyard,Essentials,Shampoo,Hangers,Hair dryer,Iron",false,false,1,Strict,MYR,0,7,20,4.5,4.4,4.7,4.5,4.7,4.4,4.3,553.0,2412.0,36.1,156.8,0.038,0.0,1.5,6.6,0.0,0.0,14,0,351,365,76.0,324.0,37.7,160.4,0.022,0.0,0.8,3.6,0.0,0.0,2,0,88,90
10194110,ComfyU Bedroom 5mins to JB Mid Valley 8mins to CIQ,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/6862df48-2210-487e-b699-4fe6f37ea19d.jpg,95,49693115,Casa.EV,"","",false,1.5002,103.7894,,,1,0.0,false,"Wifi,Air conditioning,Lake access,Kitchen,Hot water,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Patio or balcony,First aid kit,Backyard,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,MYR,0,7,110,4.55,4.5,4.7,4.6,4.5,4.4,4.5,688.0,3008.0,22.8,98.9,0.079,0.0,1.9,8.2,0.0,0.0,29,0,336,365,97.0,413.0,22.7,96.4,0.044,0.0,1.1,4.6,0.0,0.0,4,0,86,90
10194249,cozyE Bedroom 5mins to JB Mid Valley 8mins to CIQ,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/d26b72f7-4ee4-4c82-a682-50b65c0bf24c.jpg,84,49693115,Casa.EV,"","",false,1.5014,103.7908,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,BBQ grill,Backyard,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",true,false,1,Strict,MYR,0,7,69,4.61,4.7,4.7,4.6,4.8,4.6,4.6,519.0,2263.0,25.9,112.8,0.049,0.0,1.4,6.2,0.0,0.0,18,0,347,365,113.0,481.0,24.2,102.9,0.044,0.0,1.3,5.3,0.0,0.0,4,0,86,90
10321095,Penthouse with rooftop garden #no service fee,Entire condo,entire_home,https://a0.muscache.com/im/pictures/af7cbf66-5b32-450d-ace9-73b71f3c9c9a.jpg,103,51203771,Rory,78050082,Pl,false,1.4870,103.7226,6,2,4,3.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Gym,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Bathtub,Baby bath,High chair,Blender,Table corner guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Outdoor playground,Baking sheet,Sun loungers,Bread maker,Toaster",true,false,1,Moderate,MYR,30,0,11,4.91,4.9,4.9,4.7,5.0,4.7,5.0,3730.0,16500.0,139.5,606.6,0.071,0.0,10.2,45.2,0.0,0.0,26,0,339,365,242.0,1030.0,132.6,564.4,0.022,0.0,2.7,11.4,0.0,0.0,2,0,88,90
10321555,Lavish Stylish Scenic Penthouse #no service fee,Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-10321555/original/120b0b34-1eda-4b64-bb23-b82c623cfc0a.jpg,99,51203771,Rory,78050082,Pl,false,1.4872,103.7245,8,3,4,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Portable fans,Gym,Conditioner,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Bathtub,Baby bath,Changing table,High chair,Table corner guards,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Outdoor playground,Baking sheet,Toaster",false,false,2,Moderate,MYR,23,0,111,4.94,4.9,5.0,4.9,5.0,4.5,4.9,14019.0,61125.0,101.2,439.8,0.375,0.0,38.4,167.5,0.0,0.0,137,0,228,365,3932.0,16735.0,101.0,430.0,0.422,0.0,43.7,185.9,0.0,0.0,38,0,52,90
10353742,Cosy Studio at KSL City Mall,Entire condo,entire_home,https://a0.muscache.com/im/pictures/0b9fb386-6707-4e86-9bcb-88822fb67a83.jpg,15,53286783,Ser Kim,"5187368,284627263","Sharina,Immaculate",false,1.4861,103.7635,4,,2,1.0,false,"TV,Children’s books and toys,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Hot water,Gym,Elevator,Refrigerator,Dishes and silverware,Heating,Washer,Patio or balcony,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron",true,false,1,Flexible,MYR,0,0,399,4.8,4.9,4.9,4.7,4.9,4.9,4.8,7685.0,33376.0,60.9,264.7,0.332,0.338,21.1,91.4,21.5,93.2,121,7,244,365,1319.0,5613.0,61.6,262.0,0.222,0.241,14.7,62.4,15.9,67.6,20,7,70,90
