listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
44931,Rooftop Dipping Pool Hse w/ Stay-in male Caretaker,Entire home,entire_home,https://a0.muscache.com/im/pictures/29457519/46f85012_original.jpg,47,198198,Jen,316029167,Nat,true,3.1353,101.6691,15,5,7,6.0,false,"Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Stove,Wine glasses,Washer,BBQ grill,Shower gel,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",false,false,1,Strict,MYR,0,0,155,4.75,4.8,4.9,4.8,4.8,4.9,4.6,22405.0,97372.0,252.3,1096.8,0.238,0.0,61.4,266.8,0.0,0.0,87,0,278,365,6545.0,27859.0,245.5,1044.9,0.3,0.0,72.7,309.5,0.0,0.0,27,0,63,90
547908,"Stylish, 4 bedrooms with city view",Entire condo,entire_home,https://a0.muscache.com/im/pictures/27266007/57a5b726_original.jpg,41,2054224,Jake,"","",true,3.1695,101.6929,8,4,6,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Gym,Breakfast,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Rice maker,Outlet covers,Baby bath,High chair,Blender,Window guards,Table corner guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Bikes,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",true,false,10,Strict,MYR,42,0,36,4.89,4.8,5.0,4.9,4.9,4.7,4.7,5389.0,23129.0,106.3,462.6,0.151,0.153,14.8,63.4,15.0,64.2,55,5,310,365,3514.0,14958.0,92.2,392.3,0.411,0.0,39.0,166.2,0.0,0.0,37,0,53,90
556098,Spacious 4-bedrooms on 27th floor,Entire condo,entire_home,https://a0.muscache.com/im/pictures/34273839/a982f5f8_original.jpg,54,2054224,Jake,"","",true,3.1693,101.6927,8,4,6,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Gym,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Rice maker,Outlet covers,Bathtub,Baby bath,High chair,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",true,false,8,Strict,MYR,42,0,37,4.81,4.8,4.9,4.8,4.9,4.7,4.8,10135.0,44165.0,117.9,513.4,0.244,0.268,27.8,121.0,30.5,133.0,89,33,276,365,3826.0,16283.0,94.6,402.8,0.433,0.0,42.5,180.9,0.0,0.0,39,0,51,90
989042,Classic Homely Studio in Kuala Lumpur Sanitized,Entire condo,entire_home,https://a0.muscache.com/im/pictures/b9f44208-6ba8-42e4-b02f-20198f3dc7ff.jpg,29,5429482,Ai Ling,"","",false,3.1627,101.6580,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Gym,Elevator,Free street parking,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Sauna,Stove,Single level home,Exercise equipment,Patio or balcony,Long term stays allowed,Dining table",false,false,3,Firm,MYR,35,5,51,4.73,4.8,4.7,4.7,4.8,4.7,4.7,6892.0,29771.0,29.1,126.2,0.619,0.779,18.9,81.6,23.8,102.7,226,75,139,365,2690.0,11450.0,40.0,170.3,0.711,0.0,29.9,127.2,0.0,0.0,64,0,26,90
1359142,#01 KL101 at The Scott Garden Kuala Lumpur 2 to 5,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1359142/original/23d7a22f-3d2e-4daf-b3e8-364ba55fbcc9.jpeg,68,7377084,Jenn,"","",false,3.0944,101.6732,7,1,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Hot water,Gym,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Shower gel,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,false,3,Firm,MYR,0,0,30,4.46,4.6,4.6,4.6,4.7,3.9,4.5,334.0,1486.0,36.6,159.0,0.027,0.0,0.9,4.1,0.0,0.0,10,0,355,365,0.0,0.0,39.7,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1360953,A Studio Apartment Near KLCC,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6a0b73bf-d4b6-4f54-adcc-5ed8b4c95a89.jpg,15,7388129,Sharifah,"","",false,3.1541,101.6995,2,1,,1.0,false,"TV,Air conditioning,Pool,Kitchen,Room-darkening shades,Pets allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Drying rack for clothing,Cooking basics,Washer,Smoke alarm,Carbon monoxide alarm,Bidet,Essentials,Long term stays allowed,Hangers,Iron",false,,6,Strict,MYR,0,0,2,,,,,,,,460.0,1959.0,29.7,128.8,0.041,0.0,1.3,5.4,0.0,0.0,15,0,350,365,0.0,0.0,32.9,139.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1606308,"KL, 5 pax, Walk-up Apartment.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/49765520/7e476cb4_original.jpg?aki_policy=medium,27,8557483,,"","",false,3.1508,101.7379,5,3,3,2.0,,"Wifi,Free parking on premises,Cable TV,Kitchen,Dryer,Heating,Iron,Washer,Hangers,Air conditioning,Essentials,TV,Smoke alarm,Carbon monoxide alarm,Hot water",,,6,,MYR,22,,8,4.13,4.1,4.6,4.4,4.5,3.9,4.4,809.0,3373.0,29.5,128.1,0.079,0.0,2.2,9.2,0.0,0.0,29,0,336,365,0.0,0.0,31.6,134.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1647011,"Nature Inspired House w/ Pool, stay-in caretaker",Entire home,entire_home,https://a0.muscache.com/im/pictures/29905868/0cec9251_original.jpg,30,198198,Jen,316029167,Nat,true,3.1219,101.6694,16,7,9,8.0,false,"Wifi,Air conditioning,Pool,Ceiling fan,Hot water,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Refrigerator,Dishes and silverware,Clothing storage,Wine glasses,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area",false,false,1,Firm,MYR,0,0,35,4.63,4.7,4.8,4.7,4.8,4.6,4.5,42748.0,185223.0,315.0,1368.5,0.364,0.373,117.1,507.5,119.7,518.8,133,8,232,365,10534.0,44838.0,320.7,1365.1,0.356,0.0,117.0,498.2,0.0,0.0,32,0,58,90
1723947,3 Bedroom-near Kidzania & The Curve,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/24504848/687d5806_original.jpg,13,9086921,Ainul,"","",false,3.1653,101.6171,6,3,6,2.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,Elevator,Pool,Kitchen,Free parking on premises,Gym",true,,1,Moderate,MYR,0,0,22,4.18,4.0,4.0,4.3,4.2,4.5,4.2,790.0,3512.0,60.2,261.4,0.036,0.0,2.2,9.6,0.0,0.0,13,0,352,365,0.0,0.0,62.5,265.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1976789,800+sqf Spacious Studio Near KLCC  Kitchen,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk3Njc4OQ==/original/031e2033-65d8-4ef0-b8dc-26fed99f8e10.jpeg,35,10204055,⁨-Alice⁩,"","",false,3.1682,101.7273,3,1,1,1.0,false,"Stove,TV,Washer,Wifi,Air conditioning,Pool,Bidet,Kitchen,Essentials,Long term stays allowed,Shampoo,Hair dryer,Hot water,Iron,Dedicated workspace,Elevator,Refrigerator,Dishes and silverware,Cooking basics",false,false,10,Strict,MYR,0,0,33,4.7,4.9,5.0,4.6,5.0,4.5,4.7,3192.0,13848.0,22.9,99.3,0.375,0.55,8.7,37.9,12.8,55.6,137,116,228,365,1585.0,6741.0,25.3,107.8,0.7,0.733,17.6,74.9,18.4,78.4,63,4,27,90
