listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
213111,Angeles City Townhouse 2BR,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjEzMTEx/original/5a56c9f4-376e-400a-9ac7-91e9a13ab2f2.jpeg,37,147855,Charez,"","",false,15.1652,120.5871,4,2,4,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Pets allowed,Hot water,Bed linens,Free street parking,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Freezer,Private entrance,Toaster,Rice maker",false,,1,Flexible,PHP,8,0,129,4.82,4.8,4.9,4.7,5.0,4.9,4.9,1579.0,88342.0,24.2,1379.2,0.178,0.201,4.3,242.0,4.9,273.5,65,42,300,365,127.0,7082.0,25.8,1436.3,0.056,0.091,1.4,78.7,2.3,128.8,5,35,85,90
1075946,**STUDIO**  IN JW APARTMENTS 150mbps WIFI,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30944738/a2c6701c_original.jpg,30,5919556,Nick,"","",false,15.1653,120.5746,2,1,1,1.0,false,"High chair,TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Bed linens,Free street parking,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,PHP,0,0,59,4.34,4.5,4.6,4.4,4.4,4.5,4.5,898.0,51469.0,17.9,1019.3,0.132,0.0,2.5,141.0,0.0,0.0,48,0,317,365,18.0,1004.0,18.3,1022.5,0.011,0.0,0.2,11.2,0.0,0.0,1,0,89,90
1373714,STUDIO READY FOR YOU. SAFE & FUN!!! JW APARTMENTS,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1373714/original/74a046ea-c80c-48ee-bed0-f0ba7474c28c.jpeg,33,5919556,Nick,"","",false,15.1639,120.5760,2,,1,1.0,false,"High chair,TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",true,false,1,Firm,PHP,0,0,55,4.6,4.3,4.8,4.5,4.7,4.7,4.6,245.0,13692.0,17.8,1012.7,0.033,0.055,0.7,37.5,1.1,62.5,12,146,353,365,0.0,0.0,19.4,1084.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1968130,NEW STUDIO for yourself. PRIVATE JW APARTMENTS,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/30952027/51a09594_original.jpg,19,5919556,Nick,"","",false,15.1649,120.5769,2,1,1,1.0,false,"High chair,TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Smoking allowed,Pets allowed,Hot water,Resort access,Bed linens,Free street parking,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Rice maker",true,false,1,Firm,PHP,0,0,69,4.59,4.5,4.6,4.5,4.7,4.5,4.6,2357.0,135163.0,17.6,998.8,0.384,0.476,6.5,370.3,8.0,459.7,140,71,225,365,349.0,19466.0,18.4,1028.7,0.211,1.0,3.9,216.3,18.4,1024.5,19,71,71,90
3189027,5 bedroom family house * now with pool *,Entire home,entire_home,https://a0.muscache.com/im/pictures/40595942/c84a26d5_original.jpg,31,16166790,Ronnie,"","",false,15.1478,120.6064,8,5,6,3.0,false,"TV,Washer,Wifi,Air conditioning,Backyard,Pool,Bidet,Kitchen,Essentials,Free parking on premises,Hot water kettle,Dining table,Hot water,Microwave,Refrigerator,Dishes and silverware",false,false,1,Firm,PHP,0,0,132,4.82,4.8,4.9,4.9,4.9,4.6,4.8,2256.0,128004.0,100.0,5686.3,0.068,0.191,6.2,350.7,17.2,977.1,25,234,340,365,104.0,5800.0,112.9,6295.8,0.011,0.025,1.2,64.4,2.6,145.0,1,50,89,90
4431004,Comfortable yet Affordable,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4431004/original/0c5d4684-60af-4e1f-bb57-0d2c179f15f9.jpeg,22,23003158,Sheryl,"","",false,15.1458,120.5536,4,2,2,2.0,false,"TV,Blender,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Hot water,Gym,Body soap,Trash compactor,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Exercise equipment,Patio or balcony,Bidet,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Toaster,Rice maker",false,,5,Moderate,PHP,0,0,20,4.45,4.5,4.7,4.4,4.7,4.2,4.7,803.0,44874.0,26.1,1487.0,0.077,0.0,2.2,122.9,0.0,0.0,28,0,337,365,0.0,0.0,28.8,1608.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
4767775,3 bedroom APARTMENT big POOL!!! (5 min from Fields,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/7cfff8c8-a77a-462b-b48a-b3ead044adc4.jpg,27,5919556,Nick,"","",false,15.1635,120.5750,6,3,3,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Free street parking,Outdoor furniture,Heating,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,High chair,Crib,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,EV charger,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",true,false,1,Firm,PHP,0,0,177,4.45,4.4,4.6,4.6,4.6,4.4,4.5,2481.0,143079.0,59.6,3391.4,0.118,0.264,6.8,392.0,15.2,877.8,43,202,322,365,0.0,0.0,61.9,3450.3,0.0,0.0,0.0,0.0,0.0,0.0,0,79,90,90
7679877,studio apartment with Netflix,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/100102147/00b3e59c_original.jpg,34,8320349,Zeke,"","",false,15.1673,120.5658,2,,,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Smoking allowed,Hot water,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Cleaning before checkout,Hangers,Iron,Dedicated workspace,Freezer",true,,1,Moderate,PHP,0,0,268,4.79,4.8,5.0,4.7,4.9,4.8,4.8,8732.0,499076.0,35.3,2012.1,0.688,0.772,23.9,1367.3,26.9,1535.6,251,40,114,365,531.0,29612.0,37.5,2092.6,0.156,0.275,5.9,329.0,10.4,580.6,14,39,76,90
11644127,Janus Queen [IndoorPool*Kitchen*WalkingSt] Suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/489820ba-049e-4f00-a843-4d4b0dbb5ccc.jpg,35,5919556,Nick,"","",false,15.1638,120.5840,3,1,1,1.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Heating,Cooking basics,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,PHP,0,0,20,3.85,3.8,4.5,3.6,4.4,4.2,3.9,187.0,10924.0,21.4,1216.3,0.027,0.0,0.5,29.9,0.0,0.0,10,0,355,365,0.0,0.0,20.3,1131.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
13130000,Angeles City Fields Avenue High Class Night Life,Entire bed and breakfast,entire_home,https://a0.muscache.com/im/pictures/8d85fea2-8645-45f3-bd19-682bee772a57.jpg,23,73114397,Dan,227205861,Danlyn,false,15.1686,120.5893,2,1,1,1.0,false,"TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Smoking allowed,Hangers,Hair dryer,Iron,Breakfast,Elevator",true,,2,Moderate,PHP,0,0,26,4.58,4.6,4.7,4.7,4.7,4.9,4.4,622.0,35643.0,48.0,2733.8,0.036,0.0,1.7,97.7,0.0,0.0,13,0,352,365,0.0,0.0,47.4,2644.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
