listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
149382,Perfect Baguio Getaway for Families & Friends,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-149382/original/8c0ef4a3-7535-4516-8ca3-d23d05fc5055.jpeg,21,720620,Charissa Beatrix,"","",true,16.4016,120.5802,12,3,,1.0,false,"TV,Children’s books and toys,Wifi,Kitchen,Board games,Free parking on premises,Children’s dinnerware,Smoking allowed,Pets allowed,Hot water,Body soap,Resort access,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Dryer,BBQ grill,Patio or balcony,Fire extinguisher,Bidet,Shampoo,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Children’s bikes",true,false,1,Flexible,PHP,8,0,10,4.8,4.6,4.9,4.9,5.0,4.7,4.7,1552.0,90494.0,134.9,7679.2,0.033,0.0,4.3,247.9,0.0,0.0,12,0,353,365,0.0,0.0,146.0,8140.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1090773,Tiptop Vacation Homes Queen room/ensuite CR for 2.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/25705521/17da8e32_original.jpg,16,5929224,Tiptop,340170175,Lia,false,16.4234,120.6185,2,1,,1.0,false,"TV,Washer,Cable TV,Single level home,Wifi,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Free parking on premises,Pets allowed,Hangers,Hot water,Bed linens,Extra pillows and blankets,Private entrance,Refrigerator,Dishes and silverware",false,false,1,Firm,PHP,0,0,26,4.58,4.6,4.7,4.6,4.7,4.6,4.6,393.0,22963.0,25.7,1464.9,0.041,0.0,1.1,62.9,0.0,0.0,15,0,350,365,0.0,0.0,26.6,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1090911,"Vacation Home - Tiptop, Baguio City",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16407613/f42231b4_original.jpg,30,5929224,Tiptop,340170175,Lia,false,16.4218,120.6187,8,2,5,2.0,false,"Stove,TV,Washer,Cable TV,Wifi,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Pets allowed,Hot water,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics",false,,1,Firm,PHP,8,0,7,4.14,4.3,4.6,4.1,4.6,4.3,4.1,1902.0,111335.0,143.1,8153.5,0.036,0.0,5.2,305.0,0.0,0.0,13,0,352,365,0.0,0.0,142.2,7928.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1110956,Private 1 bedroom  apartment Baguio,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/16709608/9610d967_original.jpg,10,5996081,Virgiline   Emaculada,"","",false,16.4127,120.5839,,,1,0.0,false,"TV,Cable TV,Smoke alarm,Wifi,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Private entrance",true,,2,Moderate,PHP,0,0,5,4.8,4.8,4.8,4.8,5.0,4.8,5.0,508.0,29768.0,37.6,2144.1,0.036,0.0,1.4,81.6,0.0,0.0,13,0,352,365,0.0,0.0,33.9,1888.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1341103,Self Contained Studio  Apartment,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/20657700/5e8279ee_original.jpg,12,5996081,Lyn,"","",true,16.4111,120.5847,,,2,0.0,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Stove,Smoke alarm,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,false,2,Moderate,PHP,0,0,61,4.67,4.6,4.8,4.8,4.8,4.5,4.7,471.0,27392.0,31.4,1787.6,0.041,0.0,1.3,75.0,0.0,0.0,15,0,350,365,66.0,3680.0,33.0,1842.2,0.022,0.0,0.7,40.9,0.0,0.0,2,0,88,90
1512871,"LE COQ BLEU, a 90% recycled home. SUITE",Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1512871/original/1c851056-2ee5-4d88-830c-6e2eced8b3f9.jpeg,30,6052771,Chantal,"","",true,16.3993,120.5840,,,3,0.0,false,"Wifi,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Breakfast,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Dedicated workspace,Private entrance,Rice maker,High chair,Fireplace guards,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table",false,,1,Moderate,PHP,0,0,222,4.84,4.9,5.0,4.6,5.0,4.6,4.8,9056.0,522102.0,74.6,4257.9,0.318,0.325,24.8,1430.4,25.4,1462.5,116,8,249,365,869.0,48465.0,61.1,3408.2,0.156,0.0,9.7,538.5,0.0,0.0,14,0,76,90
2029742,"Lani's Place Main House, Tiptop, Baguio City",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/28160195/1a7fea33_original.jpg,25,5929224,Tiptop,340170175,Lia,false,16.4239,120.6201,15,4,17,4.5,false,"TV,Washer,Cable TV,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Smoking allowed,Pets allowed,Hangers,Hot water,Bed linens,Extra pillows and blankets,Private entrance,Indoor fireplace",false,,1,Firm,PHP,17,0,10,3.9,4.5,4.6,4.0,4.6,3.7,3.9,2412.0,141182.0,166.3,9485.8,0.036,0.0,6.6,386.8,0.0,0.0,13,0,352,365,0.0,0.0,151.0,8419.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2172679,The Loft at Easter - same location as Hatch Coffee,Entire loft,entire_home,https://a0.muscache.com/im/pictures/5ff4ae9e-0cdf-4cc6-8530-73e708ba40c3.jpg,25,4125028,Asia Maris,"","",true,16.4244,120.5906,8,2,6,2.0,false,"TV,Cable TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Smoking allowed,Hot water,Gym,Body soap,Bed linens,Microwave,Cleaning products,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Stove,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Outdoor dining area,Freezer,Toaster,Rice maker",,,2,Strict,PHP,44,,145,4.9,4.9,4.9,4.9,4.9,4.8,4.9,3820.0,220195.0,112.7,6418.2,0.093,0.098,10.5,603.3,11.0,632.7,34,17,331,365,0.0,0.0,116.1,6475.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2280013,Baguio 2-Bedroom apartment sleeps 7,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30994160/b6dcdfc7_original.jpg,32,5929224,Tiptop,340170175,Lia,false,16.4215,120.6201,7,2,4,1.0,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Smoking allowed,Pets allowed",false,,1,Firm,PHP,8,0,6,4.8,4.8,4.5,4.8,4.7,4.8,4.8,880.0,51514.0,75.2,4272.3,0.036,0.0,2.4,141.1,0.0,0.0,13,0,352,365,0.0,0.0,91.2,5085.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2280014,Baguio 2 bedroom apartment sleeps 7,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6be1a1f6-8936-4a32-b549-cbb0ff532d66.jpg,30,5929224,Tiptop,340170175,Lia,false,16.4238,120.6198,7,2,4,1.0,false,"TV,Washer,Cable TV,Wifi,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Smoking allowed,Pets allowed,Hot water",false,,1,Firm,PHP,8,0,4,3.75,3.5,3.8,3.5,4.0,4.0,3.5,1072.0,62751.0,80.6,4585.2,0.036,0.0,2.9,171.9,0.0,0.0,13,0,352,365,0.0,0.0,89.5,4989.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
