listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1001735,2 BDRM Condo in Cebu - opp Ayala.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1001735/original/2b43bbc4-335b-47b3-954d-2fdfe3cc13fb.jpeg,32,5509436,Brian,"","",false,10.3179,123.9035,4,2,3,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Hangers,Gym,Elevator,Laundromat nearby,Heating",false,false,6,Flexible,PHP,0,0,16,4.5,4.7,4.8,4.3,4.7,4.7,4.6,14816.0,846660.0,72.1,4102.7,0.562,0.596,40.6,2319.6,43.1,2461.2,205,21,160,365,4051.0,225926.0,74.5,4156.1,0.6,0.73,45.0,2510.3,54.7,3053.1,54,16,36,90
1596348,"Romantic Penthouse with a view, King Bed & parking",Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU5NjM0OA%3D%3D/original/ad617142-a7e0-4b7c-a010-8af493e99e42.jpeg,69,7069051,Amy,544813462,Pearlie,false,10.3103,123.8937,4,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,false,2,Flexible,PHP,42,0,119,4.53,4.5,4.6,4.5,4.6,4.7,4.4,33094.0,1885871.0,133.2,7589.7,0.671,0.686,90.7,5166.8,92.7,5282.6,245,8,120,365,8085.0,450898.0,127.6,7115.6,0.689,0.756,89.8,5010.0,98.6,5498.8,62,8,28,90
2165373,BEAUTIFUL MODERN GUEST HOUSE,Entire home,entire_home,https://a0.muscache.com/im/pictures/d0a3fb97-d37d-4d6c-803e-e274c98151ff.jpg,39,11048634,"Nelson,T","","",false,10.3615,123.9123,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Coffee maker,Refrigerator,Cooking basics,Stove,Washer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,false,1,Moderate,PHP,5,0,124,4.9,4.9,4.9,4.9,4.9,4.7,4.8,712.0,40702.0,39.6,2254.6,0.049,0.106,2.0,111.5,4.2,239.4,18,195,347,365,0.0,0.0,37.3,2078.9,0.0,0.0,0.0,0.0,0.0,0.0,0,82,90,90
2765144,3BR/3T&B Luxury 84sqm. Condo,Entire loft,entire_home,https://a0.muscache.com/im/pictures/36000949/851c6923_original.jpg,31,14144348,Kevin Allen,"","",true,10.3090,123.8954,5,3,3,1.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Gym,Elevator,Heating",false,false,3,Firm,PHP,25,25,96,4.46,4.5,4.6,4.5,4.6,4.5,4.1,2900.0,167169.0,98.7,5624.0,0.074,0.0,7.9,458.0,0.0,0.0,27,0,338,365,0.0,0.0,98.8,5511.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2797660,Budget Stay in Cebu City | Old but Clean & Central,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2797660/original/0b10e551-1ce1-47fd-8e1d-6ef9c8527b5f.jpeg,35,14310547,Chun CHIA,"116625821,504669129,573997453","郁璇,Pei,⁨Mc Jhon G.⁩",false,10.3379,123.9083,,,2,0.0,false,"Stove,Smoke alarm,Shower gel,Wifi,Air conditioning,Pool,Essentials,Shampoo,Room-darkening shades,Hangers,Hair dryer,Hot water,Iron,Dedicated workspace,Outdoor shower,Elevator,Bed linens,Laundromat nearby,Private entrance,Refrigerator,Dishes and silverware,Clothing storage",false,false,1,Firm,PHP,6,0,70,4.7,4.8,4.8,4.7,4.9,4.8,4.8,4448.0,253298.0,19.4,1104.2,0.625,0.0,12.2,694.0,0.0,0.0,228,0,137,365,945.0,52698.0,20.3,1130.9,0.511,0.0,10.5,585.5,0.0,0.0,46,0,44,90
3839466,The Crossroad Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50859116/c1ad9b6d_original.jpg,12,19653124,John,"","",false,10.3276,123.9086,2,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Washer,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Iron",false,,30,Firm,PHP,0,0,29,4.79,4.9,5.0,4.8,5.0,4.8,4.8,472.0,26782.0,20.6,1177.2,0.066,0.152,1.3,73.4,3.0,169.5,24,207,341,365,0.0,0.0,14.4,803.7,0.0,0.0,0.0,0.0,0.0,0.0,0,60,90,90
4516686,No Pest Big 1 BR at Cebu Cntr w/ Free Parking,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4516686/original/8e2275de-3167-431c-8d1b-84c23cce2476.png,63,23417601,Jerry,"","",true,10.3124,123.9114,3,1,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Gym,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Theme room,Rice maker,Outlet covers,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",true,,1,Limited,PHP,0,0,58,4.84,4.8,5.0,4.8,4.8,4.8,4.8,3432.0,195067.0,43.5,2473.0,0.227,0.0,9.4,534.4,0.0,0.0,83,0,282,365,963.0,53704.0,45.2,2520.1,0.233,0.0,10.7,596.7,0.0,0.0,21,0,69,90
4560747,Super Cebu Loft Condo Fountain,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4560747/original/5eb62e5e-f987-4ce0-a98a-070d8026c6cf.jpeg,31,23644355,Jessamine,"","",false,10.3068,123.8952,8,1,4,2.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Elevator,Bed linens,Hot tub,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Dedicated workspace,Toaster,Rice maker,Bathtub",false,,1,Strict,PHP,30,0,68,4.81,4.7,5.0,4.6,4.9,4.9,4.7,3599.0,206464.0,99.4,5644.1,0.104,0.15,9.9,565.7,14.2,816.1,38,112,327,365,748.0,41716.0,122.9,6855.4,0.067,0.146,8.3,463.5,18.2,1017.5,6,49,84,90
4863139,The Purple Room,Entire loft,entire_home,https://a0.muscache.com/im/pictures/65277305/febbf388_original.jpg,37,19653124,John,"","",false,10.3087,123.8947,2,1,1,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Refrigerator,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Iron,Private entrance",false,false,30,Firm,PHP,20,0,48,4.79,4.9,4.9,4.9,4.9,4.8,4.8,4423.0,254490.0,54.9,3129.2,0.23,0.234,12.1,697.2,12.3,708.9,84,6,281,365,397.0,22142.0,43.0,2400.6,0.144,0.0,4.4,246.0,0.0,0.0,13,0,77,90
5035006,Cebu City downtown - spacious loft condo,Entire loft,entire_home,https://a0.muscache.com/im/pictures/211e0eb8-915a-4370-9a51-2ff00fb82289.jpg,23,25940434,Marie Paz & Ian,"","",false,10.3088,123.8947,6,1,1,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Portable fans,Elevator,Laundromat nearby,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Bathtub,Blender,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",false,,3,Limited,PHP,0,0,132,4.71,4.8,4.9,4.7,4.9,4.8,4.7,8857.0,505642.0,64.6,3680.6,0.359,0.465,24.3,1385.3,31.4,1793.1,131,83,234,365,3095.0,172613.0,65.2,3637.5,0.533,0.0,34.4,1917.9,0.0,0.0,48,0,42,90
