listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1169402,Davao CONDO 2BR Unit Pool Wi-Fi Netflix,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1169402/original/253021fc-56da-4d90-b335-94c8e7e6de3e.jpeg,24,504244845,Maria Kristina Caryll,6403304,Chester,false,7.1360,125.6613,8,2,4,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Washer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Safe,Dining table,Bread maker,Toaster",true,false,1,Firm,PHP,6,0,37,4.59,4.6,4.8,4.5,4.7,4.6,4.7,3349.0,190351.0,29.2,1660.1,0.312,0.365,9.2,521.5,10.7,610.1,114,53,251,365,1076.0,60006.0,31.8,1771.0,0.378,0.0,12.0,666.7,0.0,0.0,34,0,56,90
1644604,Two - 2BR unit in the heart of Davao City,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1644604/original/004c0ee1-ece3-46b2-8586-7358d4c02c66.jpeg,45,1783267,Mayluna,"","",false,7.0948,125.6132,3,2,4,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Gym,Elevator,Bed linens,Laundromat nearby,Pocket wifi,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Exercise equipment,Patio or balcony,Bidet,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Private entrance,Toaster,Rice maker",true,,14,Firm,PHP,0,0,15,4.27,4.6,4.6,4.9,4.8,4.9,4.8,722.0,40672.0,45.4,2591.8,0.052,0.063,2.0,111.4,2.4,135.1,19,64,346,365,578.0,32234.0,37.1,2070.9,0.178,0.225,6.4,358.2,8.1,454.0,16,19,74,90
4315902,2BR One Oasis Condo For Rent beside SM City Davao,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4315902/original/b6b25e68-70d2-4abb-87a5-347388911327.jpeg,18,22360750,Mabel,"","",false,7.0476,125.5890,6,2,3,1.0,false,"Stove,TV,Washer,Cable TV,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Shampoo,Hangers,Hot water,Gym,Elevator,Free street parking,Microwave,Refrigerator,Heating,Paid parking on premises",false,false,2,Firm,PHP,10,0,14,4.71,4.6,5.0,4.6,4.9,4.9,4.7,2988.0,172425.0,41.2,2348.7,0.17,0.405,8.2,472.4,19.5,1127.0,62,212,303,365,0.0,0.0,41.1,2290.8,0.0,0.0,0.0,0.0,0.0,0.0,0,84,90,90
5137254,913 Camella Northpoint  Davao Nottingham Bldg.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6378637c-13e0-4a28-a288-c420490f82d3.jpg,34,26561975,Rechel,"","",false,7.0951,125.6130,2,,1,1.0,false,"Stove,TV,Washer,Wifi,Patio or balcony,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Hangers,Iron,Gym,Elevator,Microwave,Refrigerator,Cooking basics",false,,5,Moderate,PHP,17,0,87,4.64,4.8,4.8,4.6,4.9,4.8,4.7,2122.0,121379.0,17.9,1020.0,0.334,0.351,5.8,332.5,6.1,348.8,122,17,243,365,526.0,29336.0,20.0,1112.9,0.3,0.0,5.8,326.0,0.0,0.0,27,0,63,90
7095759,Denise's Condo in Davao,Entire condo,entire_home,https://a0.muscache.com/im/pictures/382f72f0-9df2-411e-bd29-5dd9b5d2cd2e.jpg,33,18048047,Denise,58981000,Edenn Grace,false,7.0466,125.5882,3,1,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Portable fans,Gym,Resort access,Mini fridge,Elevator,Free street parking,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Rice maker,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Outdoor playground,Toaster",true,false,2,Moderate,PHP,0,0,37,4.95,5.0,5.0,4.9,5.0,5.0,5.0,2405.0,137856.0,45.7,2603.9,0.142,0.0,6.6,377.7,0.0,0.0,52,0,313,365,1018.0,56776.0,46.9,2615.0,0.233,0.0,11.3,630.8,0.0,0.0,21,0,69,90
7718613,Spacious 2BR Corner Unit | King Bed | Davao Center,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzcxODYxMw%3D%3D/original/e2248e5d-d505-444c-9ca8-a55c22248678.jpeg,38,40556352,Eve,"","",true,7.0626,125.6082,4,2,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Ceiling fan,Gym,Elevator,Trash compactor,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Iron,Freezer,Private entrance,Rice maker,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,EV charger,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Toaster",false,,3,Moderate,PHP,0,0,9,4.56,4.6,4.6,4.6,4.4,4.4,4.3,3712.0,213731.0,47.4,2694.8,0.249,0.529,10.2,585.6,21.6,1242.6,91,193,274,365,0.0,0.0,59.0,3288.5,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
8397398,Cozy 4BR•Unit2 of a 2Floor Duplex•10MinsToAirport•,Entire residential home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-8397398/original/d0d6c563-8dc2-4559-9f3d-4136609747b8.jpeg,56,44243268,Grace,"","",false,7.1246,125.6226,7,4,5,2.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Hot water,Bed linens,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Clothing storage,Stove,Shower gel,First aid kit,Fire extinguisher,Bidet,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Private entrance,Rice maker",true,,1,Moderate,PHP,26,0,46,5.0,4.9,5.0,5.0,5.0,4.7,5.0,1670.0,93139.0,43.7,2438.5,0.104,0.104,4.6,255.2,4.6,255.9,38,1,327,365,1409.0,78583.0,43.3,2414.8,0.356,0.36,15.7,873.1,15.8,883.0,32,1,58,90
8925356,Cozy 4BR•Unit1 of a 2Floor Duplex•10MinsToAirport•,Entire residential home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-8925356/original/244a352c-6369-4e1d-949a-70f477a7f834.jpeg,66,44243268,Grace,"","",false,7.1232,125.6224,7,4,5,2.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Hot water,Bed linens,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Clothing storage,Stove,Shower gel,First aid kit,Fire extinguisher,Bidet,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Private entrance,Rice maker",true,,1,Moderate,PHP,26,0,80,4.95,5.0,5.0,4.9,5.0,4.7,5.0,456.0,25430.0,44.2,2467.3,0.027,0.029,1.2,69.7,1.3,73.5,10,19,355,365,276.0,15391.0,43.9,2445.8,0.067,0.085,3.1,171.0,3.9,216.8,6,19,84,90
8952234,528 Camella Northpoint Davao,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7749db88-686f-4b4a-aba0-8326da73cfa3.jpg,34,26561975,Rechel,"","",false,7.0943,125.6148,2,,1,1.0,false,"TV,Washer,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Hangers,Hot water,Iron,Gym,Elevator,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises",false,,5,Firm,PHP,17,0,69,4.67,4.7,4.8,4.5,4.8,4.8,4.7,1929.0,109335.0,17.3,982.6,0.307,0.423,5.3,299.5,7.3,412.6,112,100,253,365,384.0,21418.0,18.6,1036.1,0.233,0.313,4.3,238.0,5.7,319.7,21,23,69,90
9678368,Artful Cow - Great value & Oriental themed Studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTY3ODM2OA%3D%3D/original/7c35a22b-0928-4103-9fe1-e3c92a0ab506.jpeg,40,50002901,Joseph,"","",true,7.0783,125.5448,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Pets allowed,Conditioner,Free street parking,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Children’s books and toys,Window guards,Crib,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",false,false,3,Flexible,PHP,0,0,29,4.69,4.7,4.6,4.5,4.7,4.9,4.7,1239.0,69784.0,22.4,1275.1,0.148,0.0,3.4,191.2,0.0,0.0,54,0,311,365,808.0,45064.0,22.8,1273.4,0.389,0.0,9.0,500.7,0.0,0.0,35,0,55,90
