listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
934642,EXEC. SUITE-THE GRAMERCY 59th FLR.W/PANORAMIC VIEW,Entire condo,entire_home,https://a0.muscache.com/im/pictures/688b07b0-e107-4261-9bb1-0c9cb14ec81a.jpg,71,3244425,Gin,559602503,Nemu,true,14.5652,121.0279,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer",false,false,3,Firm,PHP,27,0,160,4.68,4.8,4.8,4.7,4.9,4.8,4.6,3074.0,174209.0,52.2,2968.7,0.162,0.212,8.4,477.3,11.1,626.7,59,87,306,365,588.0,32792.0,55.8,3112.6,0.111,0.0,6.5,364.4,0.0,0.0,10,0,80,90
1033137,Perfect Greenbelt Views! King Bed +Gym Pool Washer,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1033137/original/b31d1841-13b2-444c-9468-4d16698cae35.jpeg,35,5685477,Marie Paulette,5480750,Louis,true,14.5523,121.0192,4,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Gym,Resort access,Conditioner,Mini fridge,Elevator,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Freezer,Private entrance,Sound system,Rice maker,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,EV charger,Single level home,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Sun loungers,Toaster",true,false,1,Strict,PHP,0,0,132,4.78,4.8,4.9,4.8,4.9,5.0,4.7,34553.0,1978182.0,134.4,7661.5,0.712,0.767,94.7,5419.7,101.9,5835.3,260,26,105,365,4907.0,273663.0,127.1,7089.6,0.422,0.594,54.5,3040.7,76.7,4276.0,38,26,52,90
1272266,Top Requested Makati Condo Rental,Entire condo,entire_home,https://a0.muscache.com/im/pictures/ddb5b825-3402-4518-a3a8-c4fd84ec23ab.jpg,32,6924619,Michael,"","",false,14.5673,121.0281,4,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Gym,Elevator,Laundromat nearby,Cleaning products,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Rice maker,Bathtub,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Toaster",true,false,3,Flexible,PHP,0,0,60,4.73,4.9,4.8,4.8,4.8,4.9,4.8,4621.0,263150.0,49.8,2834.8,0.255,0.0,12.7,721.0,0.0,0.0,93,0,272,365,1135.0,63296.0,51.3,2859.7,0.244,0.0,12.6,703.3,0.0,0.0,22,0,68,90
1526572,Greenbelt Modern Stylish. Fast Wifi. Comfy&Cool,Entire condo,entire_home,https://a0.muscache.com/im/pictures/25b898ef-9223-44af-8265-1607c1190c38.jpg,16,5931282,Richard,"","",true,14.5528,121.0211,2,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",false,false,45,Limited,PHP,25,0,178,4.84,4.9,4.9,4.8,4.9,4.9,4.7,10507.0,596399.0,48.0,2732.8,0.597,0.0,28.8,1634.0,0.0,0.0,218,0,147,365,3963.0,221020.0,52.3,2914.3,0.833,0.0,44.0,2455.8,0.0,0.0,75,0,15,90
1581363,HOMEY AND COZY | 1BR POPACION MAKATI (02),Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1581363/original/554a352f-8c61-4f15-ae1c-f17f4539c377.jpeg,19,8399895,Mark And Christine,"321063329,480147424,510628186","Mariella,Alfie,Jonald",false,14.5672,121.0296,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,PHP,0,0,255,4.55,4.5,4.8,4.4,4.8,4.8,4.7,535.0,30722.0,20.8,1184.0,0.071,0.0,1.5,84.2,0.0,0.0,26,0,339,365,167.0,9314.0,20.7,1151.9,0.089,0.0,1.9,103.5,0.0,0.0,8,0,82,90
1907688,New condo @ the heart of Makati CBD,Entire condo,entire_home,https://a0.muscache.com/im/pictures/28148925/039c3271_original.jpg,26,8210502,Vernice,"","",false,14.5583,121.0149,2,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,,1,Moderate,PHP,8,0,259,4.76,4.9,4.9,4.8,4.9,4.8,4.7,339.0,19867.0,32.2,1831.2,0.03,0.0,0.9,54.4,0.0,0.0,11,0,354,365,0.0,0.0,32.6,1818.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2229603,"Makati city condo, high floor. Great amenities",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjIyOTYwMw%3D%3D/original/deaa497f-c84e-4922-b8f7-d122b0816149.jpeg,30,11380667,Chet,"","",false,14.5638,121.0301,2,1,1,1.0,false,"TV,Cable TV,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Room-darkening shades,Hangers,Hair dryer,Gym,Elevator,Laundromat nearby,Clothing storage",false,,60,Flexible,PHP,15,10,5,4.8,5.0,5.0,4.8,4.8,5.0,4.6,541.0,30969.0,40.5,2305.9,0.036,0.0,1.5,84.8,0.0,0.0,13,0,352,365,0.0,0.0,40.9,2281.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2250347,HOMEY AND COZY | 1BR POPACION MAKATI  (09),Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2250347/original/45978a19-6791-482e-8bc1-c05edfd8ada3.jpeg,18,8399895,Mark And Christine,"321063329,480147424,510628186","Mariella,Alfie,Jonald",false,14.5673,121.0291,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,PHP,0,0,286,4.53,4.5,4.8,4.4,4.8,4.8,4.7,671.0,38525.0,21.3,1212.2,0.088,0.0,1.8,105.5,0.0,0.0,32,0,333,365,62.0,3458.0,20.8,1162.5,0.033,0.0,0.7,38.4,0.0,0.0,3,0,87,90
2322795,Paris Dreamy Chic Studio at Gramercy 58th Flr!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjMyMjc5NQ==/original/8aee3e83-e8cf-432e-8177-59c6481bb2c5.jpeg,42,11862507,Mary,"","",false,14.5673,121.0286,4,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Paid parking off premises,Smoking allowed,Pets allowed,Hot water,Gym,Elevator,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Dryer,Smoke alarm,Exercise equipment,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Outdoor playground,Hair dryer,Iron,Dedicated workspace",true,false,2,Moderate,PHP,0,0,269,4.71,4.8,4.7,4.7,4.8,4.9,4.7,7743.0,444372.0,52.2,2975.4,0.403,0.425,21.2,1217.5,22.4,1284.3,147,19,218,365,0.0,0.0,51.7,2880.9,0.0,0.0,0.0,0.0,0.0,0.0,0,19,90,90
2333593,HOMEY AND COZY | 1BR POBLACION MAKATI (11),Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2333593/original/257de1ec-f297-4ffb-8503-05b6e877b8de.jpeg,19,8399895,Mark And Christine,"321063329,480147424,510628186","Mariella,Alfie,Jonald",false,14.5673,121.0291,,,1,0.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Firm,PHP,0,0,332,4.68,4.7,4.9,4.6,4.8,4.8,4.8,1873.0,106946.0,22.2,1262.7,0.227,0.0,5.1,293.0,0.0,0.0,83,0,282,365,348.0,19408.0,21.1,1176.7,0.178,0.0,3.9,215.6,0.0,0.0,16,0,74,90
