listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1426653,2BR Loft Type Condo w/ Free Wi-fi,Entire loft,entire_home,https://a0.muscache.com/im/pictures/f3dfdc34-ded0-444c-85c6-5f981de9a12e.jpg,36,5458797,Salomonsson,"","",false,14.5788,121.0473,6,2,7,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Ceiling fan,Gym,Elevator,Trash compactor,Laundromat nearby,Drying rack for clothing,Paid parking on premises,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Rice maker,Bathtub,Baby bath,Blender,Window guards,Babysitter recommendations,Room-darkening shades,Children’s dinnerware,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",,,3,Flexible,PHP,26,,8,4.63,4.5,4.8,4.8,4.6,4.8,4.2,998.0,56782.0,39.6,2253.6,0.068,0.097,2.7,155.6,3.9,219.2,25,106,340,365,0.0,0.0,40.7,2271.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1820124,Up and Down 1 BR condo with WIFI,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/79254038/de95c993_original.jpg,16,3120797,Maria Nice,"","",true,14.5694,121.0477,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Elevator,Pool,Kitchen,Gym",false,,30,Firm,PHP,0,0,6,4.5,4.6,4.6,4.2,4.6,4.8,4.2,330.0,19340.0,25.5,1451.9,0.036,0.0,0.9,53.0,0.0,0.0,13,0,352,365,0.0,0.0,24.9,1388.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2692558,"2bedrooms, 2 bathrooms, free parking, great view",Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-2692558/original/af189045-ceef-4f29-96bc-92561ae37123.jpg,27,9644508,Marilag,"","",true,14.5745,121.0452,4,2,4,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area",false,,2,Moderate,PHP,8,0,51,4.88,4.9,4.9,4.7,4.9,4.8,4.9,7655.0,435261.0,41.0,2334.1,0.512,0.628,21.0,1192.5,25.7,1460.6,187,67,178,365,2517.0,140375.0,43.2,2410.5,0.644,0.0,28.0,1559.7,0.0,0.0,58,0,32,90
3241669,Home Away From Home: Vibrant & Urban Manila Haven,Entire condo,entire_home,https://a0.muscache.com/im/pictures/cd5056f8-11b5-4a09-ac49-240bd4c9c043.jpg,46,16402091,Oscar,"","",false,14.5732,121.0482,2,1,1,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Gym,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Babysitter recommendations,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Refrigerator,Dishes and silverware,Exercise equipment,Shower gel,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground",false,false,2,Strict,PHP,0,0,88,4.85,4.9,4.8,4.8,4.7,4.8,4.8,4986.0,283041.0,22.0,1249.9,0.616,0.0,13.7,775.5,0.0,0.0,225,0,140,365,1229.0,68537.0,23.8,1327.3,0.567,0.0,13.7,761.5,0.0,0.0,51,0,39,90
4053859,Twin Oaks West Pool 100mbps Shangrila Megamall,Entire condo,entire_home,https://a0.muscache.com/im/pictures/63464660/38ec83af_original.jpg,43,7158286,Jenny,"","",true,14.5801,121.0539,4,,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Room-darkening shades,Hot water kettle,Hot water,Body soap,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Single level home,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Children's playroom,Hangers,Dining table,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",false,false,4,Flexible,PHP,0,0,195,4.93,5.0,5.0,4.9,5.0,4.9,4.9,4945.0,285197.0,34.1,1936.3,0.433,0.0,13.5,781.4,0.0,0.0,158,0,207,365,125.0,6971.0,39.1,2178.1,0.033,0.0,1.4,77.5,0.0,0.0,3,0,87,90
4298554,Clean Cozy Condo,Entire condo,entire_home,https://a0.muscache.com/im/pictures/5196219e-8780-4cec-bf77-1f8f7baff5b5.jpg,31,17268630,Maria,"","",true,14.5805,121.0528,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Hot water,Gym,Elevator,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Single level home,Smoke alarm,Patio or balcony,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Rice maker",false,,15,Firm,PHP,32,0,40,4.63,4.8,4.7,5.0,4.8,4.8,4.8,2299.0,131703.0,16.5,937.8,0.397,0.575,6.3,360.8,9.1,522.6,145,113,220,365,0.0,0.0,18.4,1024.3,0.0,0.0,0.0,0.0,0.0,0.0,0,68,90,90
4305894,Condo in Manila within SM  Megamall and Shangrila,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/54180091/b6d8bd30_original.jpg,39,2932333,Gez,"","",false,14.5834,121.0518,3,1,1,1.5,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Smoking allowed,Hot water,Gym,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Bidet,Long term stays allowed,Hangers,Dining table,Iron,Toaster,Rice maker",true,false,7,Firm,PHP,10,0,24,4.75,4.8,4.8,4.6,4.9,4.9,4.8,824.0,46288.0,26.4,1503.5,0.085,0.131,2.3,126.8,3.5,196.1,31,129,334,365,399.0,22254.0,27.8,1548.6,0.167,0.306,4.4,247.3,8.1,454.2,15,41,75,90
4875246,"1BR Safe, Convenient, Accessible",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/61227486/61787616_original.jpg,44,25080298,Mabel,"","",false,14.5738,121.0481,2,1,1,1.0,false,"TV,Smoke alarm,Wifi,Air conditioning,Elevator,Pool,Kitchen,Essentials,Shampoo,Gym",false,,7,Firm,PHP,35,0,3,4.67,4.7,5.0,5.0,5.0,4.7,5.0,386.0,22108.0,30.2,1720.3,0.036,0.0,1.1,60.6,0.0,0.0,13,0,352,365,0.0,0.0,32.2,1794.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
4899379,1BR Home with Wifi and near the MRT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/71438167/2bfe644b_original.jpg,19,15174100,Ginger,"","",false,14.5721,121.0480,3,1,2,1.0,false,"TV,Cable TV,Smoke alarm,Wifi,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Elevator",false,,180,Strict,PHP,0,0,20,4.85,4.9,4.8,5.0,4.9,4.8,4.9,275.0,15769.0,20.6,1173.1,0.036,0.0,0.8,43.2,0.0,0.0,13,0,352,365,0.0,0.0,17.1,951.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
5040162,Condominium in the Middle of Manila,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f2c381a7-7ceb-4f44-bce0-12d07977a037.jpg,24,26018983,Geraldine,111326340,Maria Carizza,false,14.5742,121.0496,3,1,1,1.0,false,"Stove,TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Essentials,Shampoo,Room-darkening shades,Hot water kettle,Hangers,Hot water,Elevator,Bed linens,Private entrance,Microwave,Refrigerator,Toaster,Dishes and silverware",false,,90,Flexible,PHP,8,0,81,4.79,4.8,4.9,4.7,4.9,4.9,4.8,673.0,37560.0,18.8,1070.0,0.088,0.122,1.8,102.9,2.6,142.8,32,102,333,365,181.0,10092.0,21.8,1215.7,0.1,0.0,2.0,112.1,0.0,0.0,9,0,81,90
