listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
74754,SPECTACULAR OCEAN VIEW MANILA BAY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzQ3NTQ%3D/original/82881a2b-723c-4cfb-8e35-3eedfe92dda9.jpeg,25,3735784,Cha,"339649,3399499","Cristiano,Camilla",false,14.5673,120.9848,6,3,3,2.0,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Pets allowed,Hot water,Gym,Elevator,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Wine glasses,Single level home,Patio or balcony,Bidet,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Rice maker",false,false,7,Firm,PHP,115,0,167,4.57,4.7,4.8,4.5,4.8,4.4,4.6,11360.0,647781.0,108.3,6159.8,0.279,0.28,31.1,1774.7,31.2,1779.6,102,1,263,365,1025.0,57163.0,122.1,6810.7,0.089,0.0,11.4,635.1,0.0,0.0,8,0,82,90
119558,Coco's Garden Manila,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-119558/original/635b03ae-24e0-4644-8883-1ec97d6ba1fa.jpg,48,592395,Greg,"","",true,14.5856,120.9971,,,2,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Free street parking,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Dedicated workspace",false,false,1,Moderate,PHP,10,0,394,4.84,4.8,4.9,4.8,4.9,4.5,4.8,2549.0,146504.0,66.6,3793.0,0.107,0.0,7.0,401.4,0.0,0.0,39,0,326,365,0.0,0.0,68.0,3792.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
267104,Your Two Bedroom Vacation Home in Manila,Entire condo,entire_home,https://a0.muscache.com/im/pictures/14450038/1c3bf022_original.jpg,23,1400105,Sallie,525622987,Sherwin,false,14.5618,120.9945,4,2,3,1.0,false,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Crib,Kitchen,Pool table,Portable fans,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Iron,Toaster,Rice maker",false,false,2,Firm,PHP,40,0,83,4.46,4.6,4.7,4.5,4.8,4.7,4.5,2395.0,135665.0,37.8,2149.9,0.167,0.188,6.6,371.7,7.4,417.4,61,40,304,365,406.0,22642.0,46.5,2593.9,0.1,0.0,4.5,251.6,0.0,0.0,9,0,81,90
731495,8Hostel-Private Room Bunk Bed (Private CR),Private room in hostel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-731495/original/17cb68f7-fbff-451b-a9cd-a68c67e6e164.jpeg,15,3807188,Stella,"","",false,14.5982,120.9864,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Paid parking off premises,Pets allowed,Body soap,Conditioner,Bed linens,Laundromat nearby,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers",true,,1,Flexible,PHP,0,0,5,4.8,4.8,4.6,4.8,4.8,4.6,4.6,452.0,26389.0,29.9,1728.2,0.041,0.0,1.2,72.3,0.0,0.0,15,0,350,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1115273,Studio / Condo at great location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/22211992/86e4ae44_original.jpg,15,6037197,Stefan,"","",true,14.5606,120.9917,2,1,1,1.0,false,"TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Shampoo,Paid parking off premises,Hangers,Hair dryer,Hot water,Elevator,Heating",false,,30,Firm,PHP,50,0,67,4.67,4.7,4.7,4.6,4.8,4.3,4.6,1275.0,73489.0,19.2,1089.7,0.192,0.345,3.5,201.3,6.3,362.0,70,162,295,365,240.0,13384.0,20.9,1163.7,0.133,0.171,2.7,148.7,3.4,191.2,12,20,78,90
1857894,URBAN RETREAT 1 (1BR),Entire condo,entire_home,https://a0.muscache.com/im/pictures/108377061/f73b754e_original.jpg,12,4698234,Noel,"","",false,14.5700,120.9868,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Washer,Smoke alarm,Patio or balcony,Essentials,Hangers,Hair dryer,Iron",false,false,3,Strict,PHP,0,0,65,4.69,4.8,4.5,4.6,4.7,4.9,4.4,910.0,52208.0,58.3,3318.2,0.044,0.0,2.5,143.0,0.0,0.0,16,0,349,365,121.0,6748.0,60.8,3390.1,0.022,0.0,1.3,75.0,0.0,0.0,2,0,88,90
2029368,US Embassy & Overlooking Manila Bay Netflix Ready.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/257617bd-3091-445e-a983-77ff86611868.jpg,42,10422752,John Paulo & Joy,"","",true,14.5769,120.9816,4,1,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Portable fans,Hot water,Gym,Body soap,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Smoke alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hair dryer,Dedicated workspace",false,,2,Strict,PHP,14,0,109,4.7,4.7,4.9,4.7,4.9,4.7,4.7,7231.0,413454.0,39.2,2229.0,0.515,0.525,19.8,1132.8,20.2,1154.9,188,7,177,365,1569.0,87505.0,42.6,2373.9,0.4,0.434,17.4,972.3,18.9,1054.3,36,7,54,90
2311047,"2 br, 3 bath, fully furnished, airconditioned.",Entire condo,entire_home,https://a0.muscache.com/im/pictures/34841606/63468c6e_original.jpg,29,11802755,Becky,"","",false,14.5797,120.9835,6,2,3,3.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Hot tub,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,First aid kit,Backyard,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub",false,,7,Firm,PHP,100,0,24,4.58,4.6,4.5,4.2,4.7,4.9,4.5,2122.0,119715.0,121.4,6923.2,0.047,0.056,5.8,328.0,7.0,392.5,17,60,348,365,0.0,0.0,109.4,6102.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2586715,2 Bedroom Condo GREAT VIEW,Entire condo,entire_home,https://a0.muscache.com/im/pictures/34094889/3d61690c_original.jpg,49,13244876,Kath,"","",false,14.5812,120.9796,6,2,2,2.0,false,"TV,Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Gym,Elevator,Hot tub,Refrigerator,Dishes and silverware",false,,2,Firm,PHP,26,0,45,4.29,4.6,4.7,4.0,4.8,4.7,4.5,755.0,43747.0,59.8,3399.0,0.036,0.04,2.1,119.9,2.3,135.4,13,42,352,365,0.0,0.0,66.6,3711.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3083301,Fully furnished 2br. condo in avida san lazaro,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3083301/original/21637a41-bc85-4570-8cbd-abd92f5485de.jpeg,11,15688908,Almira,"","",false,14.6199,120.9883,5,2,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Elevator,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Washer,Smoke alarm,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Rice maker",false,false,3,Moderate,PHP,12,0,34,4.47,4.4,4.7,4.0,4.8,4.9,4.5,5424.0,310910.0,43.3,2462.3,0.34,0.368,14.9,851.8,16.1,922.6,124,28,241,365,1057.0,58950.0,47.6,2655.9,0.244,0.355,11.7,655.0,17.0,950.8,22,28,68,90
3442913,1 Bedroom Apartment,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ0MjkxMw%3D%3D/original/ff3d394e-8e46-49b5-acbe-5e378f2e709f.jpeg,38,13683440,Jmm Grand Suites Hotel,"","",false,14.5754,120.9841,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Hot water,Gym,Body soap,Elevator,Microwave,Indoor fireplace,Refrigerator,Heating,Cooking basics,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Hair dryer,Freezer,Rice maker",true,false,1,Moderate,PHP,0,0,34,4.32,4.4,4.3,4.6,4.1,4.8,4.5,2422.0,137503.0,60.8,3462.7,0.104,0.0,6.6,376.7,0.0,0.0,38,0,327,365,550.0,30676.0,57.3,3193.8,0.1,0.0,6.1,340.8,0.0,0.0,9,0,81,90
3640735,"Hip 1BD, Amazing View, New World",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/46790786/c19289c8_original.jpg,55,3699401,Suzette,"","",false,14.5723,120.9828,4,1,1,1.0,false,"Stove,TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hot water,Gym,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Oven",false,false,3,Firm,PHP,10,0,102,4.72,4.8,4.8,4.7,4.9,4.7,4.7,4047.0,233956.0,53.4,3037.1,0.214,0.252,11.1,641.0,13.1,757.1,78,56,287,365,866.0,48298.0,54.1,3015.3,0.178,0.0,9.6,536.6,0.0,0.0,16,0,74,90
