listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
668922,Fully furnished 1 Bedroom Condo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8792620/1db831c3_original.jpg,16,871333,Dizza,"","",false,14.5281,120.9882,4,1,2,1.0,false,"TV,Cable TV,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Shampoo,Hangers,Gym,Elevator",false,,2,Firm,PHP,13,0,3,5.0,5.0,4.0,5.0,5.0,4.7,5.0,606.0,34692.0,46.1,2626.2,0.036,0.0,1.7,95.0,0.0,0.0,13,0,352,365,0.0,0.0,47.0,2619.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
997401,Serviced condominium near Manila airport (NAIA),Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-997401/original/defcd04e-5cc3-49fd-ab9a-dce5f43132f5.jpeg,75,5480750,Louis,"","",true,14.5063,121.0333,9,3,4,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Gym,Breakfast,Resort access,Conditioner,Mini fridge,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Crib,Pack ’n play/Travel crib,Room-darkening shades,Game console,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Outdoor playground,Baking sheet,Sun loungers,Toaster",true,false,1,Strict,PHP,8,0,132,4.88,4.8,4.8,4.9,4.9,4.7,4.8,39469.0,2252759.0,151.7,8637.7,0.712,0.0,108.1,6171.9,0.0,0.0,260,0,105,365,9597.0,535224.0,155.5,8674.1,0.689,0.0,106.6,5946.9,0.0,0.0,62,0,28,90
1145678,New 2 BR & 1TB Apt. in Shore with free parking,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1145678/original/6eaa1d4d-e925-4713-83cc-69f7233250a6.jpeg,12,6282271,Margie,435672487,Fua,false,14.5511,120.9861,4,2,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Paid parking off premises,Smoking allowed,Ceiling fan,Hot water,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Exercise equipment,Patio or balcony,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",false,false,1,Flexible,PHP,31,0,15,4.4,4.5,4.6,4.5,4.5,4.8,4.5,4267.0,245678.0,56.7,3219.9,0.252,0.322,11.7,673.1,14.9,859.0,92,79,273,365,387.0,21584.0,69.1,3856.3,0.067,0.0,4.3,239.8,0.0,0.0,6,0,84,90
1808914,1BR Solemare Aseana MOA Okada COD Paranaque w/WIFI,Entire condo,entire_home,https://a0.muscache.com/im/pictures/bdbc376c-5326-429b-95f4-aaacce9b8f65.jpg,50,9479037,Lucas,"","",true,14.5292,120.9879,4,1,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Gym,Body soap,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Smoke alarm,Shower gel,Carbon monoxide alarm,Backyard,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Freezer,Rice maker",true,false,2,Firm,PHP,0,0,97,4.67,4.8,4.7,4.6,4.8,4.8,4.6,1038.0,59732.0,47.1,2683.8,0.055,0.064,2.8,163.6,3.3,190.8,20,52,345,365,88.0,4908.0,46.0,2563.6,0.022,0.033,1.0,54.5,1.5,81.8,2,30,88,90
2582931,2BR/2Bath Condo near MoA Pasay/Airport/Casinos,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/edb16ccf-2517-4817-afeb-2702275664f2.jpg,15,13225537,May,"","",false,14.5101,120.9775,3,2,2,2.0,false,"Stove,TV,Cable TV,Wifi,Air conditioning,Kitchen,Elevator,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",false,false,5,Firm,PHP,0,0,9,4.67,4.7,4.9,4.6,4.8,4.3,4.9,970.0,54100.0,40.7,2320.0,0.066,0.084,2.7,148.2,3.4,189.8,24,80,341,365,725.0,40435.0,40.2,2241.5,0.2,0.0,8.1,449.3,0.0,0.0,18,0,72,90
3465636,Lovely 1-bedroom flat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/45004998/f599b6af_original.jpg,13,17460568,Inna,"","",false,14.4827,121.0025,2,1,1,1.0,false,"TV,Smoke alarm,Wifi,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Smoking allowed,Hangers,Hair dryer,Hot water,Iron,Gym,Elevator,Bed linens,Extra pillows and blankets,Heating",false,,28,Flexible,PHP,10,0,7,4.43,4.3,4.5,4.2,4.8,4.0,4.3,155.0,8644.0,13.7,784.3,0.033,0.044,0.4,23.7,0.6,31.7,12,92,353,365,0.0,0.0,11.7,652.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
4576103,H Urban Oasis @ Azure Urban Resort,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/57468646/020c880a_original.jpg,31,23721374,Kat,"","",false,14.4865,121.0438,,,1,0.0,false,"TV,Beach access,Smoke alarm,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Shampoo,Smoking allowed,Elevator,Heating",false,,29,Moderate,PHP,8,0,4,4.75,5.0,5.0,4.5,5.0,5.0,4.2,555.0,31958.0,40.3,2305.6,0.036,0.0,1.5,87.6,0.0,0.0,13,0,352,365,0.0,0.0,27.2,1516.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
4973427,2BR De Luxe Santorini-Azure Beach View (w/parking),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bcc11abe-b872-4efe-a0eb-aed9e418217f.jpg,67,25635447,Luc,"62067152,693281126","Mye,Karen",true,14.4846,121.0448,8,2,3,2.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Game console,Hot water,Resort access,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Iron,Dedicated workspace",true,false,1,Flexible,PHP,8,0,255,4.8,4.8,4.8,4.8,4.8,4.8,4.8,14201.0,810000.0,81.3,4623.3,0.479,0.0,38.9,2219.2,0.0,0.0,175,0,190,365,2047.0,114160.0,90.1,5026.1,0.244,0.0,22.7,1268.4,0.0,0.0,22,0,68,90
5804403,1BR Condo Unit near SM Sucat: Minimum 4-weeks,Entire condo,entire_home,https://a0.muscache.com/im/pictures/72276910/cbeb88a7_original.jpg,20,32497321,Jacquiline,30103463,Dan,false,14.4835,120.9928,3,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Smoke alarm,Patio or balcony,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Toaster,Rice maker",false,,28,Moderate,PHP,50,0,17,4.53,4.5,4.8,4.4,4.7,4.8,4.6,291.0,16674.0,23.0,1309.4,0.036,0.0,0.8,45.7,0.0,0.0,13,0,352,365,0.0,0.0,24.1,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
6724276,"Cozy 1BR@SMFields Sucat@back of SM Mall, Wi-Fi, TV",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6724276/original/70b702d1-6bb8-431e-af17-d7e52f73fb1a.jpeg,48,12693964,Jo,"","",false,14.4802,120.9932,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Portable fans,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Dining table,Freezer,Toaster,Rice maker",false,false,20,Moderate,PHP,0,0,13,5.0,5.0,5.0,4.8,5.0,4.9,4.9,230.0,13021.0,22.5,1280.8,0.027,0.035,0.6,35.7,0.8,45.8,10,81,355,365,0.0,0.0,20.2,1126.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
