listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
356202,Awesome Cozy Comfy Condo @Newport near NAIA T3!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4534197/45ab690e_original.jpg,89,1802790,Mary Ann,2181657,Roberto,true,14.5215,121.0170,4,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Books and reading material,Portable fans,Gym,Conditioner,Elevator,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Rice maker,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Backyard,Long term stays allowed,Dining table",false,false,5,Flexible,PHP,0,0,54,4.9,5.0,5.0,4.9,5.0,4.9,4.8,4158.0,240278.0,46.2,2628.5,0.252,0.0,11.4,658.3,0.0,0.0,92,0,273,365,919.0,51251.0,46.6,2600.7,0.222,0.0,10.2,569.5,0.0,0.0,20,0,70,90
707833,"New 1 BR luxury resort, wifi&pool",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/60932613/cff75047_original.jpg,11,3594099,Alzbeta,"","",false,14.5203,121.0159,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Elevator,Pool,Kitchen",true,,10,Flexible,PHP,68,0,6,4.67,4.4,5.0,4.6,5.0,4.8,4.8,657.0,37595.0,50.4,2868.3,0.036,0.0,1.8,103.0,0.0,0.0,13,0,352,365,0.0,0.0,52.0,2898.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1001597,Luxury Condo Next Marriott Manila,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15042249/5b1a174f_original.jpg,30,1089910,Jane,"","",false,14.5193,121.0173,3,1,1,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Elevator,Microwave,Coffee maker,Paid parking on premises,Washer,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,,120,Firm,PHP,20,37,3,5.0,4.7,5.0,5.0,5.0,5.0,5.0,563.0,32311.0,43.5,2479.0,0.036,0.0,1.5,88.5,0.0,0.0,13,0,352,365,0.0,0.0,39.3,2190.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1049279,SEA Residences Condo near Mall of Asia (812),Entire condo,entire_home,https://a0.muscache.com/im/pictures/24e4be4d-9184-4834-b57f-e5778123bca7.jpg,20,5778323,Rosel,"","",false,14.5344,120.9860,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Elevator,Bed linens,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Smoke alarm,Patio or balcony,Bidet,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Dedicated workspace,Freezer,Rice maker",true,,2,Firm,PHP,0,0,157,4.77,4.8,4.9,4.7,4.9,4.9,4.8,2886.0,166001.0,31.2,1777.8,0.263,0.0,7.9,454.8,0.0,0.0,96,0,269,365,173.0,9647.0,33.7,1880.0,0.056,0.0,1.9,107.2,0.0,0.0,5,0,85,90
1224522,"Staycation @Sea Residence, walking distance to MOA",Entire condo,entire_home,https://a0.muscache.com/im/pictures/60faaafb-0bc9-484b-84c0-96f52af03fc9.jpg,21,5778323,Rosel,"","",false,14.5340,120.9862,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Elevator,Bed linens,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Smoke alarm,Patio or balcony,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Freezer,Rice maker",true,false,2,Firm,PHP,0,0,122,4.86,4.9,4.9,4.8,4.9,4.9,4.9,2895.0,165940.0,35.0,1987.8,0.233,0.0,7.9,454.6,0.0,0.0,85,0,280,365,414.0,23089.0,38.5,2149.0,0.122,0.0,4.6,256.5,0.0,0.0,11,0,79,90
1224676,Staycation @MOA Sea Residences Tower F,Entire condo,entire_home,https://a0.muscache.com/im/pictures/69f0551c-b8e9-4ca6-9a8b-d474a08d4dab.jpg,24,5778323,Rosel,"","",false,14.5340,120.9860,3,1,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Elevator,Bed linens,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Smoke alarm,Patio or balcony,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Toaster,Rice maker",true,false,2,Firm,PHP,0,0,116,4.84,4.9,4.9,4.7,4.9,4.9,4.8,2630.0,151629.0,30.8,1751.9,0.241,0.0,7.2,415.4,0.0,0.0,88,0,277,365,233.0,12995.0,32.7,1821.9,0.078,0.0,2.6,144.4,0.0,0.0,7,0,83,90
2985340,Comfy Place in Pasay,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/208ca14d-328c-4aad-8d9b-c0724811fc52.jpg,31,14662447,Leyn,63249942,Vladimir,true,14.5367,121.0057,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Smoking allowed,Hot water,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Smoke alarm,Patio or balcony,First aid kit,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,false,2,Moderate,PHP,0,0,397,4.86,4.9,4.9,4.8,5.0,4.7,4.9,6398.0,364223.0,23.6,1344.7,0.742,0.0,17.5,997.9,0.0,0.0,271,0,94,365,1469.0,81922.0,25.2,1402.9,0.644,0.0,16.3,910.2,0.0,0.0,58,0,32,90
3572120,Impressive Two Bedroom Condo Near All Conveniences,Entire condo,entire_home,https://a0.muscache.com/im/pictures/45031407/45303e07_original.jpg,33,1400105,Sallie,525622987,Sherwin,false,14.5573,120.9966,4,2,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Pool table,Paid parking off premises,Portable fans,Ceiling fan,Hot water,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Outdoor playground,Iron,Sound system,Toaster,Rice maker",false,false,2,Firm,PHP,40,0,54,4.7,4.8,4.9,4.8,4.9,4.7,4.8,4273.0,242675.0,39.4,2237.6,0.321,0.0,11.7,664.9,0.0,0.0,117,0,248,365,482.0,26881.0,49.7,2774.3,0.111,0.0,5.4,298.7,0.0,0.0,10,0,80,90
4418220,Shell Res. Pasay 1BR Walk to MOA. Newly Renovated!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4418220/original/2da6325e-2f27-4495-aa22-45b37e9f275d.jpeg,83,7873502,Tennessee Viduya,"465026711,525968176","Amanda,Edd",true,14.5383,121.0083,3,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Books and reading material,Portable fans,Conditioner,Elevator,Laundromat nearby,Cleaning products,Paid parking on premises,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Backyard,Long term stays allowed,Dining table",true,false,3,Firm,PHP,35,0,126,4.79,4.9,4.9,4.9,4.9,4.9,4.8,7412.0,422271.0,35.7,2030.0,0.586,0.629,20.3,1156.9,21.8,1242.0,214,25,151,365,1354.0,75510.0,40.3,2247.5,0.389,0.538,15.0,839.0,20.8,1161.7,35,25,55,90
4503275,24fl  Spacious big 2BR unit PASAY/MANILA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4503275/original/bde1d59f-9c08-4c0e-b7bf-54a4be669b42.jpeg,13,2899268,Marco,"","",false,14.5585,120.9905,4,2,2,1.5,false,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Bikes,Paid parking off premises,Books and reading material,Portable fans,Pets allowed,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Single level home,Beach access,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Rice maker",false,,3,Moderate,PHP,0,0,59,4.76,4.8,4.8,4.7,4.8,4.4,4.8,1375.0,79712.0,27.1,1539.7,0.151,0.18,3.8,218.4,4.5,261.4,55,60,310,365,0.0,0.0,32.0,1782.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
