listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
139676,"Eastwood Parkview 2, Philippines",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1952896/0afb939d_original.jpg,20,681094,Mary Grace,"","",false,14.5984,121.0844,4,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Elevator,Pool,Kitchen,Gym",false,,10,Firm,PHP,0,0,45,4.37,4.5,4.6,4.2,4.7,4.8,4.4,372.0,21718.0,28.1,1600.0,0.038,0.0,1.0,59.5,0.0,0.0,14,0,351,365,0.0,0.0,30.3,1691.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2481414,Condo Apartment in Ortigas Pasig,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2481414/original/10ca3c70-7fda-4426-b3d9-d9e6f7f9d1c2.jpeg,13,12694402,Richard,"","",false,14.5895,121.0642,2,1,1,1.0,false,"Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Shampoo,Paid parking off premises,Hangers,Hair dryer,Hot water,Gym,Elevator,Coffee maker,Refrigerator,Heating",false,,90,Moderate,PHP,833,0,8,4.25,4.6,4.7,3.6,5.0,4.6,4.2,810.0,46555.0,14.1,804.8,0.159,0.0,2.2,127.5,0.0,0.0,58,0,307,365,0.0,0.0,14.1,788.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2571054,SM Light Residences Fast Internet FREE Pool coupon,Entire condo,entire_home,https://a0.muscache.com/im/pictures/f3715861-c43b-4725-99b0-90460c731fc1.jpg,44,13164160,Alelie,"","",false,14.5691,121.0524,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Resort access,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Bidet,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Room-darkening shades,Movie theater,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Backyard,Long term stays allowed,Dining table,Outdoor playground",true,,7,Firm,PHP,15,0,122,4.78,4.9,4.9,4.8,4.9,4.8,4.8,1076.0,61738.0,27.6,1570.0,0.11,0.117,2.9,169.1,3.1,180.5,40,23,325,365,294.0,16398.0,28.9,1613.7,0.122,0.0,3.3,182.2,0.0,0.0,11,0,79,90
4107934,Penthouse Eton Emerald Loft,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4107934/original/868480cf-8a8f-4735-b550-091a8a530ba2.jpeg,34,21311684,Marga,409237926,Diego,false,14.5893,121.0615,3,1,3,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Bed linens,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Private entrance",false,false,3,Firm,PHP,0,0,72,4.72,4.8,4.9,4.7,4.8,5.0,4.8,9122.0,522242.0,44.7,2547.3,0.556,0.578,25.0,1430.8,26.0,1487.9,203,14,162,365,2033.0,113378.0,44.0,2453.9,0.5,0.0,22.6,1259.8,0.0,0.0,45,0,45,90
4879965,BIG BEAUTIFUL HOUSE IN PASIG,Entire home,entire_home,https://a0.muscache.com/im/pictures/6119a17e-75f7-4c0f-988e-87f2af018e2c.jpg,33,22845196,Rafael,"","",false,14.5897,121.0946,16,5,12,4.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Washer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor kitchen",false,,2,Moderate,PHP,0,0,106,4.6,4.7,4.8,4.5,4.8,4.5,4.6,16117.0,920300.0,217.5,12384.2,0.203,0.0,44.2,2521.4,0.0,0.0,74,0,291,365,4366.0,243491.0,221.1,12330.1,0.222,0.0,48.5,2705.5,0.0,0.0,20,0,70,90
5232715,Cozy 1 Bedroom Apartment in Pasig,Entire condo,entire_home,https://a0.muscache.com/im/pictures/6a4dd819-032c-4ebd-9bd3-3a31f9ab0ca4.jpg,13,180819480,Kathlyn,"27081815,108652556","Jaime,Richard",false,14.5722,121.0586,3,1,1,1.0,false,"TV,Washer,Cable TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Hangers,Hot water,Elevator,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises",false,,7,Moderate,PHP,0,0,42,4.95,4.9,5.0,4.9,4.9,5.0,4.9,973.0,54616.0,43.8,2494.4,0.063,0.099,2.7,149.6,4.2,234.4,23,132,342,365,611.0,34078.0,41.0,2288.6,0.167,0.0,6.8,378.6,0.0,0.0,15,0,75,90
6007159,Cosy 2 Bedroom with Netflix and Pool at Mayfield.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/82228599/ae97ef75_original.jpg,25,30879147,Rogelio,"","",true,14.5938,121.1075,6,2,3,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Pets allowed,Hot water,Gym,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Wine glasses,Washer,Dryer,Exercise equipment,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker",false,false,3,Flexible,PHP,8,0,167,4.68,4.7,4.8,4.6,4.8,4.7,4.7,1636.0,92528.0,30.5,1735.1,0.142,0.0,4.5,253.5,0.0,0.0,52,0,313,365,543.0,30281.0,33.8,1883.0,0.178,0.0,6.0,336.5,0.0,0.0,16,0,74,90
6079173,Astoria Plaza Full Srvc 1-bedroom Suite w parking,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/75742493/432991bb_original.jpg,14,14211255,Mai,"","",false,14.5764,121.0607,,,4,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Paid parking off premises,Hot water,Gym,Outdoor shower,Elevator,Bed linens,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Dryer,Smoke alarm,Exercise equipment,Shower gel,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Freezer,Rice maker",false,,3,Firm,PHP,0,0,4,5.0,4.8,4.8,5.0,4.5,4.8,5.0,629.0,36036.0,49.1,2797.0,0.036,0.0,1.7,98.7,0.0,0.0,13,0,352,365,0.0,0.0,49.0,2734.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
6726790,Best Deal Offer!,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/89505212/ec11e947_original.jpg,26,34138218,Roge,"","",true,14.5818,121.1003,6,2,3,2.0,false,"TV,Window guards,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Portable fans,Hot water,Body soap,Bed linens,Free street parking,Ethernet connection,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Smoke alarm,BBQ grill,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Outdoor dining area,Toaster,Rice maker",false,false,3,Moderate,PHP,10,0,54,4.81,4.8,5.0,4.8,5.0,4.4,4.9,2064.0,119086.0,40.1,2279.6,0.148,0.181,5.7,326.3,6.9,399.6,54,67,311,365,307.0,17120.0,42.5,2372.8,0.089,0.114,3.4,190.2,4.4,244.6,8,20,82,90
6951633,Well-Appointed Spacious Cozy Flexible Family Stay,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6951633/original/45132359-4490-4f24-ae2f-8335f5e8d59a.png,12,36444264,Lenny,"","",false,14.6201,121.0910,10,2,1,1.0,false,"TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Portable fans,Ceiling fan,Hot water,Gym,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Smoke alarm,BBQ grill,First aid kit,Backyard,Fire extinguisher,Bidet,Long term stays allowed,Dining table,Outdoor playground,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Rice maker",false,false,2,Firm,PHP,8,0,5,3.8,4.0,4.2,3.8,4.2,4.2,3.4,388.0,22714.0,30.2,1716.8,0.047,0.0,1.1,62.2,0.0,0.0,17,0,348,365,0.0,0.0,37.4,2086.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
