listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
1062234,"Spacious 1BR w/ balcony, wifi, SmartTV, pool & gym",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTA2MjIzNA%3D%3D/original/42d1c8ae-0c5e-44d0-958d-0ea38a7abeed.jpeg,15,3307292,Tanya And Sten,"","",false,14.6084,121.0806,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Ethernet connection,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Rice maker",false,,14,Moderate,PHP,30,0,30,4.8,4.9,4.9,4.7,4.9,4.9,4.8,2704.0,155069.0,33.2,1888.2,0.222,0.29,7.4,424.8,9.7,555.8,81,86,284,365,387.0,21584.0,32.3,1803.3,0.133,0.156,4.3,239.8,5.0,280.3,12,13,78,90
1139487,Lafayette1 Comfy Condo in Eastwood 300mbps F,Entire condo,entire_home,https://a0.muscache.com/im/pictures/679b497c-7df7-46f5-9f99-828fa463e611.jpg,24,4185965,Raymond,"","",true,14.6074,121.0792,3,,2,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Stove,Wine glasses,Single level home,Smoke alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Long term stays allowed,Safe,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Freezer,Rice maker",true,false,4,Firm,PHP,12,0,102,4.84,4.9,4.9,4.7,5.0,5.0,4.8,3699.0,213040.0,26.6,1511.7,0.392,0.0,10.1,583.7,0.0,0.0,143,0,222,365,220.0,12270.0,29.4,1638.0,0.078,0.0,2.4,136.3,0.0,0.0,7,0,83,90
1249351,Spacious House inside a private subdivision,Entire home,entire_home,https://a0.muscache.com/im/pictures/51279309/9de5b90f_original.jpg,50,6808045,George,"","",false,14.6808,121.0932,12,4,7,4.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Baby safety gates,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",false,false,1,Firm,PHP,0,0,149,4.72,4.7,4.9,4.6,4.8,4.8,4.7,12917.0,732969.0,155.5,8850.0,0.225,0.0,35.4,2008.1,0.0,0.0,82,0,283,365,1737.0,96873.0,160.5,8952.9,0.122,0.0,19.3,1076.4,0.0,0.0,11,0,79,90
1411337,Lovely 1BR Eastwood Condo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/22882395/9a7088da_original.jpg,32,7609241,Letty,"","",false,14.6105,121.0804,2,1,1,1.0,false,"TV,Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Kitchen,Essentials,Hangers,Hair dryer,Iron,Gym,Elevator,Dishes and silverware",false,,28,Firm,PHP,100,0,26,4.35,4.8,4.8,4.6,4.7,4.8,4.7,827.0,47318.0,63.0,3584.6,0.036,0.0,2.3,129.6,0.0,0.0,13,0,352,365,0.0,0.0,68.6,3825.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1413689,Princeton Studio besideLRT2 Gilmore 50MBPSInternet,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/32284982/b1b80df2_original.jpg,45,7158286,Jenny,8145881,Renato,true,14.6096,121.0350,3,,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,false,4,Flexible,PHP,26,0,123,4.86,4.9,4.9,4.8,5.0,4.8,4.8,1807.0,103919.0,24.9,1414.5,0.214,0.0,5.0,284.7,0.0,0.0,78,0,287,365,404.0,22534.0,29.2,1631.1,0.144,0.0,4.5,250.4,0.0,0.0,13,0,77,90
1584728,The Redwoods Condo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/02fba0c8-9015-4cb7-9c6b-f2f704788173.jpg,19,6287751,Nancy,"","",true,14.7359,121.0624,5,2,3,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Bidet,Long term stays allowed,Hangers,Dining table,Iron,Toaster,Rice maker",false,false,5,Moderate,PHP,0,0,76,4.8,4.9,5.0,4.8,4.9,4.9,4.8,6651.0,378479.0,35.8,2036.5,0.507,0.538,18.2,1036.9,19.3,1100.2,185,21,180,365,2523.0,140693.0,38.4,2141.4,0.733,0.0,28.0,1563.3,0.0,0.0,66,0,24,90
1819991,Fully Furnished One Bedroom Condo in QC,Entire condo,entire_home,https://a0.muscache.com/im/pictures/70921967/93163197_original.jpg,52,6362907,Cristina,"","",false,14.6595,121.0300,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Portable fans,Hot water,Gym,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Single level home,Smoke alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Outdoor playground,Hair dryer,Freezer,Rice maker",false,false,21,Moderate,PHP,0,8,42,4.83,4.9,4.9,4.6,4.9,4.8,4.8,1897.0,108906.0,19.1,1088.6,0.274,0.314,5.2,298.4,6.0,342.5,100,47,265,365,118.0,6580.0,19.8,1106.1,0.067,0.111,1.3,73.1,2.2,121.9,6,36,84,90
2064995,"!Awesome Worry-Free Home, Majestic View @Eastwood!",Entire condo,entire_home,https://a0.muscache.com/im/pictures/28840901/9033068c_original.jpg,94,1802790,Mary Ann,2181657,Roberto,true,14.6073,121.0798,4,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Books and reading material,Portable fans,Gym,Conditioner,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Rice maker,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Long term stays allowed,Dining table",false,false,4,Flexible,PHP,0,0,71,4.94,4.9,5.0,4.9,5.0,4.9,4.9,10433.0,592897.0,46.2,2632.4,0.616,0.71,28.6,1624.4,32.9,1870.3,225,48,140,365,3456.0,192740.0,48.0,2674.5,0.8,0.0,38.4,2141.6,0.0,0.0,72,0,18,90
2327106,Cozy unit at One Central Park Eastwood City,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2327106/original/94de4c60-042d-4542-a004-8223311c388e.jpeg,21,11888937,Peachy,"","",false,14.6106,121.0794,2,1,3,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Hot water kettle,Portable fans,Ceiling fan,Pets allowed,Gym,Conditioner,Elevator,Laundromat nearby,Cleaning products,Paid parking on premises,Coffee,Clothing storage,Smoke alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Iron,Freezer,Private entrance,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,EV charger,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Dining table,Outdoor playground",false,,2,Firm,PHP,17,0,4,5.0,5.0,5.0,5.0,5.0,5.0,4.8,437.0,25158.0,32.4,1849.8,0.036,0.0,1.2,68.9,0.0,0.0,13,0,352,365,0.0,0.0,21.9,1218.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2511524,Spacious 1BR condo in Eastwood City,Entire condo,entire_home,https://a0.muscache.com/im/pictures/35481840/f1bd5ea3_original.jpg,29,12857223,Rae,"","",false,14.6115,121.0796,3,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Portable fans,Hot water,Gym,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Freezer",false,,7,Moderate,PHP,8,0,100,4.9,5.0,4.9,4.8,4.9,5.0,4.9,1717.0,99510.0,43.6,2482.4,0.112,0.0,4.7,272.6,0.0,0.0,41,0,324,365,0.0,0.0,43.8,2440.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
