listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
20733,1BR The Fort - Heart of the Action!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjA3MzM%3D/original/131d3f44-2446-4a52-95b4-4f9394584bd6.jpeg,20,73851,Jules,"","",true,14.5513,121.0455,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Room-darkening shades,Hot water kettle,Paid parking off premises,Ceiling fan,Hot water,Body soap,Elevator,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Single level home,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Bidet,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",true,,20,Moderate,PHP,87,0,14,4.93,5.0,5.0,4.9,5.0,5.0,4.9,9847.0,562030.0,50.8,2891.7,0.551,0.77,27.0,1539.8,37.7,2153.4,201,104,164,365,237.0,13219.0,57.4,3203.7,0.044,0.308,2.6,146.9,18.2,1016.8,4,77,86,90
148460,2BR near SMAura/BGC/NAIA 3/High-speed internet,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-148460/original/7c529699-3aca-407a-a3ba-e61ad7d6f802.jpeg,29,716812,Elannie,"","",false,14.5263,121.0630,4,2,2,1.0,false,"TV,Window guards,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Pool table,Portable fans,Hot water,Gym,Resort access,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Washer,Smoke alarm,BBQ grill,Backyard,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Outdoor playground,Hair dryer,Iron,Outdoor dining area,Freezer,Toaster,Rice maker",false,false,4,Firm,PHP,23,0,38,4.97,4.9,5.0,4.9,5.0,4.8,4.8,3337.0,191039.0,53.2,3026.2,0.173,0.187,9.1,523.4,9.9,566.9,63,28,302,365,645.0,35972.0,58.4,3254.5,0.122,0.0,7.2,399.7,0.0,0.0,11,0,79,90
526417,Executive Studio Heart of BGC Fort Bonifacio,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-526417/original/c4b37cda-ca03-4f5e-a2dd-8dbb95ba297c.jpeg,27,2587171,Melba,"247036063,459965331","Rusty And Rove,Jethrom",true,14.5262,121.0600,3,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Children’s dinnerware,Hot water,Gym,Elevator,Bed linens,Laundromat nearby,Outdoor furniture,Refrigerator,Dishes and silverware,Heating,Cooking basics,Smoke alarm,Exercise equipment,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",false,false,3,Flexible,PHP,15,0,9,4.75,4.9,5.0,4.9,4.6,5.0,4.8,2495.0,141260.0,57.7,3280.2,0.115,0.127,6.8,387.0,7.5,425.5,42,33,323,365,1144.0,63801.0,60.6,3378.4,0.211,0.0,12.7,708.9,0.0,0.0,19,0,71,90
1015455,Sleek 1-Bdr w/ Golf Course & Sunset Views in BGC,Entire condo,entire_home,https://a0.muscache.com/im/pictures/b203b79c-c785-4bd4-b1b0-2f3b560ceb07.jpg,53,2577564,Ron,54040576,Frank,true,14.5491,121.0448,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Books and reading material,Portable fans,Gym,Conditioner,Elevator,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Sound system,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Exercise equipment,Shower gel,Long term stays allowed,Safe,Cleaning before checkout,Dining table",false,false,14,Firm,PHP,0,0,65,4.91,5.0,5.0,4.9,4.9,4.9,4.8,12791.0,728738.0,86.9,4950.2,0.405,0.409,35.0,1996.5,35.3,2013.1,148,3,217,365,5290.0,295025.0,83.4,4649.4,0.711,0.736,58.8,3278.1,60.8,3391.1,64,3,26,90
1016348,Great BGC/MNL hotel alternative nr St Lukes/restos,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/28211630/b7c2d6b0_original.jpg,19,2877165,Michelle,"","",false,14.5547,121.0460,3,1,2,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Conditioner,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,Baby bath,High chair,Children’s books and toys,Babysitter recommendations,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",false,false,2,Moderate,PHP,25,0,120,4.84,4.8,4.9,4.8,4.9,5.0,4.9,13345.0,763742.0,56.1,3196.0,0.655,0.0,36.6,2092.4,0.0,0.0,239,0,126,365,1454.0,81090.0,59.4,3310.3,0.278,0.0,16.2,901.0,0.0,0.0,25,0,65,90
1077985,Comfy Stylish Studio in Forbestown BGC.200MBPsWIFI,Entire condo,entire_home,https://a0.muscache.com/im/pictures/8b38a83a-6fbc-4a7d-859b-db61178cdd3a.jpg,25,5931282,Richard,"","",true,14.5515,121.0448,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Gym,Conditioner,Elevator,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Single level home,BBQ grill,Long term stays allowed,Cleaning before checkout,Dining table",false,false,26,Moderate,PHP,42,0,109,4.85,4.8,4.9,4.8,4.9,4.9,4.8,7372.0,422477.0,41.4,2357.5,0.496,0.609,20.2,1157.5,24.8,1422.5,181,68,184,365,0.0,0.0,43.7,2437.8,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90
1175406,Your Home at Bonifacio Global -View of MNL Skyline,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE3NTQwNg%3D%3D/original/ac60a527-5daf-45f8-a7b8-ca4360594674.jpeg,63,6299944,Art,8225072,Aaron Amilcare,true,14.5489,121.0516,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Pets allowed,Hot water,Body soap,Conditioner,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Shower gel,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker",false,false,1,Moderate,PHP,6,0,376,4.63,4.7,4.8,4.6,4.8,4.9,4.7,11932.0,678432.0,46.7,2655.7,0.701,0.0,32.7,1858.7,0.0,0.0,256,0,109,365,3256.0,181590.0,49.7,2770.6,0.733,0.0,36.2,2017.7,0.0,0.0,66,0,24,90
1244198,Producer’s Lounge in Manila,Entire condo,entire_home,https://a0.muscache.com/im/pictures/3f0907df-c74c-4604-8022-e513640bea62.jpg,40,6781979,Ana,"","",true,14.5537,121.0439,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Stove,Washer,Smoke alarm,Exercise equipment,Shower gel,Carbon monoxide alarm,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Sound system",false,false,4,Moderate,PHP,20,0,185,4.98,5.0,5.0,5.0,5.0,5.0,4.9,15862.0,904739.0,76.3,4340.2,0.57,0.0,43.5,2478.7,0.0,0.0,208,0,157,365,3867.0,215661.0,80.4,4482.7,0.533,0.0,43.0,2396.2,0.0,0.0,48,0,42,90
1278983,Unit in Manila(BonifacioGlobalCity),Entire condo,entire_home,https://a0.muscache.com/im/pictures/e2ae00d6-b522-4917-9488-40c5571c8f9d.jpg,86,6959928,Pia,"","",true,14.5469,121.0487,2,1,1,0.0,false,"TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Pool,Crib,Kitchen,Paid parking off premises,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,false,3,Flexible,PHP,0,0,126,4.65,4.7,4.8,4.6,4.9,4.8,4.6,749.0,43634.0,51.4,2925.7,0.041,0.058,2.1,119.5,2.9,168.5,15,106,350,365,0.0,0.0,52.9,2952.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1346569,"Stunning 2Bdr apartment, Netflix near BGC",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTM0NjU2OQ%3D%3D/original/d6a19554-518a-499c-a781-e8acfee9ea6a.jpeg,54,7292876,Emil,"","",true,14.5270,121.0638,5,2,6,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Gym,Resort access,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Outlet covers,Window guards,Pack ’n play/Travel crib,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Outdoor playground,Baking sheet,Sun loungers",false,,1,Strict,PHP,0,0,42,4.76,4.8,4.9,4.9,4.9,4.7,4.9,11725.0,663159.0,57.5,3269.7,0.545,0.783,32.1,1816.9,46.2,2610.9,199,111,166,365,4500.0,250970.0,64.0,3568.1,0.778,0.0,50.0,2788.6,0.0,0.0,70,0,20,90
