listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
468782,Lovely Ensuite Room in Serangoon,Private room in home,private_room,https://a0.muscache.com/im/pictures/5965038/cd9d59b8_original.jpg,10,2327208,Jerome,2803932,Mariel,false,1.3629,103.8658,,1,,0.0,false,"Washer,Dryer,Wifi,Air conditioning,Essentials,Free parking on premises,Dishes and silverware",false,false,92,Strict,SGD,310,0,83,4.7,4.6,4.8,4.5,4.9,4.6,4.6,1613.0,2176.0,36.7,48.5,0.126,0.319,4.4,6.0,11.2,15.1,46,221,319,365,0.0,0.0,35.5,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0,72,90,90
747813,Fantastic Serviced Apartment in the Singapore CBD,Private room in condo,private_room,https://a0.muscache.com/im/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,23,3926646,Paul,"","",false,1.2766,103.8450,4,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Smoking allowed,Pets allowed,Hot water,Gym,Elevator,Hot tub,Paid parking on premises,Washer,Dryer,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,38,141,68,4.63,4.7,4.7,4.6,4.8,4.9,4.5,1348.0,1775.0,104.0,137.2,0.036,0.0,3.7,4.9,0.0,0.0,13,0,352,365,0.0,0.0,109.9,141.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
765579,Chinatown@doorstep: *Queenbed Rm 89C (Not Tourist),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/38529362-1d8e-4ed5-a13e-4fd7a46ebee2.jpg,50,2413412,Kaurus,"","",false,1.2841,103.8425,,,1,0.0,false,"Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,,92,Strict,SGD,11,0,2,,,,,,,,410.0,530.0,36.5,48.3,0.033,0.0,1.1,1.5,0.0,0.0,12,0,353,365,0.0,0.0,33.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
881253,Chinatown Doorstep! *Ensuite1+1 (Not for Tourist),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/368f17a7-fb72-4bb5-a84f-4ec3f0c97627.jpg,48,2413412,Kaurus,"","",false,1.2849,103.8432,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,15,0,3,4.0,4.0,4.7,3.7,4.7,4.7,4.3,1350.0,1779.0,54.4,71.9,0.068,0.0,3.7,4.9,0.0,0.0,25,0,340,365,0.0,0.0,51.9,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
982909,Amazing Sunset Home @Central Area,Private room in condo,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-982909/original/fd0f247d-fb6b-4148-ab34-b90379ee0cd4.jpg,18,4723385,Yuan,"","",false,1.3339,103.8345,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Gym,Conditioner,Elevator,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Rice maker,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet",false,,92,Moderate,SGD,0,0,247,4.87,4.9,4.9,4.9,4.9,4.8,4.8,960.0,1245.0,68.6,90.5,0.038,0.044,2.6,3.4,3.0,3.9,14,46,351,365,70.0,90.0,69.8,90.0,0.011,0.0,0.8,1.0,0.0,0.0,1,0,89,90
1363204,Chinatown at your door: Master Rm* attach bathroom,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/b96fffdd-03e5-4949-a353-d6795f7e1fe5.jpg,47,2413412,Kaurus,"","",false,1.2839,103.8424,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,,92,Strict,SGD,0,0,3,4.0,4.3,4.7,3.0,4.7,5.0,4.3,1163.0,1532.0,46.6,61.5,0.068,0.0,3.2,4.2,0.0,0.0,25,0,340,365,0.0,0.0,45.2,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1508829,Lavender QueenBed *rmFr: 5m walk MRT,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/29bcb4f8-8dea-493a-8d2d-0a044d6aa642.jpg,61,2413412,Kaurus,"","",false,1.3072,103.8636,,,1,0.0,false,"Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance",true,,92,Strict,SGD,11,0,7,4.14,4.3,4.8,4.4,4.6,4.8,4.2,512.0,689.0,39.6,52.2,0.036,0.04,1.4,1.9,1.6,2.1,13,43,352,365,0.0,0.0,38.6,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0,29,90,90
1615074,AweSome view! Ensuite 1+1 @Chinatown,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/6279dd62-7eda-402a-bd26-6ced155aa837.jpg,60,2413412,Kaurus,"","",false,1.2841,103.8425,,,1,0.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",true,,92,Strict,SGD,15,0,5,4.4,4.6,5.0,4.2,5.0,4.8,4.2,709.0,949.0,53.8,71.0,0.036,0.04,1.9,2.6,2.2,2.9,13,43,352,365,0.0,0.0,52.4,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0,29,90,90
1941719,Fantastic Serviced Apartment in the Singapore CBD,Private room in condo,private_room,https://a0.muscache.com/im/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,22,3926646,Paul,"","",false,1.2753,103.8452,,,1,0.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Paid parking off premises,Smoking allowed,Gym,Elevator,Hot tub,Paid parking on premises,Washer,Dryer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,EV charger,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",true,,92,Strict,SGD,38,25,73,4.51,4.6,4.7,4.6,4.7,4.8,4.5,1333.0,1754.0,102.4,135.1,0.036,0.0,3.7,4.8,0.0,0.0,13,0,352,365,0.0,0.0,108.3,139.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
2129215,Luxuriously Spacious Studio Apt.,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/28983571/05a881e8_original.jpg,47,7642747,Shirley,"","",false,1.3194,103.9166,5,1,3,1.0,false,"TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Children’s dinnerware,Hot water,Free street parking,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Changing table",false,,92,Strict,SGD,0,0,369,4.93,4.9,5.0,4.9,5.0,4.8,4.8,2316.0,3085.0,168.2,222.0,0.038,0.042,6.3,8.5,6.9,9.2,14,31,351,365,0.0,0.0,169.8,219.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
