listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
27934,Nice room with superb city view,Entire condo,entire_home,https://a0.muscache.com/im/pictures/566374/23157b6e_original.jpg,30,120437,Nuttee,"","",false,13.7598,100.5413,2,1,1,1.5,false,"Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Microwave,Refrigerator,Dishes and silverware,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,false,3,Moderate,THB,0,0,65,4.86,5.0,5.0,4.8,4.9,4.7,4.8,507.0,16897.0,49.8,1671.8,0.03,0.0,1.4,46.3,0.0,0.0,11,0,354,365,249.0,8171.0,42.6,1396.4,0.067,0.0,2.8,90.8,0.0,0.0,6,0,84,90
35780,Spacious one bedroom at The Kris Condo Bldg. 3,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/89302e4b-b529-46cf-85fa-0382630207a5.jpg,23,153730,Sirilak,"","",false,13.7882,100.5726,,,1,0.0,false,"TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Elevator,Bed linens,Free street parking,Laundromat nearby,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Dryer,Bidet,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Dedicated workspace,Freezer,Toaster",,,14,Strict,THB,62,,7,4.86,5.0,4.6,4.7,4.9,4.7,4.9,811.0,27146.0,37.8,1282.5,0.06,0.068,2.2,74.4,2.5,83.8,22,41,343,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
55681,Sathorn Terrace Apartment(61),Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/71205c61-1553-431e-9b44-e974591751b4.jpg,41,263049,Tor,"","",true,13.7193,100.5176,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Elevator,Bed linens,Microwave,Refrigerator,Washer,Dryer,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",false,false,2,Moderate,THB,29,0,39,4.82,4.7,4.8,4.8,4.9,4.8,4.8,6313.0,211911.0,49.4,1652.5,0.356,0.0,17.3,580.6,0.0,0.0,130,0,235,365,1765.0,57920.0,55.7,1828.6,0.356,0.0,19.6,643.6,0.0,0.0,32,0,58,90
121410,"MetroPoint Suite Room, Near Airport",Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/11802512/119e22a2_original.jpg,21,610315,Kasem,"","",false,13.7675,100.6329,3,1,2,1.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Kitchen,Free parking on premises,Dedicated workspace,Breakfast,Elevator,Refrigerator",true,,1,Moderate,THB,0,0,6,4.67,4.5,4.8,4.7,4.8,4.3,4.3,683.0,23077.0,38.9,1302.8,0.049,0.0,1.9,63.2,0.0,0.0,18,0,347,365,0.0,0.0,42.2,1385.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
145343,Boutique Rooms Near Bangkok Airport,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/919891/118335e4_original.jpg,19,703944,Parinya,427185125,Itsara,false,13.7219,100.7717,2,1,1,1.5,false,"High chair,TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Body soap,Mini fridge,Bed linens,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Coffee,Wine glasses,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",false,false,1,Moderate,THB,0,0,75,4.61,4.6,4.8,4.7,4.7,4.5,4.6,376.0,12824.0,35.6,1192.2,0.03,0.033,1.0,35.1,1.1,38.5,11,32,354,365,39.0,1280.0,39.3,1289.1,0.011,0.0,0.4,14.2,0.0,0.0,1,0,89,90
156583,Studio near Chulalongkorn University/Samyan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1229d54c-2b9b-44c3-b7e4-cee9afec6d87.jpg,24,58920,Chindawan,"","",false,13.7285,100.5231,2,1,1,1.0,false,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Portable fans,Hot water,Gym,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Dryer,Single level home,Smoke alarm,Exercise equipment,Shower gel,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Toaster,Rice maker",false,false,7,Moderate,THB,0,0,77,4.24,4.5,4.2,4.3,4.2,4.4,4.2,4237.0,143394.0,33.2,1112.6,0.375,0.504,11.6,392.9,15.6,527.2,137,93,228,365,225.0,7384.0,38.3,1257.6,0.067,0.118,2.5,82.0,4.4,144.8,6,39,84,90
166267,1 bed apartment near Chula Uni walk to MRT Samyan,Entire condo,entire_home,https://a0.muscache.com/im/pictures/5fd6d53b-b9a4-4932-96b5-79ebe7ecfa87.jpg?aki_policy=medium,40,58920,,"","",false,13.7273,100.5256,4,1,3,1.0,,"Kitchen,Elevator,Wifi,Heating,Iron,Gym,Hair dryer,Dedicated workspace,Dryer,Hangers,Washer,Essentials,Shampoo,Pool,Air conditioning,TV,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Private entrance,High chair,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,Patio or balcony,Long term stays allowed,Hot water kettle,Dining table,Toaster,Freezer,Rice maker,Portable fans,Shower gel,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,6,Moderate,THB,,,79,4.45,4.6,4.5,4.5,4.3,4.6,4.5,1040.0,35005.0,37.4,1268.1,0.074,0.0,2.8,95.9,0.0,0.0,27,0,338,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
172332,Tranquility found in busy Bangkok near new skytran,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/86d41081-e95f-48e3-9bea-3d50dd37968a.jpg,36,822284,Rae And Charlie,988605,Chaikarn,true,13.8315,100.5210,2,1,1,1.5,false,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Babysitter recommendations,Pool,Crib,Kitchen,Children’s dinnerware,Smoking allowed,Hot water,Gym,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Washer,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,false,3,Moderate,THB,15,0,28,4.96,5.0,4.9,4.9,4.9,4.6,4.9,1896.0,64237.0,31.1,1042.7,0.173,0.197,5.2,176.0,5.9,200.7,63,45,302,365,223.0,7317.0,33.6,1103.1,0.078,0.125,2.5,81.3,4.0,130.7,7,34,83,90
320014,2-BR condo near BTS on Sukhumvit Rd,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3941263/d089e8fb_original.jpg,38,843854,Anshera,"","",false,13.7281,100.5732,4,2,2,2.0,false,"TV,Washer,Cable TV,Smoke alarm,Wifi,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Gym,Elevator,Refrigerator,Dishes and silverware,Cooking basics",false,false,30,Moderate,THB,15,0,74,4.62,4.7,4.7,4.6,4.8,4.5,4.6,5366.0,181199.0,63.3,2120.9,0.258,0.272,14.7,496.4,15.5,523.7,94,19,271,365,0.0,0.0,68.9,2260.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
384924,Oasis in the heart of Bangkok,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4580808/ed734bb9_original.jpg,35,1667508,Siriwipa,"","",false,13.7490,100.5565,2,1,1,1.0,false,"TV,Cable TV,Blender,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Gym,Elevator,Bed linens,Trash compactor,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Smoke alarm,Carbon monoxide alarm,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Bread maker",false,false,90,Flexible,THB,35,8,96,4.92,5.0,5.0,5.0,5.0,4.8,4.9,1945.0,64561.0,27.4,917.9,0.159,0.191,5.3,176.9,6.4,213.1,58,62,307,365,0.0,0.0,23.7,779.4,0.0,0.0,0.0,0.0,0.0,0.0,0,44,90,90
