listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
284271,Luxury Beach Studio-Central Pattaya17,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8b889e10-0a3b-4e21-b502-32fac3a86f0e.jpg,32,1480676,Bualai,"","",true,12.9326,100.8829,2,,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Elevator,Free street parking,Laundromat nearby,Cleaning products,Drying rack for clothing,Clothing storage,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Sun loungers,Toaster",false,false,6,Firm,THB,32,0,89,4.93,4.9,4.9,4.9,5.0,5.0,4.8,13595.0,455301.0,55.1,1848.1,0.674,0.845,37.2,1247.4,46.7,1564.6,246,74,119,365,4651.0,152619.0,57.3,1880.2,0.889,0.0,51.7,1695.8,0.0,0.0,80,0,10,90
554183,View Talay 6 - Luxury Studio Walking Street Side18,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-554183/original/4a06efaf-ef47-43ad-a539-d177ab9c6791.jpeg,29,1480676,Bualai,"","",true,12.9326,100.8829,2,,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Elevator,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Clothing storage,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Sound system,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Sun loungers,Toaster",false,false,6,Firm,THB,32,0,82,4.89,4.9,4.9,4.8,5.0,4.9,4.8,12663.0,429391.0,53.4,1791.8,0.63,0.878,34.7,1176.4,48.3,1638.9,230,103,135,365,0.0,0.0,50.9,1669.9,0.0,0.0,0.0,0.0,0.0,0.0,0,80,90,90
730210,Villa Rose Pool & Jacuzzi  - 100m to the beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzMwMjEw/original/fa41fef3-da6d-435b-8561-84113e0c8a67.jpeg,14,3796938,Nat,"","",true,12.9023,100.8667,8,4,3,3.5,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Crib,Pack ’n play/Travel crib,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Toaster",true,false,1,Firm,THB,29,0,45,4.42,4.4,4.4,4.3,4.4,4.5,4.4,15063.0,509379.0,141.6,4752.5,0.285,0.375,41.3,1395.6,54.4,1838.9,104,88,261,365,3760.0,123384.0,123.6,4056.2,0.322,0.0,41.8,1370.9,0.0,0.0,29,0,61,90
741599,"White Elegance Modern Touch Villa
2.3km-Walking St",Entire villa,entire_home,https://a0.muscache.com/im/pictures/17468572/59ca3b9c_original.jpg,57,3881843,Pomly,"","",false,12.9154,100.8627,10,4,4,5.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Game console,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Beach essentials,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Barbecue utensils,Private entrance,Bathtub",false,,1,Firm,THB,50,0,49,4.61,4.6,4.7,4.9,4.7,4.4,4.5,2840.0,97193.0,172.4,5779.2,0.044,0.0,7.8,266.3,0.0,0.0,16,0,349,365,0.0,0.0,165.9,5443.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
845402,CORNER VILLA - PATTAYA HOLIDAY HOUSE WALKINGSTREET,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODQ1NDAy/original/4566be10-3940-4f33-b99b-f5150b724f1d.jpeg,35,4413683,Jany & Kanittha,42275135,Lili,false,12.9106,100.8740,10,4,6,3.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Pool table,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Baby bath,High chair,Children’s books and toys,Blender,Window guards,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,5,Moderate,THB,47,0,137,4.69,4.7,4.8,4.7,4.8,4.4,4.7,13597.0,457308.0,122.4,4095.9,0.307,0.546,37.3,1252.9,66.3,2230.8,112,160,253,365,1496.0,49091.0,134.6,4416.1,0.122,0.22,16.6,545.5,29.9,981.8,11,40,79,90
845403,Villa 6 bedrooms 6 bathrooms near walking street,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODQ1NDAz/original/960bf452-7e42-4bf9-bc6f-332e28d77b9e.jpeg,67,4413683,Jany & Kanittha,42275135,Lili,false,12.9140,100.8749,14,6,8,6.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Pool table,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Pets allowed,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Bathtub,Baby bath,Changing table,High chair,Children’s books and toys,Blender,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,5,Moderate,THB,58,0,118,4.65,4.6,4.7,4.6,4.8,4.4,4.6,23848.0,795224.0,197.4,6612.5,0.329,0.531,65.3,2178.7,105.5,3518.7,120,139,245,365,5096.0,167222.0,197.2,6470.7,0.289,0.338,56.6,1858.0,66.2,2171.7,26,13,64,90
1007298,Art Maldives BBQ Pattaya Villa,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1007298/original/30631853-32be-4fb5-b558-8072fb40e1bf.jpeg,114,5540858,Alexandra,"","",false,12.8579,100.9014,16,7,10,5.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Resort access,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Freezer,Private entrance,Rice maker,Bathtub,High chair,Blender,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Safe,Children's playroom,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",true,false,1,Super Strict 60 Days,THB,73,0,208,4.36,4.6,4.6,4.4,4.5,4.2,4.4,43756.0,1476974.0,295.0,9898.5,0.386,0.411,119.9,4046.5,127.6,4306.0,141,22,224,365,7108.0,233248.0,247.0,8105.6,0.311,0.0,79.0,2591.6,0.0,0.0,28,0,62,90
1043294,View Talay 7 Condo Jomtien Seaview!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/61a0b663-69cb-41f6-990b-2a7f883ac9fb.jpg,46,5744676,Jason,"","",true,12.9002,100.8667,3,1,1,1.0,false,"TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Dedicated workspace,Elevator,Cooking basics",false,false,1,Strict,THB,0,0,54,4.81,4.9,5.0,4.8,5.0,4.9,4.9,6568.0,224202.0,55.8,1869.6,0.342,0.0,18.0,614.3,0.0,0.0,125,0,240,365,0.0,0.0,60.8,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1063865,Beach Studio in Jomtien,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16839098/77d6ee6e_original.jpg,9,1100833,Hans,"","",true,12.9019,100.8664,2,1,1,1.0,false,"TV,Cable TV,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Long term stays allowed,Dedicated workspace",false,false,5,Firm,THB,31,0,23,4.3,4.6,4.8,4.5,4.8,4.8,4.5,1158.0,39463.0,38.9,1305.2,0.077,0.087,3.2,108.1,3.6,122.6,28,43,337,365,0.0,0.0,37.3,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1071746,Bord de plage 150m2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/27303095/3e5980c8_original.jpg?aki_policy=medium,24,5895547,,"","",false,12.9070,100.8590,4,2,2,2.0,,"Kitchen,Wifi,Elevator,Heating,Dryer,Free parking on premises,Washer,Cable TV,Essentials,Air conditioning,TV,Pool,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Hot water,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Patio or balcony",,,7,Strict,THB,,,30,4.23,4.3,4.4,4.2,4.5,4.7,4.2,1776.0,57806.0,100.3,3361.4,0.049,0.065,4.9,158.4,6.4,209.4,18,89,347,365,0.0,0.0,102.2,3354.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
