listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
506824,Modern Apartment in Central Hanoi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6092061/238e4b79_original.jpg,10,1337687,Ha Dong,"","",false,21.0303,105.8504,2,1,1,1.0,false,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Kitchen,Essentials,Long term stays allowed,Hangers,Hair dryer,Hot water,Iron,Elevator,Refrigerator,Dishes and silverware,Heating",false,false,2,Strict,VND,0,0,205,4.85,4.9,4.9,4.8,5.0,5.0,4.8,5819.0,1.48362392E8,43.1,1104600.6,0.381,0.0,15.9,406472.3,0.0,0.0,139,0,226,365,572.0,1.4884302E7,47.0,1222432.5,0.133,0.0,6.4,165381.1,0.0,0.0,12,0,78,90
722875,Especen hotel - Family room,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/26599372/db8b81db_original.jpg,21,3691707,Thanh,"","",false,21.0290,105.8485,3,2,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Lake access,Essentials,Shampoo,Smoking allowed,Hangers,Hair dryer,Hot water,Laundromat nearby",false,,1,Moderate,VND,3,0,278,4.33,4.4,4.7,4.4,4.7,4.7,4.5,633.0,1.5854057E7,18.0,456152.9,0.096,0.105,1.7,43435.8,1.9,47609.8,35,32,330,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
722902,Especen hotel: Balcony family room,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/30350558/ede53703_original.jpg,30,3691707,Thanh,"","",false,21.0290,105.8485,3,1,2,1.0,false,"TV,Cable TV,Window guards,Wifi,Air conditioning,Lake access,Room-darkening shades,Hot water kettle,Books and reading material,Smoking allowed,Hot water,Body soap,Mini fridge,Bed linens,Free street parking,Laundromat nearby,Refrigerator,Drying rack for clothing,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Dedicated workspace",false,,1,Moderate,VND,3,0,336,4.4,4.3,4.8,4.4,4.7,4.7,4.5,808.0,2.0340959E7,19.0,480436.9,0.112,0.0,2.2,55728.7,0.0,0.0,41,0,324,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3210041,"MAY Penthouse_800m to Opera House_95m²,3 balconies",Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3210041/original/8ffc96a6-9917-42e9-935a-33d593567543.jpeg,59,16264687,Thao,338508648,Nguyen,true,21.0167,105.8547,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Portable fans,Ceiling fan,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Outdoor kitchen,Private entrance,Rice maker,Bathtub,High chair,Window guards,Room-darkening shades,Bikes,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Piano,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",false,false,1,Moderate,VND,8,0,16,5.0,4.9,5.0,5.0,4.9,4.9,4.9,1906.0,4.8270878E7,43.9,1123272.1,0.123,0.216,5.2,132249.0,9.2,232071.5,45,157,320,365,0.0,0.0,44.8,1164896.1,0.0,0.0,0.0,0.0,0.0,0.0,0,56,90,90
3354986,As your home in Cau giay Hanoi,Private room in home,private_room,https://a0.muscache.com/im/pictures/8eaf99d9-5979-4951-bb54-9755f3e3e6fa.jpg,6,16893725,Ha,"","",true,21.0303,105.7859,,,2,0.0,false,"Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Washer,Shower gel,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Rice maker",false,false,2,Moderate,VND,0,0,84,4.98,5.0,5.0,4.9,5.0,4.8,5.0,181.0,4622720.0,13.2,337879.0,0.038,0.2,0.5,12665.0,2.6,66038.9,14,295,351,365,86.0,2237850.0,12.5,324112.5,0.078,0.28,1.0,24865.0,3.4,89514.0,7,65,83,90
4612134,Hanoi Unique French quarter APT*2Bdr*2Balc*2Bath*,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4612134/original/be3b05b6-495b-41a0-8391-e61cd0106d5c.png,49,23895268,Bien,572058478,Lan,true,21.0300,105.8468,5,2,2,2.0,false,"High chair,TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Ceiling fan,Hot water,Body soap,Mini fridge,Bed linens,Trash compactor,Extra pillows and blankets,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker",false,false,2,Moderate,VND,0,0,130,4.86,4.8,4.9,4.6,5.0,4.9,4.9,18670.0,4.77522472E8,60.9,1560057.0,0.841,0.0,51.2,1308280.7,0.0,0.0,307,0,58,365,4092.0,1.06479998E8,64.2,1670869.7,0.7,0.0,45.5,1183111.1,0.0,0.0,63,0,27,90
5842921,Garden house center of Old quarter,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/b81f0200-baae-41d3-bcf2-afe427097882.jpg,49,23674824,Nhung,"458745558,551472345","Dzung,Nguyen",true,21.0341,105.8479,3,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Laundromat nearby,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",true,false,1,Moderate,VND,5,5,719,4.88,4.9,4.9,4.9,5.0,4.9,4.9,8790.0,2.24880322E8,27.3,698913.0,0.888,0.0,24.1,616110.5,0.0,0.0,324,0,41,365,2159.0,5.6180436E7,29.9,779199.6,0.8,0.0,24.0,624227.1,0.0,0.0,72,0,18,90
6208123,Near HNOperaHouse Serviced Apartment|FreeWashDryer,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/2f507c49-1e11-4b35-9b1c-843b50d9aa8f.jpg,16,32192457,Tracy,"","",true,21.0190,105.8554,3,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Ceiling fan,Conditioner,Elevator,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Rice maker,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Toaster",false,false,1,Flexible,VND,0,0,17,4.94,4.9,4.8,4.9,5.0,5.0,4.9,3215.0,8.2172087E7,17.3,443378.1,0.537,0.71,8.8,225129.0,11.6,297725.0,196,89,169,365,654.0,1.7018068E7,20.9,544427.9,0.356,0.376,7.3,189089.6,7.7,200212.6,32,5,58,90
6909493,New apt at Hanoi EcoPark great view and safe,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e2cc05d3-d881-4364-a571-a42d5d1fd389.jpg,57,36139191,Minh,"","",true,20.9746,105.9260,5,3,3,2.0,false,"TV,Wifi,Air conditioning,Lake access,Pool,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Gym,Conditioner,Elevator,Free street parking,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,High chair,Window guards,Crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Toaster",false,false,2,Flexible,VND,18,0,78,4.78,4.8,4.9,4.9,5.0,4.7,4.8,3479.0,9.0228462E7,31.1,797839.6,0.285,0.301,9.5,247201.3,10.1,260775.9,104,19,261,365,1364.0,3.5493335E7,37.0,962795.7,0.411,0.0,15.2,394370.4,0.0,0.0,37,0,53,90
7027362,Aroma House - private rooms 1 double bed,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-7027362/original/242389b1-ef3f-4b79-b652-ddf6968105a8.png,23,36840216,Thu Ha,457054656,Thy Lan,true,21.0654,105.8062,2,1,1,1.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Refrigerator,Cooking basics,Coffee,Stove,Wine glasses,Washer,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Dining table,Hair dryer,Iron,Baking sheet,Barbecue utensils,Outdoor dining area,Freezer,Sound system,Toaster,Rice maker",true,false,1,Firm,VND,0,0,8,4.5,4.5,4.9,4.8,5.0,4.9,4.5,2937.0,7.5240471E7,34.1,873056.9,0.236,0.0,8.0,206138.3,0.0,0.0,86,0,279,365,817.0,2.125957E7,36.8,957880.6,0.244,0.0,9.1,236217.4,0.0,0.0,22,0,68,90
