listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
159356,Welcome to my house ☺☺☺★★★★★,Private room in home,private_room,https://a0.muscache.com/im/pictures/13286387/39b97a2f_original.jpg,61,764726,Le,"","",false,10.7412,106.6212,,,1,0.0,false,"Kitchen,Wifi",false,,1,Flexible,VND,0,5,20,4.5,4.4,4.7,4.1,5.0,4.2,4.5,514.0,1.3039918E7,13.8,354142.2,0.104,0.0,1.4,35725.8,0.0,0.0,38,0,327,365,0.0,0.0,14.3,372107.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
171286,Saigon river Central  2xKing BR + 2 WC,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e5d5cf50-a13d-4409-877e-8041e3b2b36c.jpg,78,805299,Bach'S,"","",false,10.7636,106.7085,5,2,3,2.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Hot water kettle,Pets allowed,Conditioner,Mini fridge,Elevator,Laundromat nearby,Boat slip,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Sound system,Rice maker,Outlet covers,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Toaster",true,false,1,Firm,VND,20,0,181,4.72,4.8,4.8,4.8,4.9,4.5,4.6,12127.0,3.11041998E8,68.2,1748773.0,0.485,0.0,33.2,852169.9,0.0,0.0,177,0,188,365,2697.0,7.0179995E7,72.4,1884824.2,0.4,0.0,30.0,779777.7,0.0,0.0,36,0,54,90
476176,Zoo & Botanic Garden-D1  Border-Best view balcony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/47b25b8f-a5f7-4e4e-b350-0a68f498149d.jpg,49,805299,Bach'S,"","",false,10.7899,106.7073,3,1,2,1.0,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Smoking allowed,Pets allowed,Conditioner,Elevator,Free street parking,Laundromat nearby,Boat slip,Cleaning products,Drying rack for clothing,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Sound system,Rice maker,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Toaster",false,false,1,Firm,VND,25,0,87,4.65,4.8,4.9,4.7,4.9,4.6,4.6,5506.0,1.40479392E8,43.5,1114394.9,0.353,0.0,15.1,384875.0,0.0,0.0,129,0,236,365,2065.0,5.3734411E7,43.7,1138007.2,0.522,0.0,22.9,597049.0,0.0,0.0,47,0,43,90
1531361,1 br type #01 - LFY Serviced Apartment in CBD HCM,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/36990383/082f9aaa_original.jpg,11,3964510,Dragon Fly Company,"","",true,10.7849,106.6979,2,1,,1.0,false,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Elevator,Microwave,Refrigerator,Dishes and silverware,Cooking basics",true,false,1,Moderate,VND,0,0,43,4.79,4.9,4.9,4.9,4.9,4.9,4.7,4796.0,1.23163661E8,67.9,1739196.2,0.195,0.208,13.1,337434.7,14.1,361183.8,71,24,294,365,1450.0,3.7731181E7,69.3,1804446.7,0.233,0.318,16.1,419235.3,22.0,571684.6,21,24,69,90
2252850,"Centre, district 1, furnished with kitchenette",Entire home,entire_home,https://a0.muscache.com/im/pictures/42981955/b0ce1aa4_original.jpg,20,11505590,Chau,"","",true,10.7625,106.6883,2,1,1,1.0,false,"Children’s books and toys,Wifi,Air conditioning,Babysitter recommendations,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Portable fans,Hot water,Bed linens,Extra pillows and blankets,Laundromat nearby,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Stove,Washer,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Dedicated workspace,Baby bath",false,false,4,Strict,VND,0,0,115,4.88,4.9,4.9,4.9,5.0,4.8,4.9,2922.0,7.5113939E7,24.9,638262.5,0.326,0.48,8.0,205791.6,11.8,302878.8,119,117,246,365,1129.0,2.9378286E7,23.6,613818.5,0.544,0.0,12.5,326425.4,0.0,0.0,49,0,41,90
2954965,"Centre, district 1, furnished room",Entire home,entire_home,https://a0.muscache.com/im/pictures/42982240/9860ff5d_original.jpg,20,11505590,Chau,"","",true,10.7625,106.6883,2,1,1,1.0,false,"Children’s books and toys,Wifi,Air conditioning,Babysitter recommendations,Free parking on premises,Room-darkening shades,Hot water kettle,Ceiling fan,Hot water,Mini fridge,Bed linens,Laundromat nearby,Refrigerator,Drying rack for clothing,Dishes and silverware,Clothing storage,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Baby bath",false,false,4,Strict,VND,0,0,103,4.96,5.0,4.9,4.9,5.0,4.8,5.0,5706.0,1.45953266E8,20.3,518972.7,0.773,0.901,15.6,399872.0,18.2,466304.4,282,52,83,365,1140.0,2.9664526E7,20.8,540669.3,0.611,1.0,12.7,329605.8,20.7,539355.0,55,35,35,90
3434907,Prime Location Studio @ HCMC - Ideal for Exploring,Room in aparthotel,hotel_room,https://a0.muscache.com/im/pictures/miso/Hosting-3434907/original/19c4595b-9e9e-4e59-8e0f-74dd3a1d59db.jpeg?aki_policy=medium,21,12394,,"","",true,10.7650,106.6870,2,1,1,1.0,,"Kitchen,Wifi,Heating,Dryer,Cable TV,Essentials,TV,Hangers,Hair dryer,Washer,Iron,Dedicated workspace,Air conditioning,Shampoo,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,High chair,Hot water,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Patio or balcony,Luggage dropoff allowed,Long term stays allowed",,,1,Moderate,VND,5,0,420,4.91,4.9,4.9,4.8,5.0,4.8,4.9,4073.0,1.03738671E8,41.4,1060447.7,0.274,0.0,11.2,284215.5,0.0,0.0,100,0,265,365,0.0,0.0,44.4,1155065.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
3502923,Apartment with rooftop pool 2A,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/106611004/30058cf8_original.jpg,15,16451738,Thi Tuyet Mai,"","",false,10.8051,106.6890,2,1,1,1.0,false,"TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Smoking allowed,Hair dryer,Iron,Elevator",true,false,2,Moderate,VND,10,0,45,4.78,4.8,4.9,4.7,4.9,4.6,4.8,483.0,1.229068E7,29.3,749874.3,0.047,0.08,1.3,33673.1,2.3,57974.9,17,153,348,365,0.0,0.0,30.7,799149.4,0.0,0.0,0.0,0.0,0.0,0.0,0,31,90,90
3513856,Homestay with a typical family,Private room in home,private_room,https://a0.muscache.com/im/pictures/88293940/3a623d03_original.jpg,16,12563015,Quang,156910908,Tung,false,10.8336,106.6820,,,1,0.0,false,"TV,Washer,Cable TV,Wifi,Air conditioning,First aid kit,Kitchen,Essentials,Shampoo,Smoking allowed,Pets allowed",true,,1,Strict,VND,0,0,53,4.53,4.6,4.6,4.7,4.7,4.2,4.5,335.0,8597734.0,13.1,336172.5,0.068,0.0,0.9,23555.4,0.0,0.0,25,0,340,365,80.0,2081720.0,12.6,327003.7,0.067,0.0,0.9,23130.2,0.0,0.0,6,0,84,90
3563782,Sweet Studio home in the central (L2-204),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ac61db46-d26c-4697-9dd4-0a9640e78220.jpg,25,8969793,Nhien,"","",true,10.7713,106.6846,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Books and reading material,Ceiling fan,Hot water,Body soap,Mini fridge,Elevator,Bed linens,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Washer,Shower gel,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Dedicated workspace",true,false,1,Moderate,VND,7,0,142,4.87,4.9,4.9,4.8,4.9,4.7,4.8,7875.0,2.01026132E8,35.0,895875.2,0.625,0.633,21.6,550756.5,21.9,558405.9,228,5,137,365,1760.0,4.579785E7,38.3,996334.5,0.511,0.541,19.6,508865.0,20.7,538798.2,46,5,44,90
