listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
28748587,2024-10-01,31,0,0.0,0.0,240.0,,,,,,975600.0,0.0
28748587,2024-11-01,30,0,0.0,0.0,226.2,,,,,,922896.0,0.0
28748587,2024-12-01,31,0,0.0,0.0,220.6,,,,2,,887403.0,0.0
28748587,2025-01-01,31,0,0.0,0.0,235.3,,,,2,,946188.0,0.0
28748587,2025-02-01,28,0,0.0,0.0,226.5,,,,2,,912557.0,0.0
28748587,2025-03-01,31,0,0.0,0.0,208.0,,,,2,,834288.0,0.0
28748587,2025-04-01,30,0,0.0,0.0,276.2,,,,2,,1094028.0,0.0
28748587,2025-05-01,31,0,0.0,0.0,280.3,,,,2,,1125332.0,0.0
28748587,2025-06-01,30,0,0.0,0.0,302.5,,,,2,,1209254.0,0.0
28748587,2025-07-01,20,11,0.355,3816.0,336.6,346.9,142,11,2,1386744.0,1345570.0,1.5254586E7
28748587,2025-08-01,31,0,0.0,0.0,318.6,,,,2,,1273614.0,0.0
28748587,2025-09-01,30,0,0.0,0.0,338.4,,,,2,,1352765.0,0.0
28597314,2024-10-01,31,0,0.0,0.0,17.5,,,,,,71138.0,0.0
28597314,2024-11-01,30,0,0.0,0.0,17.3,,,,,,70584.0,0.0
28597314,2024-12-01,30,1,0.032,16.0,16.8,16.0,13,1,,64363.0,67581.0,64363.0
28597314,2025-01-01,23,8,0.258,130.0,16.2,16.2,9,4,1,65143.0,65143.0,522756.0
28597314,2025-02-01,17,11,0.393,172.0,16.0,15.6,8,3,1,62852.0,64463.0,692979.0
28597314,2025-03-01,18,13,0.419,211.0,16.3,16.2,2,6,1,64978.0,65379.0,846321.0
28597314,2025-04-01,26,4,0.133,109.0,18.2,27.2,34,4,1,107739.0,72090.0,431749.0
28597314,2025-05-01,31,0,0.0,0.0,17.8,,,,1,,71462.0,0.0
28597314,2025-06-01,30,0,0.0,0.0,18.5,,,,1,,73954.0,0.0
28597314,2025-07-01,31,0,0.0,0.0,18.2,,,,1,,72755.0,0.0
28597314,2025-08-01,31,0,0.0,0.0,17.6,,,,1,,70357.0,0.0
28597314,2025-09-01,30,0,0.0,0.0,17.1,,,,1,,68358.0,0.0
24595644,2024-10-01,31,0,0.0,0.0,121.8,,,,,,495117.0,0.0
24595644,2024-11-01,30,0,0.0,0.0,118.1,,,,,,481848.0,0.0
24595644,2024-12-01,29,2,0.065,241.0,118.1,120.5,1,2,,484733.0,475078.0,969466.0
24595644,2025-01-01,28,3,0.097,478.0,155.1,159.3,31,3,1,640577.0,623688.0,1922132.0
24595644,2025-02-01,26,2,0.071,319.0,158.9,159.5,51,2,1,642618.0,640200.0,1285235.0
24595644,2025-03-01,31,0,0.0,0.0,134.8,,,,1,,540683.0,0.0
24595644,2025-04-01,27,3,0.1,354.0,120.5,118.0,117,3,1,467398.0,477300.0,1402194.0
24595644,2025-05-01,31,0,0.0,0.0,121.8,,,,1,,488996.0,0.0
24595644,2025-06-01,27,3,0.1,379.0,125.3,126.3,2,3,1,504888.0,500891.0,1515065.0
24595644,2025-07-01,31,0,0.0,0.0,109.2,,,,1,,436531.0,0.0
24595644,2025-08-01,28,3,0.097,455.0,144.8,151.7,60,1,1,606426.0,578843.0,1818877.0
24595644,2025-09-01,25,5,0.167,649.0,111.6,129.8,38,2,1,518880.0,446125.0,2594399.0
14557653,2024-10-01,31,0,0.0,0.0,13.0,,,,,,52845.0,0.0
14557653,2024-11-01,30,0,0.0,0.0,12.5,,,,,,51000.0,0.0
14557653,2024-12-01,29,2,0.065,24.0,12.7,12.0,12,3,,48272.0,51088.0,96544.0
14557653,2025-01-01,24,7,0.226,80.0,11.8,11.4,5,2,1,45842.0,47450.0,321696.0
