listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
14001107,2024-10-01,16,15,0.484,8570.0,566.2,571.3,176,3,,8730035.0,8652102.0,1.3095817E8
14001107,2024-11-01,24,6,0.2,3368.0,558.9,561.3,66,2,,8896044.0,8858006.0,5.3379432E7
14001107,2024-12-01,17,14,0.452,8979.0,622.0,641.4,135,7,5,1.015721E7,9849992.0,1.42191444E8
14001107,2025-01-01,26,5,0.161,2934.0,608.7,586.8,152,4,3,9563256.0,9920167.0,4.7816278E7
14001107,2025-02-01,20,8,0.286,4546.0,562.9,568.2,34,9,2,9293053.0,9206370.0,7.4350967E7
14001107,2025-03-01,19,12,0.387,7185.0,583.8,598.8,75,3,3,9899032.0,9651061.0,1.18778468E8
14001107,2025-04-01,11,19,0.633,10765.0,567.8,566.6,60,6,2,9482561.0,9502644.0,1.80161964E8
14001107,2025-05-01,17,14,0.452,7352.0,533.5,525.1,151,4,3,8723486.0,8863036.0,1.22138776E8
14001107,2025-06-01,9,21,0.7,11583.0,546.1,551.6,70,5,2,9028975.0,8938947.0,1.89598652E8
14001107,2025-07-01,15,16,0.516,8724.0,539.9,545.2,91,3,2,8924215.0,8837461.0,1.42800539E8
14001107,2025-08-01,27,4,0.129,2428.0,596.1,607.0,,,2,9935801.0,9757382.0,3.9743204E7
14001107,2025-09-01,19,11,0.367,6194.0,550.0,563.1,180,5,2,9217215.0,9002785.0,1.01387728E8
11482253,2024-10-01,29,2,0.065,805.0,383.9,402.5,,,,6150603.0,5866376.0,1.2301205E7
11482253,2024-11-01,30,0,0.0,0.0,359.4,,,,,,5696131.0,0.0
11482253,2024-12-01,24,7,0.226,2360.0,337.8,337.1,242,10,2,5338316.0,5349401.0,3.737296E7
11482253,2025-01-01,27,4,0.129,1373.0,305.8,343.2,19,1,48,5593233.0,4983714.0,2.2376193E7
11482253,2025-02-01,28,0,0.0,0.0,295.5,,,,60,,4832976.0,0.0
11482253,2025-03-01,31,0,0.0,0.0,333.0,,,,60,,5504973.0,0.0
11482253,2025-04-01,30,0,0.0,0.0,397.7,,,,60,,6655867.0,0.0
11482253,2025-05-01,31,0,0.0,0.0,390.4,,,,60,,6485715.0,0.0
11482253,2025-06-01,30,0,0.0,0.0,377.5,,,,60,,6179184.0,0.0
11482253,2025-07-01,31,0,0.0,0.0,376.8,,,,60,,6167726.0,0.0
11482253,2025-08-01,31,0,0.0,0.0,373.6,,,,60,,6115346.0,0.0
11482253,2025-09-01,30,0,0.0,0.0,371.2,,,,60,,6076061.0,0.0
17848181,2024-10-01,31,0,0.0,0.0,31.6,,,,,,482880.0,0.0
