listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5157038,2024-10-01,7,24,0.774,454.0,18.9,18.9,1,21,,288811.0,288811.0,6937574.0
5157038,2024-11-01,22,8,0.267,152.0,19.1,19.0,,,,301131.0,302716.0,2409048.0
5157038,2024-12-01,4,27,0.871,520.0,19.2,19.3,1,28,,305635.0,304051.0,8234720.0
5157038,2025-01-01,28,3,0.097,57.0,19.4,19.0,1,2,5,309649.0,316168.0,928946.0
5157038,2025-02-01,12,16,0.571,305.0,19.1,19.1,10,8,5,312385.0,312385.0,4988351.0
5157038,2025-03-01,11,20,0.645,379.0,18.9,18.9,3,7,5,312444.0,312444.0,6265420.0
5157038,2025-04-01,29,1,0.033,19.0,18.7,19.0,,,5,317982.0,312961.0,317982.0
5157038,2025-05-01,24,7,0.226,141.0,20.2,20.1,61,7,5,333921.0,335583.0,2342433.0
5157038,2025-06-01,14,16,0.533,342.0,21.2,21.4,2,6,7,350290.0,347016.0,5598095.0
5157038,2025-07-01,17,14,0.452,288.0,20.5,20.6,1,5,6,337195.0,335558.0,4714186.0
5157038,2025-08-01,25,6,0.194,124.0,20.9,20.7,2,2,6,338832.0,342106.0,2029719.0
5157038,2025-09-01,30,0,0.0,0.0,20.6,,,,16,,337195.0,0.0
16326919,2024-10-01,5,26,0.839,982.0,37.7,37.8,59,6,,577622.0,576094.0,1.5005942E7
16326919,2024-11-01,22,8,0.267,283.0,35.8,35.4,46,1,,561055.0,567394.0,4485267.0
16326919,2024-12-01,19,12,0.387,494.0,39.0,41.2,78,1,1,652443.0,617604.0,7822984.0
16326919,2025-01-01,9,22,0.71,786.0,35.4,35.7,46,4,1,581814.0,576924.0,1.2809678E7
16326919,2025-02-01,18,10,0.357,341.0,33.1,34.1,9,2,1,557714.0,541359.0,5577140.0
16326919,2025-03-01,22,9,0.29,291.0,32.7,32.3,49,4,1,533966.0,540578.0,4810652.0
16326919,2025-04-01,14,16,0.533,607.0,37.7,37.9,18,8,1,634291.0,630943.0,1.0158691E7
16326919,2025-05-01,20,11,0.355,431.0,38.6,39.2,9,5,1,651230.0,641262.0,7160203.0
16326919,2025-06-01,15,15,0.5,721.0,48.9,48.1,71,5,1,787334.0,800429.0,1.1801833E7
16326919,2025-07-01,18,13,0.419,489.0,37.2,37.6,26,2,1,615463.0,608916.0,8004294.0
16326919,2025-08-01,16,15,0.484,594.0,38.6,39.6,27,2,1,648201.0,631832.0,9723008.0
16326919,2025-09-01,25,5,0.167,198.0,42.2,39.6,63,5,1,648201.0,690759.0,3241003.0
20300531,2024-10-01,23,8,0.258,415.0,49.7,51.9,1,6,,793084.0,759466.0,6341615.0
20300531,2024-11-01,4,26,0.867,1275.0,49.5,49.0,11,25,,776601.0,784526.0,2.0207475E7
20300531,2024-12-01,12,19,0.613,926.0,49.4,48.7,12,10,1,771213.0,782298.0,1.4664136E7
20300531,2025-01-01,3,28,0.903,1406.0,50.1,50.2,5,13,1,818124.0,816495.0,2.2914004E7
20300531,2025-02-01,5,23,0.821,1120.0,48.4,48.7,2,15,1,796501.0,791594.0,1.831788E7
20300531,2025-03-01,20,11,0.355,540.0,49.7,49.1,,,1,811694.0,821613.0,8926983.0
20300531,2025-04-01,27,3,0.1,142.0,48.3,47.3,1,3,1,791608.0,808344.0,2376498.0
20300531,2025-05-01,28,3,0.097,146.0,50.9,48.7,,,1,809053.0,845602.0,2425498.0
20300531,2025-06-01,29,1,0.033,56.0,61.0,56.0,1,1,1,916647.0,998491.0,916647.0
20300531,2025-07-01,28,3,0.097,158.0,55.0,52.7,1,3,1,862630.0,900279.0,2586255.0
