listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
20469600,2024-10-01,29,2,0.065,195.0,95.6,97.5,2,2,,406.0,398.0,812.0
20469600,2024-11-01,24,6,0.2,584.0,96.0,97.3,20,2,,426.0,420.0,2557.0
20469600,2024-12-01,13,18,0.581,1685.0,92.7,93.6,30,1,,416.0,412.0,7490.0
20469600,2025-01-01,20,11,0.355,1171.0,106.5,106.5,5,5,1,476.0,476.0,5237.0
20469600,2025-02-01,28,0,0.0,0.0,99.3,,,,1,,442.0,0.0
20469600,2025-03-01,31,0,0.0,0.0,108.5,,,,1,,484.0,0.0
20469600,2025-04-01,30,0,0.0,0.0,106.5,,,,1,,472.0,0.0
33896243,2024-10-01,31,0,0.0,0.0,30.7,,,,,,128.0,0.0
33896243,2024-11-01,30,0,0.0,0.0,31.1,,,,,,136.0,0.0
33896243,2024-12-01,22,9,0.29,293.0,32.0,32.6,4,4,,145.0,142.0,1302.0
33896243,2025-01-01,27,4,0.129,135.0,32.7,33.8,19,2,1,151.0,146.0,604.0
33896243,2025-02-01,28,0,0.0,0.0,32.7,,,,1,,146.0,0.0
33896243,2025-03-01,31,0,0.0,0.0,32.5,,,,1,,145.0,0.0
33896243,2025-04-01,30,0,0.0,0.0,32.1,,,,1,,142.0,0.0
33896243,2025-05-01,31,0,0.0,0.0,32.9,,,,1,,142.0,0.0
33896243,2025-06-01,29,1,0.033,34.0,32.4,34.0,3,1,1,145.0,138.0,145.0
33896243,2025-07-01,29,2,0.065,69.0,32.7,34.5,4,1,1,147.0,139.0,294.0
33896243,2025-08-01,31,0,0.0,0.0,33.2,,,,1,,141.0,0.0
33896243,2025-09-01,30,0,0.0,0.0,34.0,,,,1,,145.0,0.0
34398303,2024-10-01,28,3,0.097,211.0,71.9,70.3,3,3,,293.0,299.0,879.0
34398303,2024-11-01,30,0,0.0,0.0,83.0,,,,,,363.0,0.0
34398303,2024-12-01,27,4,0.129,334.0,81.9,83.5,61,2,,371.0,364.0,1485.0
34398303,2025-01-01,26,5,0.161,370.0,72.6,74.0,23,5,1,331.0,325.0,1655.0
34398303,2025-02-01,27,1,0.036,74.0,67.3,74.0,45,1,1,330.0,300.0,330.0
34398303,2025-03-01,31,0,0.0,0.0,73.8,,,,1,,329.0,0.0
34398303,2025-04-01,30,0,0.0,0.0,77.2,,,,1,,342.0,0.0
34398303,2025-05-01,31,0,0.0,0.0,63.1,,,,1,,273.0,0.0
34398303,2025-06-01,22,8,0.267,491.0,60.3,61.4,5,2,1,261.0,257.0,2090.0
34398303,2025-07-01,29,2,0.065,122.0,60.2,61.0,17,2,1,260.0,256.0,519.0
34398303,2025-08-01,31,0,0.0,0.0,59.5,,,,1,,253.0,0.0
34398303,2025-09-01,30,0,0.0,0.0,54.9,,,,1,,234.0,0.0
32473828,2024-10-01,16,15,0.484,458.0,31.2,30.5,13,15,,127.0,130.0,1907.0
32473828,2024-11-01,30,0,0.0,0.0,32.2,,,,,,141.0,0.0
32473828,2024-12-01,30,1,0.032,48.0,35.7,48.0,3,1,1,213.0,159.0,213.0
32473828,2025-01-01,31,0,0.0,0.0,44.3,,,,1,,198.0,0.0
32473828,2025-02-01,28,0,0.0,0.0,31.9,,,,1,,142.0,0.0
32473828,2025-03-01,30,1,0.032,34.0,31.4,34.0,2,1,1,152.0,140.0,152.0
32473828,2025-04-01,30,0,0.0,0.0,28.9,,,,1,,128.0,0.0
32473828,2025-05-01,31,0,0.0,0.0,39.6,,,,1,,171.0,0.0
32473828,2025-06-01,29,1,0.033,31.0,34.8,31.0,1,1,1,132.0,148.0,132.0
32473828,2025-07-01,31,0,0.0,0.0,40.5,,,,1,,172.0,0.0
32473828,2025-08-01,31,0,0.0,0.0,38.0,,,,1,,162.0,0.0
32473828,2025-09-01,30,0,0.0,0.0,33.8,,,,1,,144.0,0.0
22541297,2024-10-01,31,0,0.0,0.0,82.8,,,,,,345.0,0.0
22541297,2024-11-01,25,5,0.167,202.0,54.6,40.4,1,5,,177.0,239.0,884.0
22541297,2024-12-01,19,12,0.387,734.0,61.1,61.2,1,12,2,272.0,272.0,3263.0
22541297,2025-01-01,31,0,0.0,0.0,59.1,,,,2,,264.0,0.0
22541297,2025-02-01,28,0,0.0,0.0,58.9,,,,2,,262.0,0.0
22541297,2025-03-01,31,0,0.0,0.0,59.7,,,,2,,266.0,0.0
22541297,2025-04-01,30,0,0.0,0.0,57.0,,,,2,,253.0,0.0
22232643,2024-10-01,31,0,0.0,0.0,50.1,,,,,,209.0,0.0
22232643,2024-11-01,21,9,0.3,453.0,51.9,50.3,24,2,,220.0,227.0,1983.0
