listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
4271382,2024-10-01,22,9,0.29,100.0,11.2,11.1,1,24,,46.0,47.0,416.0
4271382,2024-11-01,13,17,0.567,188.0,11.0,11.1,,,,49.0,48.0,823.0
4271382,2024-12-01,21,10,0.323,109.0,11.0,10.9,1,4,5,48.0,49.0,485.0
4271382,2025-01-01,23,8,0.258,87.0,10.9,10.9,20,5,5,49.0,49.0,389.0
4271382,2025-02-01,15,13,0.464,138.0,10.7,10.6,14,14,5,47.0,48.0,615.0
4271382,2025-03-01,18,13,0.419,144.0,10.9,11.1,14,7,5,50.0,49.0,643.0
4271382,2025-04-01,28,2,0.067,22.0,10.9,11.0,,,5,49.0,48.0,97.0
4271382,2025-05-01,27,4,0.129,50.0,13.2,12.5,1,4,5,54.0,57.0,216.0
4271382,2025-06-01,3,27,0.9,350.0,12.9,13.0,1,27,5,55.0,55.0,1490.0
4271382,2025-07-01,28,3,0.097,36.0,12.4,12.0,1,1,5,51.0,53.0,153.0
4271382,2025-08-01,31,0,0.0,0.0,13.0,,,,3,,55.0,0.0
4271382,2025-09-01,27,3,0.1,39.0,13.1,13.0,6,24,3,55.0,56.0,166.0
12193119,2024-10-01,10,21,0.677,675.0,31.6,32.1,8,4,,134.0,132.0,2811.0
12193119,2024-11-01,19,11,0.367,399.0,36.1,36.3,7,3,,159.0,158.0,1747.0
12193119,2024-12-01,13,18,0.581,976.0,51.8,54.2,3,5,2,241.0,230.0,4338.0
12193119,2025-01-01,18,13,0.419,543.0,38.3,41.8,3,13,2,187.0,171.0,2429.0
12193119,2025-02-01,1,27,0.964,997.0,36.7,36.9,5,3,2,164.0,163.0,4442.0
12193119,2025-03-01,4,27,0.871,747.0,27.5,27.7,7,8,2,124.0,123.0,3333.0
12193119,2025-04-01,1,29,0.967,1038.0,35.7,35.8,7,15,2,159.0,158.0,4600.0
12193119,2025-05-01,7,24,0.774,813.0,33.4,33.9,6,5,2,146.0,144.0,3512.0
