listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
40337228,2024-10-01,12,19,0.613,753.0,39.3,39.6,84,9,,2232.0,2215.0,42449.0
40337228,2024-11-01,30,0,0.0,0.0,39.7,,,,,,2317.0,0.0
40337228,2024-12-01,31,0,0.0,0.0,40.3,,,,7,,2362.0,0.0
40337228,2025-01-01,31,0,0.0,0.0,41.6,,,,7,,2402.0,0.0
40337228,2025-02-01,20,8,0.286,319.0,40.7,39.9,270,44,7,2331.0,2378.0,18636.0
40337228,2025-03-01,0,31,1.0,1219.0,39.3,39.3,,,7,2277.0,2277.0,70629.0
40337228,2025-04-01,13,17,0.567,674.0,39.5,39.6,162,7,7,2267.0,2261.0,38580.0
40337228,2025-05-01,21,10,0.323,418.0,38.6,41.8,,,7,2336.0,2157.0,23361.0
40337228,2025-06-01,6,24,0.8,799.0,33.5,33.3,11,27,6,1857.0,1868.0,44560.0
40337228,2025-07-01,3,28,0.903,869.0,31.1,31.0,1,41,3,1729.0,1734.0,48464.0
40337228,2025-08-01,2,29,0.935,804.0,27.7,27.7,45,8,6,1545.0,1545.0,44839.0
40337228,2025-09-01,0,30,1.0,800.0,26.7,26.7,101,215,3,1489.0,1489.0,44616.0
46362025,2024-10-01,12,19,0.613,1058.0,55.8,55.7,10,12,,3140.0,3146.0,59643.0
46362025,2024-11-01,9,21,0.7,1180.0,56.2,56.2,13,5,,3280.0,3280.0,68871.0
46362025,2024-12-01,4,27,0.871,1485.0,55.0,55.0,78,7,3,3223.0,3223.0,87023.0
46362025,2025-01-01,4,27,0.871,1532.0,56.8,56.7,221,6,3,3274.0,3279.0,88449.0
46362025,2025-02-01,21,7,0.25,387.0,55.8,55.3,,,3,3231.0,3260.0,22609.0
46362025,2025-03-01,14,17,0.548,996.0,57.1,58.6,122,31,3,3395.0,3308.0,57709.0
46362025,2025-04-01,13,17,0.567,970.0,56.3,57.1,1,3,3,3268.0,3223.0,55523.0
