listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
18117928,2024-10-01,14,17,0.548,1031.0,60.7,60.6,15,3,,3416.0,3422.0,58121.0
18117928,2024-11-01,15,15,0.5,827.0,54.3,55.1,7,6,,3216.0,3169.0,48268.0
18117928,2024-12-01,3,28,0.903,1671.0,59.7,59.7,20,3,1,3499.0,3499.0,97923.0
18117928,2025-01-01,4,27,0.871,1431.0,53.1,53.0,7,2,1,3060.0,3066.0,82618.0
18117928,2025-02-01,7,21,0.75,1097.0,52.0,52.2,23,4,1,3050.0,3038.0,64088.0
18117928,2025-03-01,18,13,0.419,682.0,51.3,52.5,14,3,1,3042.0,2972.0,39515.0
18117928,2025-04-01,7,23,0.767,1136.0,48.7,49.4,25,3,1,2828.0,2788.0,65024.0
18117928,2025-05-01,17,14,0.452,689.0,52.5,49.2,29,4,1,2750.0,2934.0,38507.0
18117928,2025-06-01,5,25,0.833,1461.0,57.9,58.4,5,3,1,3257.0,3229.0,81480.0
18117928,2025-07-01,9,22,0.71,1220.0,53.9,55.5,3,3,1,3095.0,3006.0,68039.0
18117928,2025-08-01,16,15,0.484,855.0,53.0,57.0,7,2,1,3179.0,2956.0,47683.0
18117928,2025-09-01,10,20,0.667,1028.0,50.7,51.4,10,2,1,2867.0,2828.0,57332.0
12455186,2024-10-01,14,17,0.548,223.0,13.0,13.1,21,10,,738.0,733.0,12571.0
12455186,2024-11-01,21,9,0.3,116.0,12.6,12.9,21,2,,753.0,735.0,6770.0
12455186,2024-12-01,10,21,0.677,269.0,12.7,12.8,42,4,,750.0,744.0,15764.0
12455186,2025-01-01,25,6,0.194,78.0,12.6,13.0,5,1,1,751.0,727.0,4503.0
12455186,2025-02-01,11,17,0.607,212.0,12.5,12.5,15,1,1,730.0,730.0,12385.0
12455186,2025-03-01,25,6,0.194,76.0,12.7,12.7,24,2,1,736.0,736.0,4403.0
12455186,2025-04-01,13,17,0.567,215.0,12.6,12.6,35,2,1,721.0,721.0,12307.0
12455186,2025-05-01,22,9,0.29,126.0,14.3,14.0,12,3,1,782.0,799.0,7042.0
12455186,2025-06-01,19,11,0.367,166.0,15.1,15.1,34,2,1,842.0,842.0,9258.0
12455186,2025-07-01,25,6,0.194,87.0,14.4,14.5,18,2,1,809.0,803.0,4852.0
12455186,2025-08-01,28,3,0.097,43.0,15.0,14.3,18,2,1,798.0,837.0,2398.0
12455186,2025-09-01,17,13,0.433,179.0,14.0,13.8,23,3,1,770.0,781.0,9983.0
27740439,2024-10-01,30,1,0.032,105.0,100.3,105.0,1,3,,5919.0,5654.0,5919.0
27740439,2024-11-01,19,11,0.367,1160.0,104.3,105.5,16,1,,6158.0,6087.0,67703.0
27740439,2024-12-01,15,16,0.516,1710.0,104.5,106.9,34,2,,6265.0,6124.0,100209.0
27740439,2025-01-01,18,13,0.419,1337.0,100.9,102.8,31,2,1,5935.0,5825.0,77191.0
27740439,2025-02-01,13,15,0.536,1564.0,103.8,104.3,11,2,1,6093.0,6064.0,91371.0
27740439,2025-03-01,23,8,0.258,817.0,99.8,102.1,6,1,1,5916.0,5782.0,47337.0
27740439,2025-04-01,27,3,0.1,327.0,105.3,109.0,35,3,1,6239.0,6027.0,18717.0
27740439,2025-05-01,31,0,0.0,0.0,101.5,,,,1,,5673.0,0.0
27740439,2025-06-01,21,9,0.3,924.0,102.3,102.7,4,1,1,5728.0,5705.0,51532.0
27740439,2025-07-01,31,0,0.0,0.0,99.9,,,,1,,5571.0,0.0
27740439,2025-08-01,27,4,0.129,404.0,101.8,101.0,20,2,1,5633.0,5677.0,22531.0
27740439,2025-09-01,18,12,0.4,1198.0,99.3,99.8,37,3,1,5566.0,5538.0,66813.0
17368892,2024-10-01,28,3,0.097,240.0,79.0,80.0,1,3,,4510.0,4454.0,13530.0
17368892,2024-11-01,25,5,0.167,381.0,76.6,76.2,3,3,,4447.0,4471.0,22237.0
17368892,2024-12-01,18,13,0.419,1138.0,89.6,87.5,21,2,2,5128.0,5251.0,66689.0
17368892,2025-01-01,20,11,0.355,846.0,76.2,76.9,3,2,2,4440.0,4399.0,48843.0
17368892,2025-02-01,21,7,0.25,528.0,75.4,75.4,15,2,2,4405.0,4405.0,30846.0
17368892,2025-03-01,21,10,0.323,745.0,74.0,74.5,2,1,2,4317.0,4288.0,43166.0
17368892,2025-04-01,30,0,0.0,0.0,68.9,,,,2,,3944.0,0.0
17368892,2025-05-01,26,5,0.161,339.0,67.5,67.8,3,2,2,3789.0,3772.0,18946.0
17368892,2025-06-01,23,7,0.233,549.0,76.4,78.4,25,3,2,4372.0,4261.0,30618.0
17368892,2025-07-01,30,1,0.032,82.0,78.2,82.0,1,1,2,4573.0,4361.0,4573.0
17368892,2025-08-01,30,1,0.032,80.0,79.0,80.0,1,1,2,4462.0,4406.0,4462.0
17368892,2025-09-01,29,1,0.033,72.0,76.3,72.0,1,1,2,4015.0,4255.0,4015.0
4512805,2024-10-01,31,0,0.0,0.0,141.5,,,,,,7977.0,0.0
4512805,2024-11-01,30,0,0.0,0.0,140.0,,,,,,8171.0,0.0
4512805,2024-12-01,21,10,0.323,1380.0,137.9,138.0,1,10,,8087.0,8081.0,80870.0
4512805,2025-01-01,31,0,0.0,0.0,130.5,,,,3,,7534.0,0.0
4512805,2025-02-01,28,0,0.0,0.0,133.1,,,,3,,7776.0,0.0
4512805,2025-03-01,31,0,0.0,0.0,139.1,,,,3,,8060.0,0.0
4512805,2025-04-01,30,0,0.0,0.0,138.0,,,,3,,7899.0,0.0
4512805,2025-05-01,31,0,0.0,0.0,138.4,,,,3,,7735.0,0.0
4512805,2025-06-01,30,0,0.0,0.0,136.5,,,,3,,7613.0,0.0
4512805,2025-07-01,31,0,0.0,0.0,136.8,,,,3,,7629.0,0.0
4512805,2025-08-01,31,0,0.0,0.0,139.1,,,,3,,7758.0,0.0
4512805,2025-09-01,30,0,0.0,0.0,139.1,,,,3,,7758.0,0.0
16208267,2024-10-01,31,0,0.0,0.0,27.5,,,,,,1550.0,0.0
16208267,2024-11-01,30,0,0.0,0.0,27.3,,,,,,1593.0,0.0
16208267,2024-12-01,24,7,0.226,187.0,27.1,26.7,3,3,,1565.0,1588.0,10958.0
16208267,2025-01-01,31,0,0.0,0.0,26.3,,,,14,,1518.0,0.0
16208267,2025-02-01,28,0,0.0,0.0,27.3,,,,14,,1595.0,0.0
16208267,2025-03-01,31,0,0.0,0.0,27.7,,,,14,,1605.0,0.0
16208267,2025-04-01,30,0,0.0,0.0,27.7,,,,14,,1586.0,0.0
16208267,2025-05-01,31,0,0.0,0.0,25.2,,,,14,,1408.0,0.0
16208267,2025-06-01,24,6,0.2,152.0,24.9,25.3,1,6,14,1411.0,1389.0,8477.0
16208267,2025-07-01,31,0,0.0,0.0,25.5,,,,14,,1422.0,0.0
16208267,2025-08-01,31,0,0.0,0.0,24.4,,,,14,,1361.0,0.0
16208267,2025-09-01,30,0,0.0,0.0,23.7,,,,14,,1322.0,0.0
18064290,2024-10-01,0,31,1.0,1528.0,49.3,49.3,73,75,,2779.0,2779.0,86139.0
18064290,2024-11-01,0,30,1.0,1484.0,49.5,49.5,,,,2889.0,2889.0,86614.0
18064290,2024-12-01,7,24,0.774,1231.0,51.0,51.3,15,2,2,3006.0,2989.0,72138.0
18064290,2025-01-01,22,9,0.29,465.0,49.5,51.7,6,4,1,2985.0,2858.0,26847.0
18064290,2025-02-01,26,2,0.071,104.0,47.6,52.0,1,2,1,3038.0,2781.0,6076.0
18064290,2025-03-01,29,2,0.065,100.0,49.4,50.0,3,2,1,2897.0,2862.0,5794.0
18064290,2025-04-01,23,7,0.233,337.0,47.7,48.1,16,1,1,2753.0,2730.0,19290.0
18064290,2025-05-01,26,5,0.161,251.0,48.6,50.2,8,1,1,2806.0,2716.0,14028.0
18064290,2025-06-01,28,2,0.067,100.0,48.0,50.0,1,1,1,2789.0,2677.0,5577.0
18064290,2025-07-01,9,22,0.71,1061.0,47.1,48.2,1,27,1,2688.0,2627.0,59172.0
18064290,2025-08-01,17,14,0.452,728.0,52.9,52.0,45,28,1,2900.0,2950.0,40601.0
18064290,2025-09-01,11,19,0.633,1021.0,54.3,53.7,,,1,2995.0,3028.0,56941.0
1110956,2024-10-01,31,0,0.0,0.0,42.4,,,,,,2390.0,0.0
1110956,2024-11-01,30,0,0.0,0.0,41.0,,,,,,2393.0,0.0
1110956,2024-12-01,18,13,0.419,508.0,39.5,39.1,1,13,2,2291.0,2315.0,29770.0
1110956,2025-01-01,31,0,0.0,0.0,39.1,,,,2,,2257.0,0.0
1110956,2025-02-01,28,0,0.0,0.0,39.6,,,,2,,2313.0,0.0
1110956,2025-03-01,31,0,0.0,0.0,38.5,,,,2,,2231.0,0.0
1110956,2025-04-01,30,0,0.0,0.0,38.7,,,,2,,2215.0,0.0
1110956,2025-05-01,31,0,0.0,0.0,36.0,,,,2,,2012.0,0.0
1110956,2025-06-01,30,0,0.0,0.0,34.9,,,,2,,1946.0,0.0
1110956,2025-07-01,31,0,0.0,0.0,34.1,,,,2,,1902.0,0.0
1110956,2025-08-01,31,0,0.0,0.0,33.7,,,,2,,1879.0,0.0
1110956,2025-09-01,30,0,0.0,0.0,33.8,,,,2,,1885.0,0.0
23137549,2024-10-01,30,1,0.032,39.0,38.4,39.0,19,1,,2199.0,2165.0,2199.0
23137549,2024-11-01,24,6,0.2,215.0,36.9,35.8,9,6,,2089.0,2154.0,12548.0
23137549,2024-12-01,18,13,0.419,532.0,39.2,40.9,20,7,,2397.0,2297.0,31176.0
23137549,2025-01-01,26,5,0.161,204.0,41.5,40.8,10,1,1,2356.0,2396.0,11778.0
23137549,2025-02-01,24,4,0.143,155.0,38.9,38.8,5,2,1,2267.0,2273.0,9055.0
23137549,2025-03-01,29,2,0.065,77.0,38.5,38.5,,,1,2231.0,2231.0,4461.0
23137549,2025-04-01,23,7,0.233,294.0,42.2,42.0,11,3,1,2404.0,2416.0,16828.0
21929008,2024-10-01,21,10,0.323,353.0,34.7,35.3,10,2,,1990.0,1956.0,19900.0
21929008,2024-11-01,17,13,0.433,489.0,37.4,37.6,66,1,,2195.0,2183.0,28541.0
21929008,2024-12-01,15,16,0.516,976.0,49.3,61.0,60,1,1,3575.0,2889.0,57195.0
21929008,2025-01-01,19,12,0.387,490.0,40.7,40.8,6,2,1,2356.0,2350.0,28290.0
21929008,2025-02-01,12,16,0.571,580.0,36.0,36.2,49,2,1,2115.0,2103.0,33884.0
21929008,2025-03-01,23,8,0.258,292.0,35.7,36.5,8,1,1,2115.0,2068.0,16919.0
21929008,2025-04-01,22,8,0.267,295.0,39.9,36.9,2,2,1,2112.0,2284.0,16886.0
21929008,2025-05-01,13,18,0.581,711.0,38.6,39.5,23,1,1,2208.0,2157.0,39736.0
21929008,2025-06-01,14,16,0.533,689.0,43.2,43.1,18,2,1,2404.0,2409.0,38426.0
21929008,2025-07-01,17,14,0.452,574.0,40.5,41.0,10,1,1,2287.0,2259.0,32012.0
21929008,2025-08-01,17,14,0.452,605.0,41.1,43.2,17,1,1,2409.0,2292.0,33741.0
21929008,2025-09-01,20,10,0.333,358.0,36.4,35.8,16,2,1,1997.0,2030.0,19966.0
23929284,2024-10-01,3,28,0.903,1651.0,58.8,59.0,32,10,,3326.0,3315.0,93073.0
23929284,2024-11-01,26,4,0.133,239.0,59.8,59.8,,,,3490.0,3490.0,13949.0
23929284,2024-12-01,19,12,0.387,762.0,63.8,63.5,111,17,1,3721.0,3739.0,44654.0
23929284,2025-01-01,19,12,0.387,711.0,58.7,59.2,6,7,1,3418.0,3389.0,41049.0
23929284,2025-02-01,24,4,0.143,223.0,55.7,55.8,13,2,1,3260.0,3254.0,13028.0
23929284,2025-03-01,30,1,0.032,57.0,56.0,57.0,30,1,1,3303.0,3245.0,3303.0
23929284,2025-04-01,18,12,0.4,684.0,56.8,57.0,13,17,1,3263.0,3251.0,39152.0
23929284,2025-05-01,26,5,0.161,291.0,68.4,58.2,,,1,3253.0,3823.0,16263.0
23929284,2025-06-01,8,22,0.733,1451.0,67.2,66.0,19,15,1,3681.0,3748.0,80922.0
23929284,2025-07-01,22,9,0.29,579.0,65.8,64.3,,,1,3586.0,3670.0,32291.0
23929284,2025-08-01,31,0,0.0,0.0,64.8,,,,1,,3614.0,0.0
23929284,2025-09-01,30,0,0.0,0.0,73.0,,,,1,,4071.0,0.0
23845114,2024-10-01,30,1,0.032,79.0,78.7,79.0,1,1,,4454.0,4437.0,4454.0
23845114,2024-11-01,30,0,0.0,0.0,78.3,,,,,,4570.0,0.0
23845114,2024-12-01,11,20,0.645,1544.0,77.2,77.2,47,5,2,4524.0,4524.0,90481.0
23845114,2025-01-01,26,5,0.161,383.0,76.1,76.6,15,4,2,4422.0,4394.0,22112.0
23845114,2025-02-01,24,4,0.143,303.0,75.4,75.8,4,4,2,4428.0,4405.0,17702.0
23845114,2025-03-01,24,7,0.226,532.0,76.0,76.0,1,3,2,4403.0,4403.0,30824.0
23845114,2025-04-01,23,7,0.233,538.0,76.5,76.9,11,3,2,4402.0,4379.0,30795.0
23845114,2025-05-01,30,1,0.032,83.0,86.1,83.0,1,1,2,4639.0,4812.0,4639.0
23845114,2025-06-01,30,0,0.0,0.0,89.7,,,,2,,5003.0,0.0
23845114,2025-07-01,30,1,0.032,87.0,88.4,87.0,1,1,2,4852.0,4930.0,4852.0
23845114,2025-08-01,27,4,0.129,346.0,85.5,86.5,2,4,2,4824.0,4768.0,19296.0
23845114,2025-09-01,25,5,0.167,427.0,87.2,85.4,15,5,2,4763.0,4863.0,23814.0
27406860,2024-10-01,12,19,0.613,641.0,33.6,33.7,25,4,,1900.0,1894.0,36135.0
27406860,2024-11-01,10,20,0.667,689.0,34.2,34.5,20,2,,2014.0,1996.0,40214.0
27406860,2024-12-01,3,28,0.903,1026.0,36.5,36.6,29,3,1,2145.0,2139.0,60125.0
27406860,2025-01-01,15,16,0.516,559.0,34.8,34.9,38,2,1,2015.0,2009.0,32274.0
27406860,2025-02-01,13,15,0.536,525.0,34.8,35.0,12,2,1,2045.0,2033.0,30671.0
27406860,2025-03-01,21,10,0.323,343.0,34.0,34.3,71,2,1,1987.0,1970.0,19874.0
27406860,2025-04-01,16,14,0.467,486.0,34.2,34.7,15,3,1,1986.0,1958.0,27819.0
27406860,2025-05-01,10,21,0.677,898.0,42.2,42.8,21,3,1,2392.0,2358.0,50187.0
27406860,2025-06-01,10,20,0.667,903.0,44.7,45.1,34,2,1,2515.0,2493.0,50360.0
27406860,2025-07-01,16,15,0.484,546.0,36.0,36.4,16,3,1,2030.0,2008.0,30450.0
27406860,2025-08-01,3,28,0.903,971.0,34.6,34.7,59,6,1,1935.0,1930.0,54153.0
27406860,2025-09-01,11,19,0.633,635.0,33.3,33.4,34,3,1,1863.0,1857.0,35414.0
4246453,2024-10-01,31,0,0.0,0.0,167.6,,,,,,9448.0,0.0
4246453,2024-11-01,30,0,0.0,0.0,162.1,,,,,,9461.0,0.0
4246453,2024-12-01,20,11,0.355,1656.0,152.7,150.5,3,12,,8820.0,8948.0,97044.0
4246453,2025-01-01,30,1,0.032,151.0,131.3,151.0,,,1,8718.0,7581.0,8718.0
4246453,2025-02-01,28,0,0.0,0.0,124.5,,,,1,,7273.0,0.0
4246453,2025-03-01,31,0,0.0,0.0,151.0,,,,1,,8749.0,0.0
4246453,2025-04-01,30,0,0.0,0.0,147.6,,,,1,,8449.0,0.0
5514543,2024-10-01,29,2,0.065,52.0,24.8,26.0,1,2,,1466.0,1398.0,2931.0
5514543,2024-11-01,16,14,0.467,345.0,24.8,24.6,22,3,,1436.0,1447.0,20136.0
5514543,2024-12-01,18,13,0.419,317.0,24.4,24.4,57,3,,1430.0,1430.0,18577.0
5514543,2025-01-01,31,0,0.0,0.0,24.0,,,,2,,1386.0,0.0
5514543,2025-02-01,21,7,0.25,167.0,23.9,23.9,30,7,2,1396.0,1396.0,9756.0
5514543,2025-03-01,21,10,0.323,248.0,24.5,24.8,19,2,2,1437.0,1420.0,14369.0
5514543,2025-04-01,19,11,0.367,273.0,24.7,24.8,42,2,2,1420.0,1414.0,15626.0
5514543,2025-05-01,20,11,0.355,300.0,26.7,27.3,21,3,2,1526.0,1492.0,16766.0
5514543,2025-06-01,23,7,0.233,197.0,28.1,28.1,15,1,2,1567.0,1567.0,10987.0
5514543,2025-07-01,28,3,0.097,81.0,27.9,27.0,4,3,2,1506.0,1556.0,4517.0
5514543,2025-08-01,27,4,0.129,109.0,28.5,27.2,4,1,2,1517.0,1589.0,6079.0
5514543,2025-09-01,25,5,0.167,143.0,28.8,28.6,3,2,2,1595.0,1606.0,7975.0
10994418,2024-10-01,31,0,0.0,0.0,16.2,,,,,,913.0,0.0
10994418,2024-11-01,30,0,0.0,0.0,15.8,,,,,,922.0,0.0
10994418,2024-12-01,31,0,0.0,0.0,16.3,,,,,,955.0,0.0
10994418,2025-01-01,31,0,0.0,0.0,16.1,,,,90,,930.0,0.0
10994418,2025-02-01,28,0,0.0,0.0,16.1,,,,90,,941.0,0.0
10994418,2025-03-01,4,27,0.871,434.0,16.0,16.1,77,76,90,933.0,927.0,25146.0
10994418,2025-04-01,0,30,1.0,493.0,16.4,16.4,,,90,939.0,939.0,28219.0
10994418,2025-05-01,12,19,0.613,293.0,15.3,15.4,,,90,861.0,855.0,16375.0
10994418,2025-06-01,30,0,0.0,0.0,14.9,,,,90,,831.0,0.0
10994418,2025-07-01,31,0,0.0,0.0,15.1,,,,90,,842.0,0.0
10994418,2025-08-01,31,0,0.0,0.0,14.7,,,,90,,820.0,0.0
10994418,2025-09-01,30,0,0.0,0.0,13.7,,,,90,,764.0,0.0
23791222,2024-10-01,27,4,0.129,642.0,161.7,160.5,29,4,,9048.0,9116.0,36192.0
23791222,2024-11-01,25,5,0.167,820.0,164.2,164.0,6,3,,9572.0,9584.0,47859.0
23791222,2024-12-01,20,11,0.355,1782.0,161.1,162.0,204,3,2,9493.0,9441.0,104428.0
23791222,2025-01-01,27,4,0.129,637.0,159.3,159.2,14,4,2,9191.0,9197.0,36777.0
23791222,2025-02-01,14,14,0.5,2195.0,156.9,156.8,44,3,2,9160.0,9166.0,128234.0
23791222,2025-03-01,23,8,0.258,1274.0,158.3,159.2,2,4,2,9224.0,9172.0,73816.0
23791222,2025-04-01,21,9,0.3,1441.0,159.7,160.1,20,4,2,9164.0,9141.0,82482.0
23791222,2025-05-01,24,7,0.226,1130.0,161.9,161.4,3,3,2,9020.0,9048.0,63153.0
23791222,2025-06-01,26,4,0.133,635.0,170.8,158.8,12,4,2,8856.0,9526.0,35414.0
23791222,2025-07-01,31,0,0.0,0.0,166.4,,,,2,,9280.0,0.0
23791222,2025-08-01,27,4,0.129,660.0,164.7,165.0,15,4,2,9202.0,9185.0,36808.0
23791222,2025-09-01,24,6,0.2,987.0,165.6,164.5,1,6,2,9174.0,9236.0,55045.0
25635132,2024-10-01,6,25,0.806,442.0,17.7,17.7,2,4,,998.0,998.0,24917.0
25635132,2024-11-01,12,18,0.6,318.0,17.7,17.7,17,3,,1033.0,1033.0,18560.0
25635132,2024-12-01,17,14,0.452,258.0,18.3,18.4,18,4,,1078.0,1072.0,15119.0
25635132,2025-01-01,20,11,0.355,199.0,18.0,18.1,23,5,2,1045.0,1039.0,11489.0
