listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
22460398,2024-10-01,20,11,0.355,308.0,27.9,28.0,39,11,,1578.0,1573.0,17363.0
22460398,2024-11-01,30,0,0.0,0.0,27.7,,,,,,1617.0,0.0
22460398,2024-12-01,29,2,0.065,54.0,27.3,27.0,1,2,,1582.0,1600.0,3164.0
22460398,2025-01-01,20,11,0.355,343.0,32.9,31.2,1,3,3,1801.0,1899.0,19803.0
22460398,2025-02-01,12,16,0.571,429.0,26.6,26.8,1,3,3,1566.0,1554.0,25063.0
22460398,2025-03-01,29,2,0.065,54.0,27.0,27.0,,,3,1564.0,1564.0,3129.0
22460398,2025-04-01,22,8,0.267,214.0,26.9,26.8,1,8,3,1534.0,1540.0,12249.0
22460398,2025-05-01,14,17,0.548,489.0,29.1,28.8,7,14,2,1610.0,1626.0,27329.0
22460398,2025-06-01,5,25,0.833,709.0,28.2,28.4,,,2,1584.0,1573.0,39541.0
22460398,2025-07-01,22,9,0.29,271.0,29.5,30.1,1,9,2,1679.0,1645.0,15114.0
22460398,2025-08-01,31,0,0.0,0.0,27.7,,,,2,,1545.0,0.0
22460398,2025-09-01,25,5,0.167,133.0,27.7,26.6,14,5,2,1483.0,1545.0,7417.0
12317094,2024-10-01,13,18,0.581,543.0,30.2,30.2,42,5,,1702.0,1702.0,30611.0
12317094,2024-11-01,29,1,0.033,29.0,30.0,29.0,1,1,,1693.0,1751.0,1693.0
12317094,2024-12-01,14,17,0.548,492.0,29.5,28.9,15,15,2,1694.0,1729.0,28832.0
12317094,2025-01-01,8,23,0.742,686.0,29.8,29.8,15,5,2,1720.0,1720.0,39606.0
12317094,2025-02-01,0,28,1.0,836.0,29.9,29.9,16,6,2,1747.0,1747.0,48840.0
12317094,2025-03-01,4,27,0.871,894.0,33.0,33.1,7,6,2,1918.0,1912.0,51799.0
12317094,2025-04-01,10,20,0.667,660.0,32.9,33.0,4,6,2,1889.0,1883.0,37778.0
12317094,2025-05-01,14,17,0.548,580.0,34.7,34.1,35,8,2,1906.0,1939.0,32415.0
12317094,2025-06-01,10,20,0.667,748.0,37.8,37.4,12,14,2,2086.0,2108.0,41716.0
12317094,2025-07-01,9,22,0.71,879.0,38.6,40.0,,,2,2231.0,2153.0,49022.0
12317094,2025-08-01,17,14,0.452,450.0,32.7,32.1,1,18,2,1790.0,1824.0,25097.0
12317094,2025-09-01,12,18,0.6,593.0,33.4,32.9,10,14,2,1835.0,1863.0,33072.0
15891880,2024-10-01,31,0,0.0,0.0,37.5,,,,,,2114.0,0.0
15891880,2024-11-01,23,7,0.233,270.0,38.7,38.6,144,3,,2253.0,2259.0,15759.0
15891880,2024-12-01,21,10,0.323,388.0,38.7,38.8,40,2,,2274.0,2268.0,22737.0
15891880,2025-01-01,22,9,0.29,368.0,40.0,40.9,147,1,1,2361.0,2309.0,21246.0
15891880,2025-02-01,28,0,0.0,0.0,37.2,,,,1,,2173.0,0.0
15891880,2025-03-01,28,3,0.097,116.0,38.2,38.7,10,5,1,2242.0,2213.0,6721.0
15891880,2025-04-01,22,8,0.267,305.0,38.1,38.1,1,6,1,2181.0,2181.0,17458.0
15891880,2025-05-01,26,5,0.161,207.0,40.8,41.4,82,2,1,2314.0,2280.0,11569.0
15891880,2025-06-01,27,3,0.1,119.0,39.3,39.7,9,1,1,2214.0,2192.0,6637.0
15891880,2025-07-01,31,0,0.0,0.0,40.7,,,,1,,2270.0,0.0
15891880,2025-08-01,27,4,0.129,164.0,40.2,41.0,11,4,1,2287.0,2242.0,9146.0
15891880,2025-09-01,30,0,0.0,0.0,39.5,,,,1,,2203.0,0.0
11311570,2024-10-01,31,0,0.0,0.0,31.7,,,,,,1787.0,0.0
11311570,2024-11-01,7,23,0.767,731.0,31.9,31.8,4,8,,1856.0,1862.0,42665.0
11311570,2024-12-01,5,26,0.839,836.0,32.0,32.2,7,4,1,1887.0,1875.0,48991.0
11311570,2025-01-01,19,12,0.387,495.0,41.2,41.2,2,2,1,2379.0,2379.0,28579.0
11311570,2025-02-01,12,16,0.571,537.0,33.6,33.6,1,5,2,1963.0,1963.0,31372.0
11311570,2025-03-01,25,6,0.194,202.0,33.5,33.7,7,3,2,1953.0,1941.0,11704.0
11311570,2025-04-01,27,3,0.1,102.0,33.6,34.0,1,4,2,1946.0,1923.0,5838.0
11311570,2025-05-01,8,23,0.742,799.0,34.9,34.7,7,6,3,1939.0,1950.0,44655.0
11311570,2025-06-01,20,10,0.333,406.0,40.9,40.6,1,5,3,2264.0,2281.0,22643.0
11311570,2025-07-01,9,22,0.71,853.0,39.2,38.8,1,10,3,2164.0,2186.0,47572.0
11311570,2025-08-01,31,0,0.0,0.0,38.0,,,,3,,2119.0,0.0
11311570,2025-09-01,30,0,0.0,0.0,36.7,,,,3,,2047.0,0.0
23973827,2024-10-01,27,4,0.129,152.0,37.8,38.0,43,7,,2142.0,2131.0,8569.0
23973827,2024-11-01,27,3,0.1,115.0,37.7,38.3,,,,2235.0,2200.0,6712.0
23973827,2024-12-01,21,10,0.323,387.0,39.1,38.7,21,5,,2268.0,2291.0,22679.0
23973827,2025-01-01,29,2,0.065,80.0,40.9,40.0,1,2,5,2309.0,2361.0,4619.0
23973827,2025-02-01,27,1,0.036,37.0,39.9,37.0,1,1,5,2162.0,2331.0,2162.0
23973827,2025-03-01,22,9,0.29,348.0,39.7,38.7,58,9,5,2242.0,2300.0,20163.0
23973827,2025-04-01,22,8,0.267,311.0,39.3,38.9,29,8,5,2227.0,2250.0,17802.0
23973827,2025-05-01,23,8,0.258,333.0,42.4,41.6,21,8,5,2325.0,2370.0,18611.0
23973827,2025-06-01,30,0,0.0,0.0,40.3,,,,4,,2248.0,0.0
23973827,2025-07-01,28,3,0.097,112.0,36.5,37.3,1,3,5,2080.0,2036.0,6246.0
23973827,2025-08-01,31,0,0.0,0.0,37.3,,,,5,,2080.0,0.0
23973827,2025-09-01,25,5,0.167,169.0,34.9,33.8,4,5,5,1885.0,1946.0,9425.0
16836317,2024-10-01,29,2,0.065,55.0,27.5,27.5,4,1,,1550.0,1550.0,3101.0
16836317,2024-11-01,27,3,0.1,82.0,28.0,27.3,4,1,,1593.0,1634.0,4786.0
16836317,2024-12-01,26,5,0.161,133.0,27.1,26.6,8,1,3,1559.0,1588.0,7794.0
16836317,2025-01-01,19,12,0.387,329.0,27.4,27.4,28,1,3,1582.0,1582.0,18995.0
16836317,2025-02-01,23,5,0.179,134.0,26.9,26.8,16,1,3,1566.0,1572.0,7828.0
16836317,2025-03-01,20,11,0.355,294.0,26.6,26.7,27,1,3,1547.0,1541.0,17034.0
16836317,2025-04-01,24,6,0.2,161.0,26.9,26.8,22,1,3,1534.0,1540.0,9216.0
16836317,2025-05-01,22,9,0.29,248.0,28.7,27.6,13,4,3,1543.0,1604.0,13860.0
16836317,2025-06-01,30,0,0.0,0.0,32.6,,,,3,,1818.0,0.0
16836317,2025-07-01,27,4,0.129,108.0,27.6,27.0,5,1,3,1506.0,1539.0,6023.0
16836317,2025-08-01,24,7,0.226,192.0,28.3,27.4,6,2,3,1528.0,1578.0,10708.0
16836317,2025-09-01,27,3,0.1,91.0,31.4,30.3,4,1,3,1690.0,1751.0,5075.0
6813172,2024-10-01,31,0,0.0,0.0,12.3,,,,,,693.0,0.0
6813172,2024-11-01,5,25,0.833,309.0,12.3,12.4,,,,724.0,718.0,18035.0
6813172,2024-12-01,1,30,0.968,379.0,12.6,12.6,2,17,,738.0,738.0,22210.0
6813172,2025-01-01,7,24,0.774,276.0,11.5,11.5,43,5,1,664.0,664.0,15935.0
6813172,2025-02-01,25,3,0.107,33.0,11.3,11.0,,,1,643.0,660.0,1928.0
6813172,2025-03-01,31,0,0.0,0.0,12.3,,,,1,,713.0,0.0
6813172,2025-04-01,30,0,0.0,0.0,12.1,,,,1,,693.0,0.0
21578880,2024-10-01,29,2,0.065,40.0,19.9,20.0,1,1,,1127.0,1122.0,2255.0
21578880,2024-11-01,30,0,0.0,0.0,19.6,,,,,,1144.0,0.0
