listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
41334725,2024-10-01,31,0,0.0,0.0,9.5,,,,,,536.0,0.0
41334725,2024-11-01,29,1,0.033,9.0,9.5,9.0,1,1,,525.0,554.0,525.0
41334725,2024-12-01,29,2,0.065,20.0,9.7,10.0,1,1,1,586.0,568.0,1172.0
41334725,2025-01-01,30,1,0.032,9.0,9.6,9.0,1,1,1,520.0,554.0,520.0
41334725,2025-02-01,25,3,0.107,27.0,9.2,9.0,1,3,1,526.0,537.0,1577.0
41334725,2025-03-01,27,4,0.129,38.0,9.5,9.5,3,1,1,550.0,550.0,2202.0
41334725,2025-04-01,28,2,0.067,19.0,9.5,9.5,1,1,1,544.0,544.0,1088.0
41334725,2025-05-01,30,1,0.032,12.0,11.3,12.0,1,1,1,671.0,632.0,671.0
41334725,2025-06-01,29,1,0.033,12.0,11.4,12.0,1,1,1,669.0,636.0,669.0
41334725,2025-07-01,30,1,0.032,11.0,11.4,11.0,1,1,1,613.0,636.0,613.0
41334725,2025-08-01,30,1,0.032,12.0,11.6,12.0,1,1,1,669.0,647.0,669.0
41334725,2025-09-01,29,1,0.033,12.0,11.9,12.0,1,1,1,669.0,664.0,669.0
27447972,2024-10-01,31,0,0.0,0.0,25.8,,,,,,1454.0,0.0
27447972,2024-11-01,30,0,0.0,0.0,26.6,,,,,,1553.0,0.0
27447972,2024-12-01,22,9,0.29,222.0,25.4,24.7,18,10,,1447.0,1488.0,13010.0
27447972,2025-01-01,30,1,0.032,24.0,24.7,24.0,,,1,1386.0,1426.0,1386.0
27447972,2025-02-01,28,0,0.0,0.0,24.3,,,,1,,1420.0,0.0
27447972,2025-03-01,31,0,0.0,0.0,24.9,,,,1,,1443.0,0.0
27447972,2025-04-01,30,0,0.0,0.0,24.6,,,,1,,1408.0,0.0
27447972,2025-05-01,31,0,0.0,0.0,28.3,,,,1,,1582.0,0.0
27447972,2025-06-01,30,0,0.0,0.0,28.5,,,,1,,1589.0,0.0
27447972,2025-07-01,31,0,0.0,0.0,28.6,,,,1,,1595.0,0.0
27447972,2025-08-01,26,5,0.161,149.0,30.2,29.8,93,5,1,1662.0,1684.0,8310.0
27447972,2025-09-01,30,0,0.0,0.0,31.6,,,,1,,1762.0,0.0
34265170,2024-10-01,16,15,0.484,238.0,16.1,15.9,28,5,,896.0,908.0,13417.0
34265170,2024-11-01,21,9,0.3,141.0,16.1,15.7,1,9,,916.0,940.0,8229.0
34265170,2024-12-01,21,10,0.323,160.0,15.9,16.0,1,10,,938.0,932.0,9376.0
34265170,2025-01-01,20,11,0.355,178.0,16.0,16.2,4,6,4,935.0,924.0,10277.0
34265170,2025-02-01,11,17,0.607,276.0,16.2,16.2,27,5,4,946.0,946.0,16124.0
34265170,2025-03-01,21,10,0.323,166.0,16.5,16.6,18,5,4,962.0,956.0,9618.0
34265170,2025-04-01,16,14,0.467,235.0,16.7,16.8,14,6,4,962.0,956.0,13451.0
34265170,2025-05-01,26,5,0.161,91.0,18.0,18.2,1,5,4,1017.0,1006.0,5086.0
34265170,2025-06-01,30,0,0.0,0.0,19.3,,,,4,,1076.0,0.0
34265170,2025-07-01,25,6,0.194,104.0,17.2,17.3,43,6,4,965.0,959.0,5800.0
34265170,2025-08-01,21,10,0.323,168.0,17.0,16.8,61,1,4,937.0,948.0,9369.0
34265170,2025-09-01,30,0,0.0,0.0,16.4,,,,4,,915.0,0.0
29126020,2024-10-01,31,0,0.0,0.0,32.3,,,,,,1821.0,0.0
29126020,2024-11-01,30,0,0.0,0.0,32.9,,,,,,1920.0,0.0
29126020,2024-12-01,22,9,0.29,293.0,32.4,32.6,16,4,,1910.0,1899.0,17170.0
29126020,2025-01-01,24,7,0.226,237.0,32.4,33.9,2,5,1,1957.0,1871.0,13683.0
29126020,2025-02-01,25,3,0.107,93.0,32.0,31.0,,,1,1811.0,1869.0,5433.0
29126020,2025-03-01,19,12,0.387,383.0,32.4,31.9,2,6,1,1848.0,1877.0,22191.0
29126020,2025-04-01,26,4,0.133,125.0,32.2,31.2,5,9,1,1786.0,1843.0,7155.0
29126020,2025-05-01,26,5,0.161,185.0,34.8,37.0,,,1,2068.0,1945.0,10339.0
29126020,2025-06-01,30,0,0.0,0.0,39.7,,,,1,,2214.0,0.0
29126020,2025-07-01,31,0,0.0,0.0,40.5,,,,1,,2259.0,0.0
29126020,2025-08-01,31,0,0.0,0.0,39.1,,,,1,,2181.0,0.0
29126020,2025-09-01,30,0,0.0,0.0,34.0,,,,1,,1896.0,0.0
33826361,2024-10-01,28,3,0.097,85.0,29.1,28.3,10,2,,1595.0,1640.0,4792.0
33826361,2024-11-01,23,7,0.233,177.0,26.0,25.3,2,3,,1477.0,1517.0,10331.0
33826361,2024-12-01,16,15,0.484,401.0,27.1,26.7,10,2,1,1565.0,1588.0,23499.0
33826361,2025-01-01,9,22,0.71,545.0,24.6,24.8,21,4,1,1432.0,1420.0,31465.0
33826361,2025-02-01,8,20,0.714,490.0,24.5,24.5,24,3,1,1431.0,1431.0,28626.0
33826361,2025-03-01,5,26,0.839,665.0,25.6,25.6,10,4,1,1483.0,1483.0,38530.0
33826361,2025-04-01,13,17,0.567,431.0,25.3,25.4,9,2,1,1454.0,1448.0,24670.0
33826361,2025-05-01,24,7,0.226,183.0,26.7,26.1,18,1,1,1459.0,1492.0,10228.0
33826361,2025-06-01,8,22,0.733,600.0,27.3,27.3,19,7,1,1523.0,1523.0,33462.0
33826361,2025-07-01,19,12,0.387,284.0,23.9,23.7,7,1,1,1322.0,1333.0,15839.0
33826361,2025-08-01,3,28,0.903,671.0,23.9,24.0,16,2,1,1338.0,1333.0,37422.0
33826361,2025-09-01,10,20,0.667,482.0,24.5,24.1,20,1,1,1344.0,1366.0,26881.0
22438886,2024-10-01,11,20,0.645,493.0,24.5,24.6,1,8,,1387.0,1381.0,27792.0
22438886,2024-11-01,21,9,0.3,224.0,24.1,24.9,39,7,,1453.0,1407.0,13074.0
22438886,2024-12-01,25,6,0.194,162.0,27.1,27.0,1,3,3,1582.0,1588.0,9493.0
22438886,2025-01-01,25,6,0.194,137.0,23.0,22.8,1,6,3,1316.0,1328.0,7910.0
22438886,2025-02-01,2,26,0.929,646.0,24.8,24.8,16,51,3,1449.0,1449.0,37740.0
22438886,2025-03-01,6,25,0.806,614.0,24.5,24.6,,,3,1425.0,1420.0,35575.0
22438886,2025-04-01,25,5,0.167,117.0,22.4,23.4,74,5,3,1339.0,1282.0,6697.0
22438886,2025-05-01,28,3,0.097,69.0,26.1,23.0,5,3,3,1285.0,1459.0,3856.0
