listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5190883,2024-10-01,31,0,0.0,0.0,14.1,,,,,,795.0,0.0
5190883,2024-11-01,30,0,0.0,0.0,13.9,,,,,,811.0,0.0
5190883,2024-12-01,31,0,0.0,0.0,14.0,,,,,,820.0,0.0
5190883,2025-01-01,24,7,0.226,97.0,13.8,13.9,2,3,2,803.0,797.0,5600.0
5190883,2025-02-01,26,2,0.071,27.0,13.5,13.5,,,2,789.0,789.0,1577.0
5190883,2025-03-01,31,0,0.0,0.0,14.2,,,,2,,823.0,0.0
5190883,2025-04-01,19,11,0.367,159.0,14.2,14.5,7,3,2,830.0,813.0,9101.0
5190883,2025-05-01,1,30,0.968,476.0,15.8,15.9,1,31,2,889.0,883.0,26603.0
5190883,2025-06-01,29,1,0.033,13.0,16.7,13.0,,,2,725.0,931.0,725.0
5190883,2025-07-01,24,7,0.226,104.0,17.4,14.9,31,7,1,831.0,970.0,5800.0
5190883,2025-08-01,9,22,0.71,410.0,19.0,18.6,3,14,1,1037.0,1060.0,22866.0
5190883,2025-09-01,8,22,0.733,447.0,20.0,20.3,3,1,1,1132.0,1115.0,24929.0
37461162,2024-10-01,1,30,0.968,7133.0,237.3,237.8,45,2,,13406.0,13377.0,402112.0
37461162,2024-11-01,2,28,0.933,7391.0,260.8,264.0,63,2,,15408.0,15222.0,431376.0
37461162,2024-12-01,0,31,1.0,9403.0,303.3,303.3,98,2,1,17774.0,17774.0,551030.0
37461162,2025-01-01,1,30,0.968,9300.0,307.1,310.0,103,2,1,17898.0,17730.0,536931.0
37461162,2025-02-01,0,28,1.0,9253.0,330.5,330.5,69,2,1,19308.0,19308.0,540570.0
37461162,2025-03-01,2,29,0.935,7451.0,257.7,256.9,126,3,1,14885.0,14931.0,431714.0
37461162,2025-04-01,2,28,0.933,8559.0,300.0,305.7,78,2,1,17498.0,17172.0,489915.0
37461162,2025-05-01,6,25,0.806,6972.0,278.4,278.9,76,3,1,15587.0,15559.0,389651.0
37461162,2025-06-01,10,20,0.667,5946.0,300.4,297.3,86,2,1,16580.0,16753.0,331609.0
37461162,2025-07-01,7,24,0.774,8290.0,344.2,345.4,54,2,1,19263.0,19196.0,462334.0
37461162,2025-08-01,5,26,0.839,8248.0,305.5,317.2,63,2,1,17690.0,17038.0,459991.0
37461162,2025-09-01,8,22,0.733,6357.0,280.6,289.0,80,2,1,16118.0,15649.0,354530.0
52815531,2024-10-01,31,0,0.0,0.0,21.3,,,,,,1201.0,0.0
52815531,2024-11-01,30,0,0.0,0.0,20.9,,,,,,1220.0,0.0
52815531,2024-12-01,17,14,0.452,293.0,20.9,20.9,1,14,,1225.0,1225.0,17170.0
52815531,2025-01-01,27,4,0.129,85.0,20.7,21.2,4,2,1,1224.0,1195.0,4907.0
52815531,2025-02-01,28,0,0.0,0.0,21.2,,,,1,,1239.0,0.0
52815531,2025-03-01,31,0,0.0,0.0,21.3,,,,1,,1234.0,0.0
52815531,2025-04-01,30,0,0.0,0.0,20.8,,,,1,,1191.0,0.0
52815531,2025-05-01,31,0,0.0,0.0,23.9,,,,1,,1336.0,0.0
52815531,2025-06-01,18,12,0.4,293.0,24.1,24.4,1,12,1,1361.0,1344.0,16341.0
52815531,2025-07-01,31,0,0.0,0.0,24.6,,,,1,,1372.0,0.0
52815531,2025-08-01,31,0,0.0,0.0,25.0,,,,1,,1394.0,0.0
52815531,2025-09-01,30,0,0.0,0.0,24.0,,,,1,,1338.0,0.0
22485280,2024-10-01,20,11,0.355,206.0,18.6,18.7,8,3,,1054.0,1049.0,11613.0
22485280,2024-11-01,10,20,0.667,363.0,18.2,18.1,37,5,,1056.0,1062.0,21187.0
22485280,2024-12-01,18,13,0.419,235.0,17.8,18.1,,,1,1061.0,1043.0,13771.0
22485280,2025-01-01,31,0,0.0,0.0,17.4,,,,1,,1005.0,0.0
22485280,2025-02-01,27,1,0.036,18.0,17.5,18.0,65,42,1,1052.0,1022.0,1052.0
22485280,2025-03-01,0,31,1.0,545.0,17.6,17.6,,,1,1020.0,1020.0,31578.0
22485280,2025-04-01,18,12,0.4,212.0,17.7,17.7,56,1,1,1013.0,1013.0,12135.0
22485280,2025-05-01,13,18,0.581,353.0,19.5,19.6,111,18,1,1095.0,1090.0,19728.0
22485280,2025-06-01,30,0,0.0,0.0,19.9,,,,1,,1110.0,0.0
22485280,2025-07-01,16,15,0.484,307.0,21.3,20.5,56,18,1,1143.0,1188.0,17121.0
22485280,2025-08-01,4,27,0.871,565.0,21.0,20.9,48,8,1,1166.0,1171.0,31510.0
22485280,2025-09-01,3,27,0.9,537.0,20.0,19.9,75,44,1,1110.0,1115.0,29949.0
47960006,2024-10-01,26,5,0.161,170.0,33.3,34.0,1,2,,1917.0,1877.0,9583.0
47960006,2024-11-01,15,15,0.5,499.0,33.7,33.3,1,2,,1944.0,1967.0,29124.0
47960006,2024-12-01,15,16,0.516,607.0,36.6,37.9,2,2,2,2221.0,2145.0,35571.0
47960006,2025-01-01,10,21,0.677,736.0,35.0,35.0,15,4,2,2021.0,2021.0,42493.0
47960006,2025-02-01,8,20,0.714,642.0,32.0,32.1,18,3,2,1875.0,1869.0,37506.0
47960006,2025-03-01,10,21,0.677,660.0,31.7,31.4,31,7,2,1819.0,1837.0,38241.0
47960006,2025-04-01,28,2,0.067,63.0,33.2,31.5,,,2,1803.0,1900.0,3606.0
47960006,2025-05-01,24,7,0.226,240.0,37.2,34.3,5,3,2,1917.0,2079.0,13413.0
47960006,2025-06-01,11,19,0.633,855.0,46.2,45.0,1,4,2,2510.0,2577.0,47683.0
47960006,2025-07-01,23,8,0.258,321.0,45.4,40.1,53,11,2,2236.0,2532.0,17902.0
47960006,2025-08-01,19,12,0.387,625.0,45.4,52.1,6,4,2,2906.0,2532.0,34856.0
47960006,2025-09-01,11,19,0.633,854.0,44.2,44.9,13,8,2,2504.0,2465.0,47628.0
43769774,2024-10-01,31,0,0.0,0.0,18.3,,,,,,1032.0,0.0
43769774,2024-11-01,30,0,0.0,0.0,18.0,,,,,,1051.0,0.0
43769774,2024-12-01,16,15,0.484,266.0,17.9,17.7,10,5,,1037.0,1049.0,15588.0
43769774,2025-01-01,25,6,0.194,110.0,18.0,18.3,7,1,1,1057.0,1039.0,6351.0
43769774,2025-02-01,15,13,0.464,231.0,17.9,17.8,25,13,1,1040.0,1046.0,13495.0
43769774,2025-03-01,31,0,0.0,0.0,18.0,,,,1,,1043.0,0.0
