listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
18557575,2024-10-01,3,28,0.903,1239.0,44.4,44.2,22,9,,2492.0,2503.0,69847.0
18557575,2024-11-01,5,25,0.833,1131.0,45.0,45.2,18,2,,2638.0,2626.0,66011.0
18557575,2024-12-01,6,25,0.806,1118.0,44.7,44.7,18,3,1,2619.0,2619.0,65516.0
18557575,2025-01-01,7,24,0.774,1051.0,43.7,43.8,28,4,1,2529.0,2523.0,60679.0
18557575,2025-02-01,1,27,0.964,1175.0,43.5,43.5,21,3,1,2541.0,2541.0,68645.0
18557575,2025-03-01,11,20,0.645,866.0,43.5,43.3,22,4,1,2509.0,2520.0,50176.0
18557575,2025-04-01,7,23,0.767,1002.0,43.5,43.6,13,3,1,2496.0,2490.0,57354.0
18557575,2025-05-01,12,19,0.613,1005.0,54.0,52.9,4,3,1,2956.0,3018.0,56167.0
18557575,2025-06-01,2,28,0.933,1623.0,57.8,58.0,13,5,1,3235.0,3224.0,90515.0
18557575,2025-07-01,3,28,0.903,1594.0,56.1,56.9,5,10,1,3173.0,3129.0,88897.0
18557575,2025-08-01,22,9,0.29,484.0,53.7,53.8,1,4,1,3000.0,2995.0,26993.0
18557575,2025-09-01,30,0,0.0,0.0,52.4,,,,1,,2922.0,0.0
21929828,2024-10-01,20,11,0.355,198.0,17.7,18.0,34,8,,1015.0,998.0,11162.0
21929828,2024-11-01,2,28,0.933,505.0,18.0,18.0,142,14,,1051.0,1051.0,29474.0
21929828,2024-12-01,24,7,0.226,124.0,17.9,17.7,1,7,,1037.0,1049.0,7267.0
21929828,2025-01-01,31,0,0.0,0.0,18.1,,,,2,,1045.0,0.0
21929828,2025-02-01,14,14,0.5,254.0,17.9,18.1,69,27,2,1057.0,1046.0,14839.0
21929828,2025-03-01,18,13,0.419,239.0,18.4,18.4,,,2,1066.0,1066.0,13848.0
21929828,2025-04-01,30,0,0.0,0.0,18.3,,,,2,,1047.0,0.0
21929828,2025-05-01,31,0,0.0,0.0,19.8,,,,2,,1107.0,0.0
21929828,2025-06-01,30,0,0.0,0.0,20.0,,,,2,,1115.0,0.0
21929828,2025-07-01,27,4,0.129,77.0,20.4,19.2,10,4,2,1071.0,1138.0,4294.0
21929828,2025-08-01,31,0,0.0,0.0,19.6,,,,2,,1093.0,0.0
21929828,2025-09-01,30,0,0.0,0.0,28.3,,,,2,,1578.0,0.0
22053143,2024-10-01,31,0,0.0,0.0,41.2,,,,,,2323.0,0.0
22053143,2024-11-01,24,6,0.2,253.0,42.3,42.2,131,45,,2463.0,2469.0,14766.0
22053143,2024-12-01,0,31,1.0,1296.0,41.8,41.8,,,2,2450.0,2450.0,75948.0
22053143,2025-01-01,6,25,0.806,962.0,38.7,38.5,76,6,2,2223.0,2234.0,55541.0
22053143,2025-02-01,11,17,0.607,683.0,39.9,40.2,53,7,2,2349.0,2331.0,39902.0
22053143,2025-03-01,21,10,0.323,384.0,38.3,38.4,26,5,2,2225.0,2219.0,22249.0
22053143,2025-04-01,17,13,0.433,502.0,38.5,38.6,19,7,3,2209.0,2204.0,28734.0
22053143,2025-05-01,21,10,0.323,391.0,41.7,39.1,,,3,2185.0,2331.0,21852.0
22053143,2025-06-01,30,0,0.0,0.0,44.5,,,,3,,2482.0,0.0
22053143,2025-07-01,31,0,0.0,0.0,44.0,,,,3,,2454.0,0.0
22053143,2025-08-01,31,0,0.0,0.0,45.5,,,,3,,2538.0,0.0
22053143,2025-09-01,30,0,0.0,0.0,44.1,,,,3,,2459.0,0.0
4729555,2024-10-01,25,6,0.194,112.0,18.5,18.7,1,1,,1054.0,1043.0,6314.0
4729555,2024-11-01,18,12,0.4,225.0,18.7,18.8,2,2,,1097.0,1091.0,13132.0
4729555,2024-12-01,23,8,0.258,150.0,18.3,18.8,1,4,1,1102.0,1072.0,8790.0
4729555,2025-01-01,24,7,0.226,130.0,18.6,18.6,1,2,1,1074.0,1074.0,7505.0
4729555,2025-02-01,25,3,0.107,54.0,18.4,18.0,,,1,1052.0,1075.0,3155.0
4729555,2025-03-01,31,0,0.0,0.0,18.9,,,,1,,1095.0,0.0
4729555,2025-04-01,27,3,0.1,59.0,18.9,19.7,3,1,1,1128.0,1082.0,3377.0
4729555,2025-05-01,28,3,0.097,56.0,21.8,18.7,1,3,1,1045.0,1218.0,3130.0
4729555,2025-06-01,27,3,0.1,68.0,21.9,22.7,2,1,1,1266.0,1221.0,3792.0
4729555,2025-07-01,27,4,0.129,88.0,22.1,22.0,28,2,1,1227.0,1233.0,4908.0
4729555,2025-08-01,27,4,0.129,90.0,22.3,22.5,2,1,1,1255.0,1244.0,5019.0
4729555,2025-09-01,30,0,0.0,0.0,22.2,,,,1,,1238.0,0.0
2721537,2024-10-01,31,0,0.0,0.0,56.2,,,,,,3168.0,0.0
2721537,2024-11-01,30,0,0.0,0.0,56.5,,,,,,3298.0,0.0
2721537,2024-12-01,24,7,0.226,370.0,53.9,52.9,3,3,,3100.0,3159.0,21683.0
2721537,2025-01-01,31,0,0.0,0.0,52.0,,,,180,,3002.0,0.0
2721537,2025-02-01,28,0,0.0,0.0,55.7,,,,180,,3254.0,0.0
2721537,2025-03-01,31,0,0.0,0.0,55.9,,,,180,,3239.0,0.0
2721537,2025-04-01,30,0,0.0,0.0,53.7,,,,180,,3074.0,0.0
2721537,2025-05-01,31,0,0.0,0.0,48.2,,,,180,,2694.0,0.0
2721537,2025-06-01,24,6,0.2,278.0,46.2,46.3,1,6,180,2582.0,2577.0,15504.0
2721537,2025-07-01,31,0,0.0,0.0,46.7,,,,180,,2604.0,0.0
2721537,2025-08-01,31,0,0.0,0.0,47.3,,,,180,,2638.0,0.0
2721537,2025-09-01,30,0,0.0,0.0,46.2,,,,180,,2577.0,0.0
16586728,2024-10-01,31,0,0.0,0.0,38.2,,,,,,2153.0,0.0
16586728,2024-11-01,30,0,0.0,0.0,37.9,,,,,,2212.0,0.0
16586728,2024-12-01,22,9,0.29,335.0,36.8,37.2,1,3,1,2180.0,2157.0,19632.0
16586728,2025-01-01,19,12,0.387,387.0,33.8,32.2,4,2,1,1859.0,1951.0,22343.0
16586728,2025-02-01,21,7,0.25,200.0,27.8,28.6,13,6,1,1671.0,1624.0,11684.0
16586728,2025-03-01,31,0,0.0,0.0,27.5,,,,2,,1593.0,0.0
16586728,2025-04-01,30,0,0.0,0.0,25.6,,,,2,,1465.0,0.0
16586728,2025-05-01,31,0,0.0,0.0,29.2,,,,2,,1632.0,0.0
16586728,2025-06-01,30,0,0.0,0.0,30.0,,,,2,,1673.0,0.0
16586728,2025-07-01,31,0,0.0,0.0,28.7,,,,2,,1601.0,0.0
16586728,2025-08-01,31,0,0.0,0.0,28.3,,,,2,,1578.0,0.0
16586728,2025-09-01,30,0,0.0,0.0,27.5,,,,2,,1534.0,0.0
2571965,2024-10-01,20,11,0.355,923.0,82.8,83.9,141,13,,4730.0,4668.0,52033.0
2571965,2024-11-01,1,29,0.967,2394.0,82.5,82.6,114,9,,4821.0,4815.0,139726.0
2571965,2024-12-01,4,27,0.871,2307.0,85.1,85.4,165,10,,5005.0,4987.0,135194.0
2571965,2025-01-01,13,18,0.581,1464.0,80.7,81.3,144,5,4,4694.0,4659.0,84523.0
2571965,2025-02-01,5,23,0.821,1884.0,83.2,81.9,45,8,3,4785.0,4861.0,110065.0
2571965,2025-03-01,17,14,0.452,1168.0,86.2,83.4,46,12,84,4832.0,4994.0,67674.0
2571965,2025-04-01,26,4,0.133,336.0,83.2,84.0,99,39,90,4808.0,4762.0,19233.0
2571965,2025-05-01,0,31,1.0,2553.0,82.4,82.4,,,90,4605.0,4605.0,142682.0
2571965,2025-06-01,22,8,0.267,648.0,80.8,81.0,1,4,3,4517.0,4506.0,36139.0
2571965,2025-07-01,0,31,1.0,2565.0,82.7,82.7,51,17,3,4612.0,4612.0,143050.0
2571965,2025-08-01,19,12,0.387,969.0,82.6,80.8,1,14,3,4506.0,4607.0,54041.0
2571965,2025-09-01,13,17,0.567,1438.0,83.4,84.6,88,11,3,4718.0,4651.0,80197.0
9396128,2024-10-01,6,25,0.806,744.0,29.7,29.8,1,17,,1680.0,1674.0,41942.0
9396128,2024-11-01,3,27,0.9,803.0,29.8,29.7,24,9,,1733.0,1739.0,46867.0
9396128,2024-12-01,6,25,0.806,753.0,30.4,30.1,46,34,4,1764.0,1781.0,44127.0
9396128,2025-01-01,16,15,0.484,434.0,29.1,28.9,1,4,4,1669.0,1680.0,25057.0
9396128,2025-02-01,27,1,0.036,31.0,29.8,31.0,1,1,4,1811.0,1741.0,1811.0
9396128,2025-03-01,31,0,0.0,0.0,29.5,,,,4,,1709.0,0.0
9396128,2025-04-01,28,2,0.067,60.0,29.2,30.0,1,2,4,1717.0,1671.0,3434.0
9396128,2025-05-01,16,15,0.484,472.0,30.9,31.5,1,15,4,1760.0,1727.0,26379.0
9396128,2025-06-01,3,27,0.9,936.0,34.2,34.7,2,62,4,1935.0,1907.0,52201.0
9396128,2025-07-01,0,31,1.0,983.0,31.7,31.7,,,5,1768.0,1768.0,54822.0
9396128,2025-08-01,27,4,0.129,124.0,29.0,31.0,,,6,1729.0,1617.0,6915.0
9396128,2025-09-01,21,9,0.3,251.0,27.7,27.9,51,12,6,1556.0,1545.0,13998.0
18778953,2024-10-01,1,30,0.968,1018.0,33.9,33.9,128,9,,1911.0,1911.0,57388.0
18778953,2024-11-01,9,21,0.7,700.0,33.2,33.3,59,18,,1944.0,1938.0,40856.0
18778953,2024-12-01,3,28,0.903,937.0,33.4,33.5,,,,1963.0,1957.0,54910.0
18778953,2025-01-01,17,14,0.452,467.0,33.1,33.4,31,30,4,1928.0,1911.0,26962.0
18778953,2025-02-01,12,16,0.571,528.0,33.1,33.0,,,4,1928.0,1934.0,30846.0
18778953,2025-03-01,31,0,0.0,0.0,32.9,,,,4,,1906.0,0.0
18778953,2025-04-01,30,0,0.0,0.0,33.3,,,,4,,1906.0,0.0
18778953,2025-05-01,31,0,0.0,0.0,37.3,,,,4,,2085.0,0.0
18778953,2025-06-01,30,0,0.0,0.0,42.2,,,,4,,2353.0,0.0
18778953,2025-07-01,31,0,0.0,0.0,40.8,,,,4,,2275.0,0.0
18778953,2025-08-01,17,14,0.452,640.0,44.6,45.7,22,14,4,2549.0,2487.0,35693.0
18778953,2025-09-01,30,0,0.0,0.0,39.1,,,,4,,2181.0,0.0
2581244,2024-10-01,11,20,0.645,1409.0,70.1,70.5,90,21,,3974.0,3952.0,79430.0
2581244,2024-11-01,21,9,0.3,640.0,71.8,71.1,77,8,,4150.0,4191.0,37354.0
2581244,2024-12-01,7,24,0.774,1877.0,77.8,78.2,54,5,,4583.0,4559.0,109995.0
2581244,2025-01-01,2,29,0.935,2182.0,75.5,75.2,18,41,5,4342.0,4359.0,125977.0
2581244,2025-02-01,5,23,0.821,1636.0,71.1,71.1,31,13,4,4154.0,4154.0,95577.0
2581244,2025-03-01,16,15,0.484,1071.0,71.2,71.4,2,7,5,4137.0,4125.0,62054.0
2581244,2025-04-01,17,13,0.433,938.0,72.2,72.2,58,13,5,4133.0,4133.0,53691.0
2581244,2025-05-01,18,13,0.419,1026.0,78.0,78.9,37,18,5,4410.0,4359.0,57341.0
2581244,2025-06-01,2,28,0.933,2169.0,77.7,77.5,57,29,4,4322.0,4333.0,120965.0
2581244,2025-07-01,6,25,0.806,2060.0,82.5,82.4,,,4,4595.0,4601.0,114886.0
2581244,2025-08-01,31,0,0.0,0.0,80.8,,,,4,,4506.0,0.0
2581244,2025-09-01,17,13,0.433,1030.0,78.5,79.2,47,6,4,4417.0,4378.0,57443.0
12992225,2024-10-01,4,27,0.871,676.0,25.0,25.0,1,14,,1409.0,1409.0,38108.0
12992225,2024-11-01,10,20,0.667,513.0,26.1,25.6,20,8,,1494.0,1523.0,29941.0
12992225,2024-12-01,0,31,1.0,828.0,26.7,26.7,,,,1565.0,1565.0,48522.0
12992225,2025-01-01,16,15,0.484,401.0,26.7,26.7,39,5,2,1542.0,1542.0,23152.0
12992225,2025-02-01,3,25,0.893,621.0,24.8,24.8,14,5,2,1449.0,1449.0,36279.0
12992225,2025-03-01,18,13,0.419,345.0,25.5,26.5,52,7,2,1535.0,1477.0,19989.0
12992225,2025-04-01,3,27,0.9,661.0,24.5,24.5,2,14,2,1402.0,1402.0,37835.0
12992225,2025-05-01,8,23,0.742,648.0,28.5,28.2,7,6,2,1576.0,1593.0,36215.0
12992225,2025-06-01,0,30,1.0,995.0,33.2,33.2,34,14,2,1852.0,1852.0,55491.0
12992225,2025-07-01,6,25,0.806,867.0,33.5,34.7,10,2,2,1935.0,1868.0,48353.0
12992225,2025-08-01,10,21,0.677,627.0,29.8,29.9,3,6,2,1668.0,1662.0,34968.0
