listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
15894883,2024-10-01,16,15,0.484,627.0,42.3,41.8,36,7,,2356.0,2385.0,35346.0
15894883,2024-11-01,27,3,0.1,126.0,42.6,42.0,1,3,,2451.0,2486.0,7354.0
15894883,2024-12-01,3,28,0.903,1169.0,41.8,41.8,64,10,2,2450.0,2450.0,68505.0
15894883,2025-01-01,18,13,0.419,537.0,41.5,41.3,52,3,2,2384.0,2396.0,31003.0
15894883,2025-02-01,11,17,0.607,705.0,41.4,41.5,18,4,2,2424.0,2419.0,41187.0
15894883,2025-03-01,8,23,0.742,956.0,41.6,41.6,2,4,2,2410.0,2410.0,55391.0
15894883,2025-04-01,11,19,0.633,790.0,41.5,41.6,14,4,2,2381.0,2375.0,45219.0
15894883,2025-05-01,16,15,0.484,694.0,46.1,46.3,10,2,2,2588.0,2576.0,38786.0
15894883,2025-06-01,14,16,0.533,825.0,51.0,51.6,10,2,2,2878.0,2844.0,46010.0
15894883,2025-07-01,10,21,0.677,1126.0,52.7,53.6,4,7,2,2989.0,2939.0,62797.0
15894883,2025-08-01,19,12,0.387,592.0,50.0,49.3,5,4,2,2749.0,2789.0,33016.0
15894883,2025-09-01,9,21,0.7,1022.0,48.2,48.7,6,5,2,2716.0,2688.0,56997.0
31108098,2024-10-01,22,9,0.29,237.0,26.3,26.3,1,4,,1483.0,1483.0,13361.0
31108098,2024-11-01,24,6,0.2,172.0,27.6,28.7,1,3,,1675.0,1611.0,10039.0
31108098,2024-12-01,29,2,0.065,53.0,26.5,26.5,1,1,1,1553.0,1553.0,3106.0
31108098,2025-01-01,21,10,0.323,275.0,27.4,27.5,1,1,1,1588.0,1582.0,15877.0
31108098,2025-02-01,25,3,0.107,82.0,25.6,27.3,1,1,1,1595.0,1496.0,4791.0
31108098,2025-03-01,28,3,0.097,74.0,25.5,24.7,1,3,1,1431.0,1477.0,4288.0
31108098,2025-04-01,30,0,0.0,0.0,25.5,,,,1,,1460.0,0.0
31108098,2025-05-01,23,8,0.258,232.0,29.0,29.0,5,2,1,1621.0,1621.0,12966.0
31108098,2025-06-01,26,4,0.133,114.0,29.2,28.5,4,2,1,1589.0,1628.0,6358.0
31108098,2025-07-01,21,10,0.323,268.0,24.9,26.8,9,1,1,1495.0,1389.0,14946.0
31108098,2025-08-01,30,1,0.032,22.0,24.9,22.0,5,1,1,1227.0,1389.0,1227.0
31108098,2025-09-01,27,3,0.1,71.0,24.3,23.7,10,1,1,1322.0,1355.0,3960.0
11071905,2024-10-01,13,18,0.581,507.0,28.4,28.2,10,6,,1590.0,1601.0,28581.0
11071905,2024-11-01,17,13,0.433,358.0,27.1,27.5,9,5,,1605.0,1582.0,20895.0
11071905,2024-12-01,6,25,0.806,797.0,31.8,31.9,32,7,3,1869.0,1864.0,46705.0
11071905,2025-01-01,14,17,0.548,480.0,29.4,28.2,6,12,3,1628.0,1697.0,27713.0
11071905,2025-02-01,5,23,0.821,638.0,27.7,27.7,,,3,1618.0,1618.0,37273.0
11071905,2025-03-01,8,23,0.742,625.0,27.3,27.2,26,13,3,1576.0,1582.0,36213.0
11071905,2025-04-01,24,6,0.2,167.0,28.1,27.8,1,3,3,1591.0,1608.0,9559.0
11071905,2025-05-01,25,6,0.194,202.0,31.0,33.7,3,3,3,1883.0,1733.0,11289.0
11071905,2025-06-01,22,8,0.267,248.0,31.4,31.0,70,6,3,1729.0,1751.0,13831.0
11071905,2025-07-01,22,9,0.29,285.0,32.4,31.7,36,10,3,1768.0,1807.0,15894.0
11071905,2025-08-01,12,19,0.613,613.0,32.1,32.3,10,4,3,1801.0,1790.0,34187.0
11071905,2025-09-01,10,20,0.667,614.0,30.8,30.7,12,6,3,1712.0,1718.0,34243.0
20125646,2024-10-01,31,0,0.0,0.0,24.9,,,,,,1404.0,0.0
20125646,2024-11-01,16,14,0.467,364.0,26.3,26.0,102,38,,1517.0,1535.0,21245.0
20125646,2024-12-01,5,26,0.839,648.0,25.0,24.9,30,1,,1459.0,1465.0,37974.0
20125646,2025-01-01,20,11,0.355,275.0,25.1,25.0,1,11,1,1443.0,1449.0,15877.0
20125646,2025-02-01,18,10,0.357,236.0,23.7,23.6,2,5,1,1379.0,1385.0,13787.0
20125646,2025-03-01,2,29,0.935,686.0,23.7,23.7,1,16,1,1373.0,1373.0,39747.0
20125646,2025-04-01,9,21,0.7,506.0,24.2,24.1,4,6,1,1379.0,1385.0,28963.0
20125646,2025-05-01,21,10,0.323,296.0,28.1,29.6,1,4,1,1654.0,1570.0,16543.0
20125646,2025-06-01,11,19,0.633,395.0,20.6,20.8,3,2,1,1160.0,1149.0,22029.0
20125646,2025-07-01,13,18,0.581,437.0,23.5,24.3,6,3,1,1355.0,1311.0,24372.0
20125646,2025-08-01,8,23,0.742,519.0,22.2,22.6,12,4,1,1260.0,1238.0,28945.0
20125646,2025-09-01,5,25,0.833,556.0,22.4,22.2,30,11,1,1238.0,1249.0,31008.0
10659163,2024-10-01,31,0,0.0,0.0,14.2,,,,,,801.0,0.0
10659163,2024-11-01,30,0,0.0,0.0,14.0,,,,,,817.0,0.0
10659163,2024-12-01,20,11,0.355,151.0,14.0,13.7,2,11,,803.0,820.0,8849.0
10659163,2025-01-01,30,1,0.032,14.0,13.9,14.0,13,4,2,808.0,803.0,808.0
10659163,2025-02-01,21,7,0.25,98.0,13.8,14.0,2,4,2,818.0,806.0,5725.0
10659163,2025-03-01,29,2,0.065,28.0,13.9,14.0,1,1,2,811.0,805.0,1622.0
10659163,2025-04-01,6,24,0.8,336.0,14.1,14.0,6,24,2,801.0,807.0,19233.0
10659163,2025-05-01,27,4,0.129,67.0,15.9,16.8,3,5,2,939.0,889.0,3744.0
10659163,2025-06-01,11,19,0.633,302.0,15.9,15.9,6,10,2,887.0,887.0,16843.0
10659163,2025-07-01,11,20,0.645,325.0,16.3,16.2,25,3,2,903.0,909.0,18125.0
10659163,2025-08-01,17,14,0.452,226.0,16.3,16.1,2,3,2,898.0,909.0,12604.0
10659163,2025-09-01,10,20,0.667,327.0,16.4,16.4,7,9,2,915.0,915.0,18237.0
37899256,2024-10-01,31,0,0.0,0.0,42.4,,,,,,2390.0,0.0
37899256,2024-11-01,13,17,0.567,741.0,43.1,43.6,3,5,,2545.0,2516.0,43248.0
