listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
23243000,2024-10-01,22,9,0.29,914.0,101.3,101.6,5,1,,5728.0,5711.0,51525.0
23243000,2024-11-01,20,10,0.333,1015.0,101.4,101.5,2,1,,5924.0,5918.0,59241.0
23243000,2024-12-01,31,0,0.0,0.0,98.0,,,,1,,5743.0,0.0
23243000,2025-01-01,27,4,0.129,415.0,104.0,103.8,1,4,1,5993.0,6004.0,23960.0
23243000,2025-02-01,17,11,0.393,1150.0,104.3,104.5,1,11,1,6105.0,6093.0,67184.0
23243000,2025-03-01,31,0,0.0,0.0,104.7,,,,1,,6066.0,0.0
23243000,2025-04-01,27,3,0.1,320.0,106.0,106.7,5,1,1,6107.0,6067.0,18317.0
23243000,2025-05-01,21,10,0.323,1022.0,104.0,102.2,7,2,1,5712.0,5812.0,57118.0
23243000,2025-06-01,29,1,0.033,102.0,101.5,102.0,23,1,1,5689.0,5661.0,5689.0
23243000,2025-07-01,29,2,0.065,212.0,105.9,106.0,351,1,1,5912.0,5906.0,11823.0
23243000,2025-08-01,31,0,0.0,0.0,105.5,,,,1,,5884.0,0.0
23243000,2025-09-01,30,0,0.0,0.0,105.2,,,,1,,5867.0,0.0
24585961,2024-10-01,9,22,0.71,772.0,35.3,35.1,38,11,,1979.0,1990.0,43520.0
24585961,2024-11-01,10,20,0.667,698.0,34.9,34.9,38,6,,2037.0,2037.0,40739.0
24585961,2024-12-01,5,26,0.839,914.0,35.1,35.2,134,10,,2063.0,2057.0,53562.0
24585961,2025-01-01,17,14,0.452,479.0,34.4,34.2,20,5,7,1975.0,1986.0,27655.0
24585961,2025-02-01,8,20,0.714,681.0,34.0,34.0,53,4,7,1986.0,1986.0,39785.0
24585961,2025-03-01,9,22,0.71,759.0,34.6,34.5,24,6,7,1999.0,2005.0,43977.0
24585961,2025-04-01,21,9,0.3,312.0,34.9,34.7,32,5,7,1986.0,1998.0,17859.0
24585961,2025-05-01,31,0,0.0,0.0,36.0,,,,7,,2012.0,0.0
