listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
1808914,2024-10-01,29,2,0.065,106.0,48.6,53.0,1,2,,2988.0,2740.0,5976.0
1808914,2024-11-01,30,0,0.0,0.0,50.0,,,,,,2918.0,0.0
1808914,2024-12-01,23,8,0.258,462.0,59.5,57.8,4,6,,3387.0,3487.0,27074.0
1808914,2025-01-01,26,5,0.161,239.0,44.6,47.8,,,1,2760.0,2575.0,13799.0
1808914,2025-02-01,28,0,0.0,0.0,42.6,,,,1,,2489.0,0.0
1808914,2025-03-01,31,0,0.0,0.0,42.1,,,,1,,2439.0,0.0
1808914,2025-04-01,30,0,0.0,0.0,44.1,,,,1,,2524.0,0.0
1808914,2025-05-01,31,0,0.0,0.0,49.1,,,,1,,2744.0,0.0
1808914,2025-06-01,27,3,0.1,143.0,46.3,47.7,15,3,1,2660.0,2582.0,7975.0
1808914,2025-07-01,31,0,0.0,0.0,44.4,,,,1,,2476.0,0.0
1808914,2025-08-01,29,2,0.065,88.0,48.3,44.0,1,2,1,2454.0,2694.0,4908.0
1808914,2025-09-01,30,0,0.0,0.0,45.1,,,,1,,2515.0,0.0
580328287944380415,2024-10-01,12,19,0.613,449.0,24.0,23.6,17,2,,1330.0,1353.0,25312.0
580328287944380415,2024-11-01,14,16,0.533,417.0,25.5,26.1,8,2,,1523.0,1488.0,24338.0
580328287944380415,2024-12-01,18,13,0.419,359.0,27.2,27.6,26,1,1,1617.0,1594.0,21038.0
580328287944380415,2025-01-01,28,3,0.097,69.0,23.6,23.0,7,1,1,1328.0,1363.0,3984.0
580328287944380415,2025-02-01,9,19,0.679,471.0,24.3,24.8,22,3,1,1449.0,1420.0,27516.0
580328287944380415,2025-03-01,26,5,0.161,135.0,25.4,27.0,11,1,1,1564.0,1472.0,7822.0
580328287944380415,2025-04-01,23,7,0.233,177.0,25.3,25.3,10,1,1,1448.0,1448.0,10131.0
580328287944380415,2025-05-01,12,19,0.613,577.0,29.7,30.4,22,2,1,1699.0,1660.0,32247.0
580328287944380415,2025-06-01,26,4,0.133,115.0,31.0,28.8,2,4,1,1606.0,1729.0,6414.0
580328287944380415,2025-07-01,29,2,0.065,62.0,31.7,31.0,7,2,1,1729.0,1768.0,3458.0
580328287944380415,2025-08-01,30,1,0.032,37.0,34.3,37.0,9,1,1,2063.0,1913.0,2063.0
580328287944380415,2025-09-01,30,0,0.0,0.0,32.0,,,,1,,1785.0,0.0
