listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
32853332,2024-10-01,31,0,0.0,0.0,36.4,,,,,,2052.0,0.0
32853332,2024-11-01,30,0,0.0,0.0,37.5,,,,,,2189.0,0.0
32853332,2024-12-01,31,0,0.0,0.0,38.0,,,,5,,2227.0,0.0
32853332,2025-01-01,20,11,0.355,386.0,35.1,35.1,1,11,5,2026.0,2026.0,22286.0
32853332,2025-02-01,28,0,0.0,0.0,36.3,,,,5,,2121.0,0.0
32853332,2025-03-01,31,0,0.0,0.0,37.0,,,,5,,2144.0,0.0
32853332,2025-04-01,30,0,0.0,0.0,36.0,,,,5,,2061.0,0.0
32853332,2025-05-01,31,0,0.0,0.0,40.1,,,,5,,2241.0,0.0
32853332,2025-06-01,30,0,0.0,0.0,43.1,,,,5,,2404.0,0.0
32853332,2025-07-01,31,0,0.0,0.0,39.9,,,,4,,2225.0,0.0
32853332,2025-08-01,31,0,0.0,0.0,41.4,,,,4,,2309.0,0.0
32853332,2025-09-01,27,3,0.1,114.0,42.0,38.0,9,44,4,2119.0,2342.0,6358.0
23716757,2024-10-01,6,25,0.806,898.0,35.4,35.9,3,8,,2024.0,1996.0,50623.0
23716757,2024-11-01,28,2,0.067,85.0,40.6,42.5,3,1,,2481.0,2370.0,4961.0
23716757,2024-12-01,26,5,0.161,266.0,50.0,53.2,9,1,,3118.0,2930.0,15588.0
23716757,2025-01-01,26,5,0.161,234.0,43.9,46.8,41,1,1,2702.0,2535.0,13510.0
23716757,2025-02-01,0,28,1.0,1315.0,47.0,47.0,92,28,1,2746.0,2746.0,76824.0
23716757,2025-03-01,14,17,0.548,743.0,43.6,43.7,27,3,1,2532.0,2526.0,43050.0
23716757,2025-04-01,29,1,0.033,43.0,42.1,43.0,,,1,2461.0,2410.0,2461.0
23716757,2025-05-01,27,4,0.129,173.0,44.9,43.2,18,4,1,2414.0,2509.0,9669.0
23716757,2025-06-01,30,0,0.0,0.0,47.3,,,,1,,2638.0,0.0
23716757,2025-07-01,31,0,0.0,0.0,51.7,,,,1,,2883.0,0.0
23716757,2025-08-01,30,1,0.032,52.0,47.5,52.0,1,1,1,2900.0,2649.0,2900.0
23716757,2025-09-01,30,0,0.0,0.0,47.8,,,,1,,2666.0,0.0
17142830,2024-10-01,28,3,0.097,93.0,31.1,31.0,1,3,,1748.0,1753.0,5243.0
17142830,2024-11-01,29,1,0.033,29.0,30.2,29.0,1,1,,1693.0,1763.0,1693.0
17142830,2024-12-01,24,7,0.226,224.0,31.8,32.0,1,1,2,1875.0,1864.0,13127.0
17142830,2025-01-01,29,2,0.065,61.0,30.2,30.5,1,1,2,1761.0,1744.0,3522.0
17142830,2025-02-01,27,1,0.036,29.0,30.0,29.0,1,1,2,1694.0,1753.0,1694.0
17142830,2025-03-01,30,1,0.032,30.0,30.2,30.0,1,1,2,1738.0,1750.0,1738.0
17142830,2025-04-01,23,7,0.233,215.0,30.7,30.7,1,1,2,1757.0,1757.0,12307.0
17142830,2025-05-01,22,9,0.29,304.0,34.3,33.8,42,5,2,1889.0,1917.0,16990.0
17142830,2025-06-01,17,13,0.433,451.0,34.4,34.7,24,3,2,1935.0,1918.0,25152.0
17142830,2025-07-01,26,5,0.161,175.0,35.3,35.0,19,4,2,1952.0,1969.0,9760.0
17142830,2025-08-01,15,16,0.516,561.0,35.1,35.1,4,1,2,1958.0,1958.0,31287.0
17142830,2025-09-01,29,1,0.033,34.0,33.9,34.0,1,1,2,1896.0,1891.0,1896.0
38990490,2024-10-01,9,22,0.71,959.0,43.4,43.6,38,2,,2458.0,2447.0,54062.0
38990490,2024-11-01,10,20,0.667,883.0,43.8,44.1,41,5,,2574.0,2556.0,51536.0
38990490,2024-12-01,4,27,0.871,1200.0,44.5,44.4,87,3,1,2602.0,2608.0,70322.0
38990490,2025-01-01,17,14,0.452,626.0,44.4,44.7,68,1,1,2581.0,2563.0,36142.0
38990490,2025-02-01,18,10,0.357,422.0,41.9,42.2,95,2,1,2465.0,2448.0,24654.0
38990490,2025-03-01,29,2,0.065,85.0,44.1,42.5,,,1,2462.0,2555.0,4925.0
