listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
37315027,2024-10-01,30,1,0.032,26.0,25.5,26.0,1,2,,1466.0,1438.0,1466.0
37315027,2024-11-01,29,1,0.033,26.0,25.4,26.0,,,,1517.0,1482.0,1517.0
37315027,2024-12-01,19,12,0.387,295.0,24.9,24.6,1,12,7,1442.0,1459.0,17287.0
37315027,2025-01-01,18,13,0.419,325.0,25.0,25.0,3,9,7,1443.0,1443.0,18764.0
37315027,2025-02-01,19,9,0.321,222.0,24.7,24.7,1,4,7,1443.0,1443.0,12969.0
37315027,2025-03-01,20,11,0.355,281.0,25.2,25.5,1,11,7,1477.0,1460.0,16281.0
37315027,2025-04-01,30,0,0.0,0.0,25.5,,,,7,,1460.0,0.0
37315027,2025-05-01,29,2,0.065,58.0,27.7,29.0,1,2,7,1621.0,1548.0,3242.0
37315027,2025-06-01,5,25,0.833,731.0,28.8,29.2,3,14,7,1628.0,1606.0,40768.0
37315027,2025-07-01,15,16,0.516,418.0,26.1,26.1,21,12,7,1456.0,1456.0,23312.0
37315027,2025-08-01,25,6,0.194,153.0,25.7,25.5,1,6,7,1422.0,1433.0,8533.0
37315027,2025-09-01,20,10,0.333,252.0,25.2,25.2,25,10,7,1405.0,1405.0,14054.0
38679606,2024-10-01,31,0,0.0,0.0,36.1,,,,,,2035.0,0.0
38679606,2024-11-01,30,0,0.0,0.0,36.2,,,,,,2113.0,0.0
38679606,2024-12-01,31,0,0.0,0.0,36.0,,,,,,2110.0,0.0
38679606,2025-01-01,31,0,0.0,0.0,36.3,,,,2,,2096.0,0.0
38679606,2025-02-01,28,0,0.0,0.0,35.6,,,,2,,2080.0,0.0
38679606,2025-03-01,19,12,0.387,417.0,34.6,34.8,1,12,2,2016.0,2005.0,24161.0
38679606,2025-04-01,29,1,0.033,37.0,37.1,37.0,1,1,2,2118.0,2124.0,2118.0
38679606,2025-05-01,30,1,0.032,41.0,38.7,41.0,1,1,2,2291.0,2163.0,2291.0
38679606,2025-06-01,29,1,0.033,38.0,36.9,38.0,1,1,2,2119.0,2058.0,2119.0
38679606,2025-07-01,28,3,0.097,107.0,36.2,35.7,1,1,2,1991.0,2019.0,5967.0
38679606,2025-08-01,24,7,0.226,257.0,36.8,36.7,1,1,2,2047.0,2052.0,14333.0
38679606,2025-09-01,29,1,0.033,37.0,36.9,37.0,1,1,2,2063.0,2058.0,2063.0
8199998,2024-10-01,15,16,0.516,644.0,40.3,40.2,105,15,,2266.0,2272.0,36305.0
8199998,2024-11-01,30,0,0.0,0.0,40.5,,,,,,2364.0,0.0
8199998,2024-12-01,18,13,0.419,546.0,41.5,42.0,63,7,,2461.0,2432.0,31996.0
