listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
16643293,2024-10-01,28,3,0.097,72.0,22.3,24.0,1,1,,1353.0,1257.0,4059.0
16643293,2024-11-01,27,3,0.1,69.0,21.7,23.0,3,1,,1342.0,1267.0,4027.0
16643293,2024-12-01,26,5,0.161,114.0,22.7,22.8,2,1,1,1336.0,1330.0,6681.0
16643293,2025-01-01,27,4,0.129,87.0,22.2,21.8,1,2,1,1259.0,1282.0,5023.0
16643293,2025-02-01,27,1,0.036,24.0,22.5,24.0,1,1,1,1402.0,1314.0,1402.0
16643293,2025-03-01,30,1,0.032,23.0,22.5,23.0,1,1,1,1333.0,1304.0,1333.0
16643293,2025-04-01,29,1,0.033,22.0,22.5,22.0,1,1,1,1259.0,1288.0,1259.0
16643293,2025-05-01,31,0,0.0,0.0,24.2,,,,1,,1352.0,0.0
16643293,2025-06-01,28,2,0.067,46.0,27.1,23.0,1,2,1,1283.0,1511.0,2565.0
16643293,2025-07-01,31,0,0.0,0.0,25.2,,,,1,,1405.0,0.0
16643293,2025-08-01,30,1,0.032,25.0,25.2,25.0,1,1,1,1394.0,1405.0,1394.0
16643293,2025-09-01,30,0,0.0,0.0,25.7,,,,1,,1433.0,0.0
15812687,2024-10-01,4,27,0.871,689.0,25.5,25.5,52,1,,1438.0,1438.0,38841.0
15812687,2024-11-01,17,13,0.433,330.0,25.3,25.4,65,4,,1482.0,1477.0,19260.0
15812687,2024-12-01,16,15,0.484,378.0,26.5,25.2,42,3,,1477.0,1553.0,22151.0
15812687,2025-01-01,10,21,0.677,560.0,26.4,26.7,26,3,1,1542.0,1524.0,32331.0
15812687,2025-02-01,4,24,0.857,600.0,25.0,25.0,37,4,1,1461.0,1461.0,35053.0
15812687,2025-03-01,8,23,0.742,587.0,25.4,25.5,15,2,1,1477.0,1472.0,34011.0
15812687,2025-04-01,9,21,0.7,549.0,26.3,26.1,8,3,1,1494.0,1505.0,31425.0
15812687,2025-05-01,11,20,0.645,631.0,31.5,31.6,10,1,1,1766.0,1760.0,35265.0
15812687,2025-06-01,4,26,0.867,992.0,37.8,38.2,13,3,1,2130.0,2108.0,55324.0
15812687,2025-07-01,8,23,0.742,791.0,34.3,34.4,19,3,1,1918.0,1913.0,44114.0
15812687,2025-08-01,6,25,0.806,775.0,30.7,31.0,51,2,1,1729.0,1712.0,43222.0
15812687,2025-09-01,9,21,0.7,681.0,32.7,32.4,9,4,1,1807.0,1824.0,37979.0
11611322,2024-10-01,21,10,0.323,509.0,52.6,50.9,122,5,,2869.0,2965.0,28694.0
11611322,2024-11-01,7,23,0.767,1302.0,56.7,56.6,27,25,,3303.0,3309.0,75991.0
11611322,2024-12-01,17,14,0.452,747.0,56.1,53.4,130,19,,3129.0,3288.0,43775.0
11611322,2025-01-01,4,27,0.871,1396.0,51.7,51.7,167,1,7,2985.0,2985.0,80597.0
11611322,2025-02-01,28,0,0.0,0.0,51.0,,,,7,,2979.0,0.0
11611322,2025-03-01,19,12,0.387,627.0,51.8,52.2,183,12,7,3024.0,3001.0,36329.0
11611322,2025-04-01,28,2,0.067,106.0,52.6,53.0,97,2,7,3034.0,3011.0,6067.0
11611322,2025-05-01,31,0,0.0,0.0,52.0,,,,7,,2906.0,0.0
11611322,2025-06-01,24,6,0.2,311.0,52.4,51.8,4,6,7,2889.0,2922.0,17344.0
11611322,2025-07-01,27,4,0.129,211.0,52.9,52.8,188,4,7,2945.0,2950.0,11767.0
11611322,2025-08-01,12,19,0.613,979.0,51.3,51.5,26,13,7,2872.0,2861.0,54599.0
11611322,2025-09-01,23,7,0.233,374.0,53.2,53.4,,,7,2978.0,2967.0,20858.0
9534063,2024-10-01,13,18,0.581,391.0,22.5,21.7,1,3,,1223.0,1268.0,22042.0
9534063,2024-11-01,27,3,0.1,65.0,21.7,21.7,1,1,,1267.0,1267.0,3794.0
9534063,2024-12-01,28,3,0.097,63.0,21.6,21.0,6,7,10,1231.0,1266.0,3692.0
9534063,2025-01-01,19,12,0.387,247.0,21.3,20.6,1,1,10,1189.0,1230.0,14260.0
9534063,2025-02-01,1,27,0.964,529.0,19.6,19.6,65,42,10,1145.0,1145.0,30905.0
9534063,2025-03-01,16,15,0.484,298.0,20.5,19.9,,,5,1153.0,1188.0,17266.0
9534063,2025-04-01,30,0,0.0,0.0,21.8,,,,1,,1248.0,0.0
9534063,2025-05-01,16,15,0.484,358.0,23.5,23.9,92,16,1,1336.0,1313.0,20008.0
9534063,2025-06-01,13,17,0.567,591.0,32.8,34.8,1,47,1,1941.0,1829.0,32960.0
9534063,2025-07-01,0,31,1.0,967.0,31.2,31.2,,,1,1740.0,1740.0,53930.0
9534063,2025-08-01,31,0,0.0,0.0,29.1,,,,1,,1623.0,0.0
