listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
20839323,2024-10-01,31,0,0.0,0.0,222.8,,,,,,12560.0,0.0
20839323,2024-11-01,28,2,0.067,494.0,246.5,247.0,6,3,,14416.0,14387.0,28832.0
20839323,2024-12-01,16,15,0.484,3673.0,251.2,244.9,62,2,1,14352.0,14721.0,215243.0
20839323,2025-01-01,30,1,0.032,215.0,212.2,215.0,,,1,12413.0,12251.0,12413.0
20839323,2025-02-01,25,3,0.107,650.0,216.6,216.7,20,3,1,12660.0,12654.0,37974.0
20839323,2025-03-01,31,0,0.0,0.0,217.9,,,,1,,12625.0,0.0
20839323,2025-04-01,25,5,0.167,1097.0,218.3,219.4,34,5,1,12558.0,12495.0,62792.0
20839323,2025-05-01,31,0,0.0,0.0,212.4,,,,1,,11871.0,0.0
20839323,2025-06-01,30,0,0.0,0.0,214.1,,,,1,,11940.0,0.0
20839323,2025-07-01,31,0,0.0,0.0,213.2,,,,1,,11890.0,0.0
20839323,2025-08-01,29,2,0.065,449.0,214.8,224.5,57,2,1,12520.0,11979.0,25041.0
20839323,2025-09-01,30,0,0.0,0.0,220.5,,,,1,,12297.0,0.0
6187761,2024-10-01,31,0,0.0,0.0,47.9,,,,,,2700.0,0.0
6187761,2024-11-01,30,0,0.0,0.0,47.2,,,,,,2755.0,0.0
6187761,2024-12-01,18,13,0.419,601.0,46.4,46.2,1,13,,2707.0,2719.0,35220.0
6187761,2025-01-01,31,0,0.0,0.0,46.1,,,,1,,2662.0,0.0
6187761,2025-02-01,28,0,0.0,0.0,43.5,,,,1,,2541.0,0.0
6187761,2025-03-01,31,0,0.0,0.0,44.5,,,,1,,2578.0,0.0
6187761,2025-04-01,30,0,0.0,0.0,44.4,,,,1,,2541.0,0.0
19423026,2024-10-01,21,10,0.323,290.0,28.6,29.0,2,1,,1635.0,1612.0,16348.0
19423026,2024-11-01,14,16,0.533,491.0,31.2,30.7,2,1,,1792.0,1821.0,28657.0
19423026,2024-12-01,17,14,0.452,463.0,31.7,33.1,5,1,1,1940.0,1858.0,27132.0
19423026,2025-01-01,16,15,0.484,410.0,26.3,27.3,3,1,1,1576.0,1518.0,23671.0
19423026,2025-02-01,15,13,0.464,385.0,28.1,29.6,6,1,1,1729.0,1642.0,22492.0
19423026,2025-03-01,20,11,0.355,339.0,29.5,30.8,6,1,1,1785.0,1709.0,19642.0
19423026,2025-04-01,29,1,0.033,26.0,27.8,26.0,12,1,1,1488.0,1591.0,1488.0
19423026,2025-05-01,26,5,0.161,164.0,34.5,32.8,2,1,1,1833.0,1928.0,9166.0
