listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
28793733,2024-10-01,4,27,0.871,3208.0,117.5,118.8,14,3,,6697.0,6624.0,180846.0
28793733,2024-11-01,3,27,0.9,3205.0,117.8,118.7,21,2,,6928.0,6875.0,187060.0
28793733,2024-12-01,6,25,0.806,3574.0,139.8,143.0,36,1,1,8380.0,8192.0,209442.0
28793733,2025-01-01,9,22,0.71,3155.0,141.4,143.4,22,4,1,8279.0,8164.0,182152.0
28793733,2025-02-01,4,24,0.857,3154.0,131.1,131.4,17,3,1,7677.0,7659.0,184260.0
28793733,2025-03-01,6,25,0.806,3197.0,127.0,127.9,22,2,1,7411.0,7358.0,185235.0
28793733,2025-04-01,6,24,0.8,2989.0,124.0,124.5,29,5,1,7126.0,7098.0,171090.0
28793733,2025-05-01,7,24,0.774,2962.0,121.4,123.4,13,2,1,6897.0,6785.0,165540.0
28793733,2025-06-01,12,18,0.6,2717.0,153.6,150.9,12,2,1,8416.0,8566.0,151527.0
28793733,2025-07-01,15,16,0.516,2352.0,150.8,147.0,44,8,1,8198.0,8410.0,131171.0
28793733,2025-08-01,13,18,0.581,2452.0,144.1,136.2,13,1,1,7596.0,8036.0,136748.0
28793733,2025-09-01,21,9,0.3,1127.0,119.1,125.2,21,2,1,6982.0,6642.0,62853.0
27265599,2024-10-01,22,9,0.29,694.0,75.0,77.1,22,2,,4346.0,4228.0,39123.0
27265599,2024-11-01,28,2,0.067,115.0,63.4,57.5,4,2,,3356.0,3700.0,6712.0
27265599,2024-12-01,25,6,0.194,396.0,65.7,66.0,36,2,,3868.0,3850.0,23206.0
27265599,2025-01-01,19,12,0.387,700.0,58.2,58.3,1,4,1,3366.0,3360.0,40414.0
27265599,2025-02-01,21,7,0.25,378.0,54.4,54.0,26,3,1,3155.0,3178.0,22083.0
27265599,2025-03-01,21,10,0.323,556.0,55.2,55.6,27,3,1,3221.0,3198.0,32215.0
27265599,2025-04-01,20,10,0.333,551.0,54.3,55.1,57,5,1,3154.0,3108.0,31539.0
27265599,2025-05-01,15,16,0.516,1010.0,58.7,63.1,17,4,1,3527.0,3281.0,56447.0
27265599,2025-06-01,13,17,0.567,977.0,58.5,57.5,2,3,1,3207.0,3263.0,54487.0
27265599,2025-07-01,22,9,0.29,606.0,58.9,67.3,10,2,1,3753.0,3285.0,33797.0
27265599,2025-08-01,17,14,0.452,866.0,63.8,61.9,17,4,1,3452.0,3558.0,48297.0
27265599,2025-09-01,25,5,0.167,356.0,59.6,71.2,63,4,1,3971.0,3324.0,19854.0
29125963,2024-10-01,31,0,0.0,0.0,175.8,,,,,,9910.0,0.0
29125963,2024-11-01,30,0,0.0,0.0,180.0,,,,,,10506.0,0.0
29125963,2024-12-01,27,4,0.129,705.0,176.8,176.2,1,2,2,10326.0,10361.0,41314.0
29125963,2025-01-01,26,5,0.161,871.0,176.2,174.2,1,1,2,10057.0,10173.0,50287.0
29125963,2025-02-01,28,0,0.0,0.0,177.8,,,,2,,10387.0,0.0
29125963,2025-03-01,31,0,0.0,0.0,174.7,,,,2,,10122.0,0.0
29125963,2025-04-01,18,12,0.4,2147.0,177.5,178.9,1,2,2,10240.0,10160.0,122894.0
29125963,2025-05-01,29,2,0.065,348.0,179.4,174.0,1,2,2,9725.0,10026.0,19449.0
29125963,2025-06-01,26,4,0.133,707.0,188.7,176.8,1,2,2,9860.0,10524.0,39429.0
29125963,2025-07-01,29,2,0.065,335.0,170.9,167.5,1,2,2,9341.0,9531.0,18683.0
29125963,2025-08-01,31,0,0.0,0.0,178.7,,,,2,,9966.0,0.0
29125963,2025-09-01,28,2,0.067,382.0,190.3,191.0,1,2,2,10652.0,10613.0,21304.0
33248661,2024-10-01,5,26,0.839,996.0,38.1,38.3,,,,2159.0,2148.0,56148.0
33248661,2024-11-01,30,0,0.0,0.0,37.4,,,,,,2183.0,0.0
33248661,2024-12-01,31,0,0.0,0.0,37.2,,,,1,,2180.0,0.0
33248661,2025-01-01,31,0,0.0,0.0,37.3,,,,1,,2153.0,0.0
33248661,2025-02-01,28,0,0.0,0.0,37.3,,,,2,,2179.0,0.0
33248661,2025-03-01,31,0,0.0,0.0,37.4,,,,2,,2167.0,0.0
33248661,2025-04-01,30,0,0.0,0.0,37.5,,,,2,,2146.0,0.0
33248661,2025-05-01,31,0,0.0,0.0,39.9,,,,2,,2230.0,0.0
33248661,2025-06-01,30,0,0.0,0.0,41.4,,,,2,,2309.0,0.0
33248661,2025-07-01,31,0,0.0,0.0,43.9,,,,2,,2448.0,0.0
33248661,2025-08-01,31,0,0.0,0.0,46.0,,,,2,,2565.0,0.0
33248661,2025-09-01,30,0,0.0,0.0,46.8,,,,2,,2610.0,0.0
1278983,2024-10-01,31,0,0.0,0.0,50.7,,,,,,2858.0,0.0
1278983,2024-11-01,30,0,0.0,0.0,50.7,,,,,,2959.0,0.0
1278983,2024-12-01,22,9,0.29,450.0,50.3,50.0,5,5,,2930.0,2948.0,26371.0
1278983,2025-01-01,25,6,0.194,299.0,50.0,49.8,1,5,3,2875.0,2887.0,17263.0
1278983,2025-02-01,28,0,0.0,0.0,50.6,,,,3,,2956.0,0.0
1278983,2025-03-01,31,0,0.0,0.0,50.5,,,,3,,2926.0,0.0
1278983,2025-04-01,30,0,0.0,0.0,49.6,,,,3,,2839.0,0.0
1278983,2025-05-01,31,0,0.0,0.0,53.0,,,,3,,2962.0,0.0
1278983,2025-06-01,30,0,0.0,0.0,52.4,,,,3,,2922.0,0.0
1278983,2025-07-01,31,0,0.0,0.0,52.3,,,,3,,2917.0,0.0
