listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
32576311,2024-10-01,31,0,0.0,0.0,101.1,,,,,,130.0,0.0
32576311,2024-11-01,30,0,0.0,0.0,101.0,,,,,,134.0,0.0
32576311,2024-12-01,31,0,0.0,0.0,100.6,,,,,,135.0,0.0
32576311,2025-01-01,31,0,0.0,0.0,99.0,,,,,,135.0,0.0
32576311,2025-02-01,28,0,0.0,0.0,98.3,,,,,,133.0,0.0
32576311,2025-03-01,31,0,0.0,0.0,95.8,,,,,,129.0,0.0
32576311,2025-04-01,30,0,0.0,0.0,98.4,,,,,,132.0,0.0
32576311,2025-05-01,31,0,0.0,0.0,95.4,,,,,,125.0,0.0
32576311,2025-06-01,21,9,0.3,843.0,93.2,93.7,1,9,,121.0,120.0,1088.0
32576311,2025-07-01,18,13,0.419,1215.0,92.4,93.5,29,4,1,121.0,119.0,1568.0
32576311,2025-08-01,26,5,0.161,474.0,92.8,94.8,56,5,1,122.0,120.0,612.0
32576311,2025-09-01,29,1,0.033,101.0,96.9,101.0,104,7,1,130.0,125.0,130.0
46144841,2024-10-01,31,0,0.0,0.0,101.6,,,,,,131.0,0.0
46144841,2024-11-01,30,0,0.0,0.0,104.3,,,,,,138.0,0.0
46144841,2024-12-01,31,0,0.0,0.0,109.0,,,,,,146.0,0.0
46144841,2025-01-01,26,5,0.161,445.0,93.0,89.0,215,17,1,122.0,127.0,608.0
46144841,2025-02-01,15,13,0.464,1433.0,102.4,110.2,57,1,1,150.0,139.0,1945.0
46144841,2025-03-01,31,0,0.0,0.0,78.3,,,,1,,106.0,0.0
46144841,2025-04-01,30,0,0.0,0.0,89.1,,,,1,,120.0,0.0
47945468,2024-10-01,30,1,0.032,69.0,74.5,69.0,1,1,,89.0,96.0,89.0
47945468,2024-11-01,30,0,0.0,0.0,82.3,,,,,,109.0,0.0
47945468,2024-12-01,30,1,0.032,73.0,75.8,73.0,1,1,1,98.0,102.0,98.0
47945468,2025-01-01,31,0,0.0,0.0,76.5,,,,1,,104.0,0.0
47945468,2025-02-01,22,6,0.214,416.0,68.6,69.3,1,1,1,94.0,93.0,565.0
47945468,2025-03-01,29,2,0.065,138.0,68.5,69.0,1,1,1,93.0,93.0,186.0
47945468,2025-04-01,28,2,0.067,142.0,65.8,71.0,1,2,1,95.0,88.0,191.0
47945468,2025-05-01,28,3,0.097,263.0,97.2,87.7,3,1,1,115.0,127.0,345.0
47945468,2025-06-01,30,0,0.0,0.0,79.4,,,,1,,102.0,0.0
47945468,2025-07-01,28,3,0.097,240.0,72.8,80.0,1,3,1,103.0,94.0,310.0
47945468,2025-08-01,31,0,0.0,0.0,72.8,,,,1,,94.0,0.0
47945468,2025-09-01,30,0,0.0,0.0,65.9,,,,1,,85.0,0.0
4973227,2024-10-01,9,22,0.71,2819.0,130.6,128.1,8,2,,165.0,168.0,3632.0
4973227,2024-11-01,0,30,1.0,4109.0,137.0,137.0,17,14,,182.0,182.0,5449.0
4973227,2024-12-01,12,19,0.613,2872.0,149.6,151.2,15,4,6,203.0,201.0,3852.0
4973227,2025-01-01,22,9,0.29,1353.0,150.2,150.3,5,1,6,205.0,205.0,1848.0
4973227,2025-02-01,25,3,0.107,439.0,147.5,146.3,10,1,6,199.0,200.0,596.0
4973227,2025-03-01,15,16,0.516,2513.0,157.0,157.1,1,2,6,212.0,212.0,3396.0
4973227,2025-04-01,17,13,0.433,1871.0,147.2,143.9,7,1,6,193.0,198.0,2515.0
4973227,2025-05-01,31,0,0.0,0.0,170.6,,,,6,,224.0,0.0
4973227,2025-06-01,23,7,0.233,1062.0,146.9,151.7,1,1,6,196.0,190.0,1371.0
4973227,2025-07-01,27,4,0.129,473.0,127.5,118.2,3,1,6,153.0,165.0,610.0
4973227,2025-08-01,27,4,0.129,468.0,143.4,117.0,7,2,6,151.0,185.0,604.0
