listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
385130,2024-10-01,12,19,0.613,480.0,24.5,25.3,21,31,,823.0,797.0,15623.0
385130,2024-11-01,8,22,0.733,557.0,25.6,25.3,22,4,,858.0,868.0,18884.0
385130,2024-12-01,12,19,0.613,582.0,28.7,30.6,1,56,,1052.0,986.0,20003.0
385130,2025-01-01,0,31,1.0,813.0,26.2,26.2,,,5,898.0,898.0,27879.0
385130,2025-02-01,10,18,0.643,469.0,26.0,26.1,4,7,4,882.0,879.0,15850.0
385130,2025-03-01,6,25,0.806,650.0,26.0,26.0,24,3,4,891.0,891.0,22263.0
385130,2025-04-01,24,6,0.2,151.0,24.0,25.2,18,4,5,862.0,821.0,5163.0
385130,2025-05-01,21,10,0.323,252.0,24.8,25.2,3,16,5,845.0,831.0,8447.0
385130,2025-06-01,3,27,0.9,648.0,23.9,24.0,6,58,6,788.0,784.0,21264.0
385130,2025-07-01,0,31,1.0,748.0,24.1,24.1,,,10,791.0,791.0,24545.0
385130,2025-08-01,0,31,1.0,722.0,23.3,23.3,34,11,8,765.0,765.0,23692.0
385130,2025-09-01,15,15,0.5,313.0,22.4,20.9,,,10,686.0,735.0,10271.0
5268025,2024-10-01,31,0,0.0,0.0,27.3,,,,,,889.0,0.0
5268025,2024-11-01,30,0,0.0,0.0,25.8,,,,,,875.0,0.0
5268025,2024-12-01,26,5,0.161,129.0,26.0,25.8,5,3,,887.0,894.0,4434.0
5268025,2025-01-01,19,12,0.387,325.0,26.4,27.1,28,1,1,929.0,905.0,11145.0
5268025,2025-02-01,23,5,0.179,123.0,24.2,24.6,47,5,1,831.0,818.0,4157.0
5268025,2025-03-01,31,0,0.0,0.0,24.4,,,,1,,836.0,0.0
5268025,2025-04-01,30,0,0.0,0.0,23.2,,,,1,,793.0,0.0
4471377,2024-10-01,10,21,0.677,415.0,19.5,19.8,111,21,,644.0,635.0,13507.0
4471377,2024-11-01,16,14,0.467,301.0,20.6,21.5,1,14,,729.0,698.0,10205.0
4471377,2024-12-01,14,17,0.548,436.0,24.2,25.6,7,14,,880.0,832.0,14985.0
4471377,2025-01-01,7,24,0.774,540.0,22.4,22.5,1,22,6,772.0,768.0,18517.0
4471377,2025-02-01,18,10,0.357,214.0,21.5,21.4,15,1,7,723.0,727.0,7232.0
4471377,2025-03-01,18,13,0.419,279.0,21.4,21.5,33,19,6,736.0,733.0,9556.0
4471377,2025-04-01,2,28,0.933,559.0,19.9,20.0,23,2,6,684.0,680.0,19112.0
4471377,2025-05-01,0,31,1.0,638.0,20.6,20.6,9,31,9,691.0,691.0,21386.0
4471377,2025-06-01,21,9,0.3,204.0,22.5,22.7,1,22,9,745.0,738.0,6694.0
4471377,2025-07-01,18,13,0.419,289.0,22.4,22.2,,,10,728.0,735.0,9483.0
4471377,2025-08-01,31,0,0.0,0.0,22.2,,,,10,,728.0,0.0
4471377,2025-09-01,30,0,0.0,0.0,22.7,,,,9,,745.0,0.0
5709620,2024-10-01,4,27,0.871,975.0,36.1,36.1,28,5,,1175.0,1175.0,31734.0
5709620,2024-11-01,1,29,0.967,1072.0,37.0,37.0,58,5,,1254.0,1254.0,36345.0
5709620,2024-12-01,2,29,0.935,1082.0,37.4,37.3,55,2,2,1282.0,1285.0,37189.0
5709620,2025-01-01,2,29,0.935,1092.0,37.7,37.7,68,3,2,1293.0,1293.0,37446.0
