listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
7735844,2024-10-01,31,0,0.0,0.0,25.2,,,,,,820.0,0.0
7735844,2024-11-01,30,0,0.0,0.0,25.2,,,,,,854.0,0.0
7735844,2024-12-01,20,11,0.355,278.0,25.2,25.3,3,15,,870.0,866.0,9555.0
7735844,2025-01-01,27,4,0.129,98.0,24.7,24.5,,,5,840.0,847.0,3361.0
7735844,2025-02-01,28,0,0.0,0.0,24.5,,,,5,,828.0,0.0
7735844,2025-03-01,31,0,0.0,0.0,24.1,,,,5,,825.0,0.0
7735844,2025-04-01,30,0,0.0,0.0,24.1,,,,5,,824.0,0.0
7735844,2025-05-01,31,0,0.0,0.0,27.5,,,,5,,922.0,0.0
7735844,2025-06-01,30,0,0.0,0.0,33.7,,,,5,,1106.0,0.0
7735844,2025-07-01,31,0,0.0,0.0,33.0,,,,5,,1083.0,0.0
7735844,2025-08-01,31,0,0.0,0.0,33.2,,,,5,,1089.0,0.0
7735844,2025-09-01,30,0,0.0,0.0,31.7,,,,5,,1040.0,0.0
11759126,2024-10-01,31,0,0.0,0.0,24.7,,,,,,804.0,0.0
11759126,2024-11-01,30,0,0.0,0.0,24.0,,,,,,814.0,0.0
11759126,2024-12-01,23,8,0.258,180.0,22.8,22.5,6,18,,773.0,784.0,6187.0
11759126,2025-01-01,12,19,0.613,431.0,22.5,22.7,36,12,12,778.0,772.0,14779.0
11759126,2025-02-01,25,3,0.107,70.0,23.6,23.3,,,12,787.0,798.0,2366.0
11759126,2025-03-01,31,0,0.0,0.0,24.0,,,,12,,822.0,0.0
11759126,2025-04-01,30,0,0.0,0.0,25.3,,,,12,,865.0,0.0
2218817,2024-10-01,31,0,0.0,0.0,21.5,,,,,,700.0,0.0
2218817,2024-11-01,13,17,0.567,361.0,21.3,21.2,13,31,,719.0,722.0,12239.0
2218817,2024-12-01,5,26,0.839,625.0,23.9,24.0,11,8,5,825.0,821.0,21481.0
2218817,2025-01-01,1,30,0.968,730.0,24.3,24.3,22,8,4,833.0,833.0,25032.0
2218817,2025-02-01,24,4,0.143,84.0,21.3,21.0,64,2,3,710.0,720.0,2839.0
2218817,2025-03-01,31,0,0.0,0.0,21.2,,,,3,,726.0,0.0
2218817,2025-04-01,30,0,0.0,0.0,20.9,,,,3,,715.0,0.0
2218817,2025-05-01,31,0,0.0,0.0,21.1,,,,3,,707.0,0.0
2218817,2025-06-01,30,0,0.0,0.0,21.5,,,,3,,706.0,0.0
