listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
27804330,2024-10-01,31,0,0.0,0.0,35.9,,,,,,883499.0,0.0
27804330,2024-11-01,30,0,0.0,0.0,35.3,,,,,,893090.0,0.0
27804330,2024-12-01,23,8,0.258,287.0,35.9,35.9,1,8,,909939.0,909939.0,7274446.0
27804330,2025-01-01,14,17,0.548,633.0,37.2,37.2,16,1,1,948042.0,948042.0,1.6132005E7
27804330,2025-02-01,13,15,0.536,556.0,37.4,37.1,15,4,1,930468.0,937992.0,1.394448E7
27804330,2025-03-01,19,12,0.387,440.0,37.3,36.7,4,1,1,937869.0,953201.0,1.12442E7
27804330,2025-04-01,19,11,0.367,418.0,38.0,38.0,16,1,1,974130.0,974130.0,1.071543E7
27804330,2025-05-01,30,1,0.032,38.0,41.5,38.0,26,1,1,988190.0,1079208.0,988190.0
27804330,2025-06-01,28,2,0.067,86.0,42.9,43.0,6,2,1,1118925.0,1116322.0,2237849.0
27804330,2025-07-01,30,1,0.032,41.0,43.3,41.0,3,1,1,1066882.0,1126731.0,1066882.0
27804330,2025-08-01,26,5,0.161,209.0,42.5,41.8,19,1,1,1087699.0,1105914.0,5438494.0
27804330,2025-09-01,24,6,0.2,260.0,43.8,43.3,3,3,1,1126731.0,1139742.0,6765590.0
23234865,2024-10-01,31,0,0.0,0.0,23.5,,,,,,578335.0,0.0
23234865,2024-11-01,30,0,0.0,0.0,23.2,,,,,,586960.0,0.0
23234865,2024-12-01,25,6,0.194,134.0,23.3,22.3,2,6,,565227.0,590573.0,3396431.0
23234865,2025-01-01,31,0,0.0,0.0,23.2,,,,1,,591252.0,0.0
23234865,2025-02-01,28,0,0.0,0.0,23.4,,,,1,,586872.0,0.0
23234865,2025-03-01,31,0,0.0,0.0,23.6,,,,1,,603098.0,0.0
23234865,2025-04-01,30,0,0.0,0.0,23.9,,,,1,,612677.0,0.0
23234865,2025-05-01,31,0,0.0,0.0,20.6,,,,1,,535703.0,0.0
23234865,2025-06-01,30,0,0.0,0.0,20.6,,,,1,,536043.0,0.0
23234865,2025-07-01,31,0,0.0,0.0,21.5,,,,1,,559462.0,0.0
23234865,2025-08-01,28,3,0.097,65.0,21.2,21.7,72,5,1,564667.0,551656.0,1691398.0
23234865,2025-09-01,28,2,0.067,42.0,20.5,21.0,,,1,546452.0,533441.0,1092903.0
29520177,2024-10-01,23,8,0.258,112.0,13.9,14.0,17,7,,344540.0,342079.0,2756320.0
29520177,2024-11-01,23,7,0.233,98.0,13.9,14.0,31,6,,354200.0,351670.0,2479400.0
29520177,2024-12-01,6,25,0.806,342.0,13.7,13.7,22,6,1,347247.0,347247.0,8668503.0
29520177,2025-01-01,0,31,1.0,443.0,14.3,14.3,12,16,1,364436.0,364436.0,1.1289855E7
29520177,2025-02-01,8,20,0.714,273.0,13.8,13.7,7,6,1,343596.0,346104.0,6846840.0
29520177,2025-03-01,11,20,0.645,292.0,14.8,14.6,17,6,1,373103.0,378214.0,7462060.0
29520177,2025-04-01,22,8,0.267,114.0,14.8,14.2,1,52,1,364017.0,379398.0,2922390.0
29520177,2025-05-01,0,31,1.0,466.0,15.0,15.0,,,1,390075.0,390075.0,1.211833E7
29520177,2025-06-01,17,13,0.433,195.0,15.7,15.0,,,1,390323.0,408538.0,5074193.0
29520177,2025-07-01,31,0,0.0,0.0,15.2,,,,1,,395527.0,0.0
29520177,2025-08-01,11,20,0.645,353.0,17.3,17.6,35,17,1,457978.0,450172.0,9185590.0
29520177,2025-09-01,15,15,0.5,263.0,17.3,17.5,,,1,455376.0,450172.0,6843655.0
21711477,2024-10-01,31,0,0.0,0.0,18.5,,,,,,455285.0,0.0
21711477,2024-11-01,23,7,0.233,128.0,18.7,18.3,1,17,,462990.0,473110.0,3238400.0
21711477,2024-12-01,16,15,0.484,278.0,18.5,18.5,2,5,1,468910.0,468910.0,7046327.0
21711477,2025-01-01,18,13,0.419,264.0,19.6,20.3,1,15,1,517346.0,499506.0,6728040.0
21711477,2025-02-01,26,2,0.071,40.0,18.7,20.0,,,11,501600.0,468996.0,1003200.0
21711477,2025-03-01,31,0,0.0,0.0,18.4,,,,28,,470212.0,0.0
21711477,2025-04-01,9,21,0.7,386.0,18.8,18.4,49,27,28,471684.0,481938.0,9895110.0
21711477,2025-05-01,0,31,1.0,517.0,16.7,16.7,,,28,434284.0,434284.0,1.3444585E7
21711477,2025-06-01,0,30,1.0,490.0,16.3,16.3,,,28,424150.0,424150.0,1.2750535E7
21711477,2025-07-01,2,29,0.935,512.0,17.6,17.7,27,29,28,460581.0,457978.0,1.3323008E7
21711477,2025-08-01,30,1,0.032,7.0,12.1,7.0,1,1,28,182151.0,314860.0,182151.0
21711477,2025-09-01,30,0,0.0,0.0,13.9,,,,28,,361699.0,0.0
29191158,2024-10-01,28,3,0.097,171.0,58.2,57.0,1,3,,1402770.0,1432302.0,4208310.0
29191158,2024-11-01,25,5,0.167,280.0,56.2,56.0,17,2,,1416800.0,1421860.0,7084000.0
29191158,2024-12-01,25,6,0.194,362.0,58.6,60.3,11,1,1,1528394.0,1485305.0,9175433.0
29191158,2025-01-01,28,3,0.097,161.0,56.2,53.7,35,1,1,1368545.0,1432257.0,4103085.0
29191158,2025-02-01,28,0,0.0,0.0,62.5,,,,1,,1567500.0,0.0
29191158,2025-03-01,31,0,0.0,0.0,71.3,,,,1,,1822072.0,0.0
29191158,2025-04-01,30,0,0.0,0.0,71.0,,,,1,,1820085.0,0.0
29191158,2025-05-01,31,0,0.0,0.0,70.7,,,,1,,1838554.0,0.0
29191158,2025-06-01,23,7,0.233,498.0,70.6,71.1,7,2,1,1850129.0,1837118.0,1.2958707E7
29191158,2025-07-01,22,9,0.29,500.0,62.4,55.6,8,2,1,1446795.0,1623742.0,1.301075E7
29191158,2025-08-01,11,20,0.645,987.0,48.2,49.4,5,1,1,1285462.0,1254236.0,2.5683221E7
29191158,2025-09-01,22,8,0.267,407.0,49.4,50.9,5,1,1,1324494.0,1285462.0,1.0590751E7
21671494,2024-10-01,30,1,0.032,10.0,10.0,10.0,1,1,,246100.0,246100.0,246100.0
21671494,2024-11-01,27,3,0.1,30.0,10.0,10.0,6,1,,253000.0,253000.0,759000.0
21671494,2024-12-01,11,20,0.645,199.0,10.0,9.9,2,4,2,250930.0,253465.0,5043954.0
21671494,2025-01-01,21,10,0.323,98.0,9.9,9.8,,,2,249753.0,252302.0,2497530.0
21671494,2025-02-01,28,0,0.0,0.0,9.8,,,,2,,245784.0,0.0
21671494,2025-03-01,30,1,0.032,10.0,10.0,10.0,11,1,2,255550.0,255550.0,255550.0
21671494,2025-04-01,16,14,0.467,138.0,10.0,9.9,1,14,2,253787.0,256350.0,3537630.0
21671494,2025-05-01,19,12,0.387,123.0,10.3,10.2,38,25,2,265251.0,267852.0,3198615.0
21671494,2025-06-01,17,13,0.433,127.0,9.9,9.8,,,2,255011.0,257613.0,3304731.0
21671494,2025-07-01,31,0,0.0,0.0,10.2,,,,1,,265419.0,0.0
21671494,2025-08-01,1,30,0.968,328.0,10.9,10.9,20,30,1,283634.0,283634.0,8535052.0
21671494,2025-09-01,18,12,0.4,124.0,10.3,10.3,36,3,2,268021.0,268021.0,3226666.0
27535687,2024-10-01,31,0,0.0,0.0,16.4,,,,,,403604.0,0.0
27535687,2024-11-01,26,4,0.133,67.0,16.9,16.8,1,4,,425040.0,427570.0,1695100.0
27535687,2024-12-01,23,8,0.258,135.0,16.9,16.9,10,2,,428356.0,428356.0,3421778.0
27535687,2025-01-01,24,7,0.226,118.0,16.9,16.9,1,1,1,430696.0,430696.0,3007230.0
27535687,2025-02-01,28,0,0.0,0.0,16.9,,,,1,,423852.0,0.0
27535687,2025-03-01,29,2,0.065,35.0,17.0,17.5,1,1,1,447213.0,434435.0,894425.0
27535687,2025-04-01,30,0,0.0,0.0,16.9,,,,1,,433231.0,0.0
27535687,2025-05-01,29,2,0.065,34.0,17.5,17.0,1,1,1,442085.0,455088.0,884170.0
27535687,2025-06-01,30,0,0.0,0.0,18.3,,,,1,,476193.0,0.0
27535687,2025-07-01,31,0,0.0,0.0,17.3,,,,1,,450172.0,0.0
27535687,2025-08-01,27,4,0.129,81.0,17.9,20.2,87,6,1,525634.0,465785.0,2107742.0
27535687,2025-09-01,28,2,0.067,33.0,16.3,16.5,,,1,429355.0,424150.0,858710.0
18199600,2024-10-01,30,1,0.032,28.0,27.0,28.0,2,1,,689080.0,664470.0,689080.0
18199600,2024-11-01,25,5,0.167,136.0,26.8,27.2,52,14,,688160.0,678040.0,3440800.0
18199600,2024-12-01,8,23,0.742,602.0,26.1,26.2,,,1,664078.0,661544.0,1.5258593E7
18199600,2025-01-01,18,13,0.419,343.0,26.4,26.4,47,6,1,672804.0,672804.0,8741355.0
18199600,2025-02-01,21,7,0.25,177.0,25.4,25.3,,,1,634524.0,637032.0,4439160.0
18199600,2025-03-01,14,17,0.548,435.0,25.7,25.6,8,9,1,654208.0,656764.0,1.1116425E7
18199600,2025-04-01,19,11,0.367,284.0,26.5,25.8,,,1,661383.0,679328.0,7280340.0
18199600,2025-05-01,31,0,0.0,0.0,27.4,,,,1,,712537.0,0.0
18199600,2025-06-01,30,0,0.0,0.0,26.4,,,,1,,686968.0,0.0
18199600,2025-07-01,31,0,0.0,0.0,26.7,,,,1,,694774.0,0.0
18199600,2025-08-01,31,0,0.0,0.0,28.1,,,,1,,731204.0,0.0
18199600,2025-09-01,30,0,0.0,0.0,26.8,,,,1,,697376.0,0.0
21817589,2024-10-01,8,23,0.742,267.0,11.6,11.6,18,2,,285476.0,285476.0,6570870.0
21817589,2024-11-01,10,20,0.667,233.0,11.6,11.7,21,2,,296010.0,293480.0,5894900.0
21817589,2024-12-01,0,31,1.0,363.0,11.7,11.7,43,7,2,296554.0,296554.0,9200780.0
21817589,2025-01-01,10,21,0.677,235.0,11.2,11.2,25,2,2,285432.0,285432.0,5988975.0
21817589,2025-02-01,4,24,0.857,264.0,11.0,11.0,45,3,2,275880.0,275880.0,6621120.0
21817589,2025-03-01,9,22,0.71,250.0,11.3,11.4,36,2,2,291327.0,288772.0,6388750.0
21817589,2025-04-01,2,28,0.933,323.0,11.6,11.5,39,11,2,294803.0,297366.0,8280105.0
21817589,2025-05-01,0,31,1.0,364.0,11.7,11.7,11,9,2,304259.0,304259.0,9465820.0
21817589,2025-06-01,3,27,0.9,340.0,12.6,12.6,18,3,2,327871.0,327871.0,8847310.0
21817589,2025-07-01,18,13,0.419,155.0,12.0,11.9,27,3,2,309656.0,312258.0,4033333.0
21817589,2025-08-01,16,15,0.484,182.0,12.0,12.1,43,2,2,314860.0,312258.0,4735913.0
21817589,2025-09-01,3,27,0.9,332.0,12.3,12.3,66,4,2,320064.0,320064.0,8639138.0
25920144,2024-10-01,31,0,0.0,0.0,80.6,,,,,,1983566.0,0.0
25920144,2024-11-01,24,6,0.2,444.0,77.1,74.0,3,3,,1872200.0,1950630.0,1.12332E7
25920144,2024-12-01,31,0,0.0,0.0,82.5,,,,,,2091086.0,0.0
25920144,2025-01-01,31,0,0.0,0.0,84.7,,,,1,,2158580.0,0.0
25920144,2025-02-01,22,6,0.214,522.0,90.9,87.0,86,2,1,2181960.0,2279772.0,1.309176E7
25920144,2025-03-01,31,0,0.0,0.0,91.7,,,,1,,2343394.0,0.0
25920144,2025-04-01,24,6,0.2,544.0,89.0,90.7,133,6,1,2325095.0,2281515.0,1.394544E7
19061217,2024-10-01,28,3,0.097,100.0,34.5,33.3,7,1,,819513.0,849045.0,2461000.0
19061217,2024-11-01,18,12,0.4,461.0,36.7,38.4,18,4,,971520.0,928510.0,1.16633E7
19061217,2024-12-01,19,12,0.387,494.0,37.9,41.2,9,6,,1044276.0,960632.0,1.2521171E7
19061217,2025-01-01,31,0,0.0,0.0,44.0,,,,1,,1121340.0,0.0
19061217,2025-02-01,22,6,0.214,259.0,43.4,43.2,1,6,1,1083456.0,1088472.0,6495720.0
19061217,2025-03-01,19,12,0.387,506.0,42.7,42.2,1,12,1,1078421.0,1091199.0,1.293083E7
19061217,2025-04-01,30,0,0.0,0.0,41.5,,,,1,,1063853.0,0.0
21817661,2024-10-01,6,25,0.806,275.0,11.0,11.0,4,3,,270710.0,270710.0,6767750.0
21817661,2024-11-01,23,7,0.233,77.0,11.0,11.0,10,2,,278300.0,278300.0,1948100.0
21817661,2024-12-01,7,24,0.774,266.0,11.0,11.1,11,3,2,281346.0,278812.0,6742169.0
21817661,2025-01-01,13,18,0.581,197.0,11.0,10.9,38,3,2,277787.0,280335.0,5020545.0
21817661,2025-02-01,5,23,0.821,250.0,10.9,10.9,31,4,2,273372.0,273372.0,6270000.0
21817661,2025-03-01,7,24,0.774,266.0,11.1,11.1,52,2,2,283661.0,283661.0,6797630.0
21817661,2025-04-01,8,22,0.733,239.0,10.9,10.9,29,2,2,279422.0,279422.0,6126765.0
21817661,2025-05-01,11,20,0.645,238.0,11.9,11.9,28,3,2,309460.0,309460.0,6189190.0
21817661,2025-06-01,14,16,0.533,193.0,12.1,12.1,5,5,2,314860.0,314860.0,5022150.0
21817661,2025-07-01,21,10,0.323,121.0,12.1,12.1,10,2,2,314860.0,314860.0,3148602.0
21817661,2025-08-01,22,9,0.29,107.0,12.0,11.9,3,3,2,309656.0,312258.0,2784301.0
21817661,2025-09-01,28,2,0.067,24.0,11.7,12.0,9,4,2,312258.0,304452.0,624516.0
29946123,2024-10-01,6,25,0.806,815.0,32.6,32.6,27,25,,802286.0,802286.0,2.005715E7
29946123,2024-11-01,24,6,0.2,177.0,30.1,29.5,22,3,,746350.0,761530.0,4478100.0
29946123,2024-12-01,31,0,0.0,0.0,33.7,,,,,,854177.0,0.0
29946123,2025-01-01,31,0,0.0,0.0,30.3,,,,3,,772196.0,0.0
29946123,2025-02-01,28,0,0.0,0.0,29.7,,,,3,,744876.0,0.0
29946123,2025-03-01,31,0,0.0,0.0,30.9,,,,3,,789650.0,0.0
29946123,2025-04-01,30,0,0.0,0.0,32.8,,,,3,,840828.0,0.0
29946123,2025-05-01,31,0,0.0,0.0,29.1,,,,3,,756746.0,0.0
29946123,2025-06-01,30,0,0.0,0.0,29.5,,,,3,,767634.0,0.0
29946123,2025-07-01,31,0,0.0,0.0,27.1,,,,3,,705183.0,0.0
29946123,2025-08-01,31,0,0.0,0.0,24.7,,,,3,,642731.0,0.0
29946123,2025-09-01,19,11,0.367,270.0,24.0,24.5,1,63,3,637527.0,624516.0,7025805.0
22864234,2024-10-01,0,31,1.0,614.0,19.8,19.8,,,,487278.0,487278.0,1.511054E7
