listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5306280,2024-10-01,31,0,0.0,0.0,60.3,,,,,,1483983.0,0.0
5306280,2024-11-01,30,0,0.0,0.0,59.5,,,,,,1505350.0,0.0
5306280,2024-12-01,28,3,0.097,173.0,58.6,57.7,11,3,,1462493.0,1485305.0,4384945.0
5306280,2025-01-01,31,0,0.0,0.0,58.2,,,,1,,1483227.0,0.0
5306280,2025-02-01,18,10,0.357,600.0,58.9,60.0,1,10,1,1504800.0,1477212.0,1.5048E7
5306280,2025-03-01,27,4,0.129,235.0,59.3,58.8,11,4,1,1502634.0,1515412.0,6005425.0
5306280,2025-04-01,30,0,0.0,0.0,59.2,,,,1,,1517592.0,0.0
5306280,2025-05-01,31,0,0.0,0.0,58.0,,,,1,,1508290.0,0.0
5306280,2025-06-01,30,0,0.0,0.0,59.6,,,,1,,1550881.0,0.0
5306280,2025-07-01,31,0,0.0,0.0,55.2,,,,1,,1436387.0,0.0
5306280,2025-08-01,31,0,0.0,0.0,55.7,,,,1,,1449398.0,0.0
5306280,2025-09-01,30,0,0.0,0.0,56.4,,,,1,,1467613.0,0.0
23813745,2024-10-01,24,7,0.226,256.0,36.8,36.6,1,3,,900726.0,905648.0,6300160.0
23813745,2024-11-01,23,7,0.233,254.0,36.8,36.3,19,7,,918390.0,931040.0,6426200.0
23813745,2024-12-01,7,24,0.774,818.0,34.5,34.1,1,24,1,864316.0,874454.0,2.0733437E7
23813745,2025-01-01,24,7,0.226,240.0,34.8,34.3,3,4,1,874135.0,886878.0,6116400.0
23813745,2025-02-01,25,3,0.107,105.0,34.0,35.0,5,4,1,877800.0,852720.0,2633400.0
23813745,2025-03-01,23,8,0.258,274.0,34.0,34.2,6,5,1,873981.0,868870.0,7002070.0
23813745,2025-04-01,27,3,0.1,101.0,33.3,33.7,6,8,1,863900.0,853645.0,2589135.0
23813745,2025-05-01,26,5,0.161,184.0,35.6,36.8,,,1,956984.0,925778.0,4784920.0
23813745,2025-06-01,15,15,0.5,582.0,40.5,38.8,6,15,1,1009634.0,1053871.0,1.5144513E7
23813745,2025-07-01,31,0,0.0,0.0,37.9,,,,1,,986215.0,0.0
23813745,2025-08-01,31,0,0.0,0.0,37.9,,,,1,,986215.0,0.0
23813745,2025-09-01,30,0,0.0,0.0,37.3,,,,1,,970602.0,0.0
20827597,2024-10-01,30,1,0.032,35.0,35.8,35.0,,,,861350.0,881038.0,861350.0
20827597,2024-11-01,28,2,0.067,59.0,37.3,29.5,1,2,,746350.0,943690.0,1492700.0
20827597,2024-12-01,29,2,0.065,71.0,35.9,35.5,1,2,1,899801.0,909939.0,1799602.0
20827597,2025-01-01,22,9,0.29,293.0,32.0,32.6,65,3,1,830811.0,815520.0,7467105.0
20827597,2025-02-01,20,8,0.286,214.0,29.1,26.8,1,14,1,672144.0,729828.0,5367120.0
20827597,2025-03-01,25,6,0.194,174.0,29.4,29.0,,,1,741095.0,751317.0,4446570.0
20827597,2025-04-01,25,5,0.167,148.0,29.6,29.6,4,1,1,758796.0,758796.0,3793980.0
20827597,2025-05-01,31,0,0.0,0.0,32.7,,,,1,,850364.0,0.0
20827597,2025-06-01,18,12,0.4,384.0,32.1,32.0,28,12,1,832688.0,835290.0,9992256.0
20827597,2025-07-01,22,9,0.29,231.0,27.2,25.7,1,9,1,668753.0,707785.0,6010967.0
20827597,2025-08-01,29,2,0.065,54.0,27.7,27.0,3,2,1,702581.0,720796.0,1405161.0
20827597,2025-09-01,19,11,0.367,288.0,25.4,26.2,1,15,1,681763.0,660946.0,7494192.0
10739280,2024-10-01,31,0,0.0,0.0,37.7,,,,,,927797.0,0.0
10739280,2024-11-01,30,0,0.0,0.0,37.5,,,,,,948750.0,0.0
10739280,2024-12-01,31,0,0.0,0.0,38.2,,,,,,968236.0,0.0
10739280,2025-01-01,31,0,0.0,0.0,37.8,,,,1,,963333.0,0.0
10739280,2025-02-01,19,9,0.321,340.0,37.8,37.8,20,4,1,948024.0,948024.0,8527200.0
10739280,2025-03-01,15,16,0.516,607.0,38.2,37.9,22,2,1,968535.0,976201.0,1.5511885E7
10739280,2025-04-01,15,15,0.5,576.0,38.1,38.4,22,4,1,984384.0,976694.0,1.476576E7
10739280,2025-05-01,17,14,0.452,654.0,43.5,46.7,8,4,1,1214434.0,1131218.0,1.700727E7
10739280,2025-06-01,14,16,0.533,674.0,42.7,42.1,7,3,1,1095505.0,1111118.0,1.7538491E7
10739280,2025-07-01,29,2,0.065,81.0,40.7,40.5,4,1,1,1053871.0,1059075.0,2107742.0
10739280,2025-08-01,31,0,0.0,0.0,40.5,,,,1,,1053871.0,0.0
10739280,2025-09-01,24,6,0.2,244.0,42.0,40.7,64,2,1,1059075.0,1092903.0,6349246.0
14353950,2024-10-01,31,0,0.0,0.0,127.1,,,,,,3127931.0,0.0
14353950,2024-11-01,23,7,0.233,910.0,129.8,130.0,138,5,,3289000.0,3283940.0,2.3023E7
14353950,2024-12-01,9,22,0.71,2625.0,121.5,119.3,45,5,,3023837.0,3079600.0,6.6534563E7
14353950,2025-01-01,19,12,0.387,1424.0,117.3,118.7,58,2,1,3025070.0,2989391.0,3.629064E7
14353950,2025-02-01,24,4,0.143,459.0,118.8,114.8,29,2,1,2879184.0,2979504.0,1.151172E7
14353950,2025-03-01,24,7,0.226,752.0,110.7,107.4,54,3,1,2744607.0,2828939.0,1.921736E7
14353950,2025-04-01,30,0,0.0,0.0,125.0,,,,1,,3204375.0,0.0
14353950,2025-05-01,31,0,0.0,0.0,112.3,,,,1,,2920362.0,0.0
14353950,2025-06-01,30,0,0.0,0.0,110.9,,,,1,,2885784.0,0.0
14353950,2025-07-01,31,0,0.0,0.0,110.5,,,,1,,2875376.0,0.0
14353950,2025-08-01,31,0,0.0,0.0,111.9,,,,2,,2911806.0,0.0
14353950,2025-09-01,30,0,0.0,0.0,110.6,,,,2,,2877978.0,0.0
10703077,2024-10-01,4,27,0.871,719.0,26.5,26.6,1,26,,654626.0,652165.0,1.769459E7
10703077,2024-11-01,11,19,0.633,508.0,26.6,26.7,2,5,,675510.0,672980.0,1.28524E7
10703077,2024-12-01,1,30,0.968,786.0,26.2,26.2,15,4,2,664078.0,664078.0,1.9922349E7
10703077,2025-01-01,3,28,0.903,739.0,26.4,26.4,11,7,2,672804.0,672804.0,1.8833415E7
10703077,2025-02-01,0,28,1.0,733.0,26.2,26.2,24,5,2,657096.0,657096.0,1.838364E7
10703077,2025-03-01,4,27,0.871,709.0,26.3,26.3,16,4,2,672097.0,672097.0,1.8118495E7
10703077,2025-04-01,5,25,0.833,658.0,26.3,26.3,12,7,2,674201.0,674201.0,1.686783E7
10703077,2025-05-01,13,18,0.581,548.0,30.4,30.4,7,22,2,790552.0,790552.0,1.425074E7
10703077,2025-06-01,0,30,1.0,984.0,32.8,32.8,,,2,853505.0,853505.0,2.5605156E7
10703077,2025-07-01,31,0,0.0,0.0,31.1,,,,1,,809269.0,0.0
10703077,2025-08-01,31,0,0.0,0.0,29.6,,,,1,,770236.0,0.0
10703077,2025-09-01,30,0,0.0,0.0,28.4,,,,1,,739011.0,0.0
19831286,2024-10-01,30,1,0.032,167.0,167.0,167.0,1,1,,4109870.0,4109870.0,4109870.0
19831286,2024-11-01,25,5,0.167,865.0,170.6,173.0,9,2,,4376900.0,4316180.0,2.18845E7
19831286,2024-12-01,29,2,0.065,409.0,182.4,204.5,88,4,1,5183359.0,4623202.0,1.0366719E7
19831286,2025-01-01,29,2,0.065,402.0,182.1,201.0,,,1,5122485.0,4640819.0,1.024497E7
19831286,2025-02-01,28,0,0.0,0.0,160.2,,,,1,,4017816.0,0.0
19831286,2025-03-01,24,7,0.226,1130.0,161.1,161.4,16,3,1,4124577.0,4116911.0,2.887715E7
19831286,2025-04-01,30,0,0.0,0.0,169.1,,,,1,,4334879.0,0.0
19831286,2025-05-01,28,3,0.097,510.0,175.8,170.0,38,3,1,4420850.0,4571679.0,1.326255E7
19831286,2025-06-01,30,0,0.0,0.0,175.1,,,,1,,4556365.0,0.0
19831286,2025-07-01,31,0,0.0,0.0,162.3,,,,1,,4223289.0,0.0
19831286,2025-08-01,31,0,0.0,0.0,160.5,,,,1,,4176451.0,0.0
19831286,2025-09-01,30,0,0.0,0.0,159.0,,,,1,,4137419.0,0.0
16528582,2024-10-01,25,6,0.194,203.0,33.5,33.8,35,7,,831818.0,824435.0,4995830.0
16528582,2024-11-01,13,17,0.567,571.0,33.5,33.6,,,,850080.0,847550.0,1.44463E7
16528582,2024-12-01,16,15,0.484,515.0,34.2,34.3,9,8,2,869385.0,866850.0,1.3053448E7
16528582,2025-01-01,13,18,0.581,607.0,33.9,33.7,,,2,858845.0,863942.0,1.5469395E7
16528582,2025-02-01,17,11,0.393,375.0,33.5,34.1,1,14,2,855228.0,840180.0,9405000.0
16528582,2025-03-01,8,23,0.742,781.0,34.0,34.0,75,10,2,868870.0,868870.0,1.9958455E7
16528582,2025-04-01,22,8,0.267,267.0,33.6,33.4,1,8,2,856209.0,861336.0,6844545.0
16528582,2025-05-01,31,0,0.0,0.0,37.1,,,,2,,964786.0,0.0
16528582,2025-06-01,30,0,0.0,0.0,37.3,,,,11,,970602.0,0.0
16528582,2025-07-01,31,0,0.0,0.0,36.2,,,,23,,941978.0,0.0
16528582,2025-08-01,27,4,0.129,155.0,38.0,38.8,63,4,7,1009634.0,988817.0,4033333.0
16528582,2025-09-01,28,2,0.067,80.0,37.6,40.0,1,16,7,1040860.0,978408.0,2081720.0
