listing_id,listing_name,country,city,listing_type,room_type,currency,guests,bedrooms,cancellation_policy,rating_overall,ttm_revenue,ttm_avg_rate
20733,1BR The Fort - Heart of the Action!,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Moderate,4.93,9847.0,50.8
148460,2BR near SMAura/BGC/NAIA 3/High-speed internet,philippines,taguig,Entire condo,entire_home,PHP,4.0,2.0,Firm,4.97,3337.0,53.2
526417,Executive Studio Heart of BGC Fort Bonifacio,philippines,taguig,Room in boutique hotel,private_room,PHP,3.0,1.0,Flexible,4.75,2495.0,57.7
1015455,Sleek 1-Bdr w/ Golf Course & Sunset Views in BGC,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Firm,4.91,12791.0,86.9
1016348,Great BGC/MNL hotel alternative nr St Lukes/restos,philippines,taguig,Entire rental unit,entire_home,PHP,3.0,1.0,Moderate,4.84,13345.0,56.1
1077985,Comfy Stylish Studio in Forbestown BGC.200MBPsWIFI,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Moderate,4.85,7372.0,41.4
1175406,Your Home at Bonifacio Global -View of MNL Skyline,philippines,taguig,Entire rental unit,entire_home,PHP,2.0,1.0,Moderate,4.63,11932.0,46.7
1244198,Producer’s Lounge in Manila,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Moderate,4.98,15862.0,76.3
1278983,Unit in Manila(BonifacioGlobalCity),philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Flexible,4.65,749.0,51.4
1346569,"Stunning 2Bdr apartment, Netflix near BGC",philippines,taguig,Entire condo,entire_home,PHP,5.0,2.0,Strict,4.76,11725.0,57.5
1543162,View of Manila Skyline -Central Location,philippines,taguig,Entire rental unit,entire_home,PHP,2.0,,Moderate,4.82,10879.0,48.4
1560037,Residential Condo in BGC near St Lukes Global City,philippines,taguig,Entire condo,entire_home,PHP,3.0,,Firm,4.77,7710.0,67.4
1765418,Spacious Studio Bonifacio Global City w/ Parking,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Moderate,4.81,8870.0,57.9
2333737,Studio@Serendra,philippines,taguig,Entire rental unit,entire_home,PHP,2.0,1.0,Firm,,1701.0,51.5
2434985,Avant condo in Taguig with city views,philippines,taguig,Entire condo,entire_home,PHP,5.0,2.0,Firm,4.62,5580.0,93.0
3047650,"Cozy, fresh, homey studio, wifi @ SoMa BGC",philippines,taguig,Entire rental unit,entire_home,PHP,2.0,,Moderate,4.72,621.0,51.0
3589200,3-BR Condo Near International Airport,philippines,taguig,Entire condo,entire_home,PHP,5.0,3.0,Moderate,5.0,1527.0,50.1
3803429,Mckinley Hill 1BR unit_Venice piazza_rooftop pool,philippines,taguig,Entire condo,entire_home,PHP,3.0,1.0,Strict,4.48,2712.0,34.1
4530187,Serene living with scenic view 3BR+parking,philippines,taguig,Entire condo,entire_home,PHP,5.0,3.0,Moderate,4.59,11335.0,152.9
4546500,"Spacious 1BR BGC; 50mbps WiFi, Netflix, Parking",philippines,taguig,Entire rental unit,entire_home,PHP,4.0,1.0,Moderate,4.77,13078.0,53.9
4701136,BGC 1-BR Loft with View @ Burgos Circle near BHS,philippines,taguig,Entire loft,entire_home,PHP,2.0,1.0,Moderate,4.91,2108.0,71.7
4712905,Millionaire Tropical Paradise Penthouse Royal Palm,philippines,taguig,Entire rental unit,entire_home,PHP,5.0,2.0,Firm,4.6,5392.0,33.7
4943272,"HOMEY and  SPACIOUS 2BD, 2BATH IN D HEART OF BGC",philippines,taguig,Entire condo,entire_home,PHP,4.0,2.0,Strict,4.73,17158.0,103.3
5040232,Cozy Condo Loft,philippines,taguig,Entire loft,entire_home,PHP,4.0,1.0,Strict,4.78,2807.0,60.8
5157403,2Br Condo near Mckinley Grand Canal and BGC,philippines,taguig,Entire rental unit,entire_home,PHP,4.0,2.0,Firm,3.0,410.0,34.5
5364840,Luxury Condo @ Forbeswood Parklane (300mbps WiFi),philippines,taguig,Entire rental unit,entire_home,PHP,2.0,1.0,Moderate,4.86,13360.0,55.5
6056936,"Safest, homiest and cleanest haven near BGC w/WIFI",philippines,taguig,Entire condo,entire_home,PHP,4.0,2.0,Flexible,4.86,1096.0,59.1
6059724,Forbeswood Parklane 1 Bedroom,philippines,taguig,Entire rental unit,entire_home,PHP,4.0,1.0,Strict,4.25,5957.0,42.3
6079338,1-BR 41 sqm in BGC with 200Mbps Fibr,philippines,taguig,Entire condo,entire_home,PHP,2.0,1.0,Firm,4.84,4886.0,50.9
6196431,1BR BGC The Fort nr St. Luke’s 55”tv washer dryer,philippines,taguig,Entire rental unit,entire_home,PHP,4.0,1.0,Moderate,4.7,5075.0,76.2
6282659,At heart of Fort Bonifacio Global City,philippines,taguig,Entire rental unit,entire_home,PHP,4.0,1.0,Moderate,4.71,8590.0,44.4
